Frau Präsidentin! Lebensmittelkontrolle ist eine Utopie.	Madam President, the control of foodstuffs is a utopian fantasy.
Kontrolldruck und Konsequenzen anscheinend aber auch.	The pressure for control and the consequences are, too, it seems.
Damit haben wir ja den Salat!	We are thus in a right old stew!
Bei Gesundheitsgefahren sollen die Ämter zwar Warnungen aussprechen, sie müssen aber nicht.	In the case of health risks, authorities should put out warnings, but they are not obliged to.
Was dann rauskommt, haben wir erst jüngst bei dem Listerien-Käseskandal gesehen.	We have seen the result of this recently in the listeria-contaminated cheese scandal.
Häufig kämpfen die Lebensmittelkontrolleure mit mangelnder Kennzeichnung - und nicht nur sie, sondern auch die Konsumenten.	Food inspectors often have to battle with deficient labelling - and it is not only the inspectors; consumers have the same problem.
Die sind nämlich absolut überfordert bei dem Dschungel an Kennzeichnungen.	They are completely overwhelmed by the labelling jungle.
Da steht dann etwa "Bauer" auf der Packung, obwohl das Produkt industriell verarbeitet wurde. Und es steht etwa "Original aus Österreich" und dabei stammen die Zutaten von überall her.	For example, 'farmer' can be stated on the packaging, even though the product has been industrially processed, or it might say 'of Austrian origin' even though the ingredients come from all over the place.
Qualitätsbewusste Kunden sind bereit, für hochwertige Lebensmittel mehr zu bezahlen.	Quality-conscious customers are prepared to pay more for high quality foods.
Die Frage ist nur, wie lange noch, wenn auch hier schwarze Schafe tatkräftig mitmischen.	The question is for how long, if rogue traders are also operating in this area.
Wenn Kontrollsysteme etwa auf kleine Betriebe zugeschnitten sind und Öko-Großbetrieben kaum auf die Finger geschaut wird, dann stimmt das gesamte System nicht.	If control systems are geared to small holdings and hardly any attention is paid to what large eco-holdings are doing, then something is wrong with the entire system.
