. – Vielen Dank, Herr Präsident!	Thank you, Mr President.
Meine Damen und Herren! Gestatten Sie mir, dass ich mich zuerst bei Herrn Kommissar Günther Verheugen für die konstruktive und sehr gute Zusammenarbeit über Jahre hinweg bedanke.	Ladies and gentlemen, I would first like to thank Commissioner Verheugen for his constructive and very close cooperation over the years.
Die Erfolge der Tschechischen Republik in den letzten Jahren sind unbestritten.	The Czech Republic’s successes over the last few years are beyond dispute.
Dennoch gibt es auf bestimmten Gebieten noch Defizite, zum Beispiel bei den Standards in lebensmittelverarbeitenden Betrieben.	There are still deficits in some areas, however, on standards in food-processing establishments, for example.
Aber die Verbraucher bei uns brauchen keine Angst zu haben, was nicht standardgerecht ist, kommt nicht auf den EU-Binnenmarkt.	Our consumers need have no fear, however; nothing that fails to meet our standards will be allowed in the EU internal market.
Ein anderes in letzter Zeit mehr und mehr an mich herangetragenes Problem ist der mutmaßliche Menschen- und insbesondere Kinderhandel an der deutsch-tschechischen Grenze.	Another problem that has increasingly been brought to my attention recently is the suspected trafficking in human beings and in particular children at the German-Czech border.
Hier sollte die tschechische Regierung Programme zur Unterstützung von Opfern fördern.	The Czech Government should be encouraging victim support programmes here.
Auch Schulungsprogramme für die Polizei und den Grenzschutz zur Sensibilisierung für das Thema Menschenhandel sind notwendig, wobei eine grenzübergreifende Zusammenarbeit auf der Grundlage von INTERREG verstärkt werden sollte.	There is also a need for training programmes for the police and border guards to increase awareness of the issue of people trafficking and there should be greater cross-border cooperation on the basis of INTERREG.
Was die Staustufenpläne für den Oberlauf der Elbe betrifft, so habe ich mich bei der EU-Kommission mit Erfolg dafür eingesetzt, dass für dieses Projekt eine Umweltfolgenabschätzung absolut notwendig ist und spartenübergreifende Alternativen ausgearbeitet werden müssen.	So far as the plans for barrages on the upper reaches of the Elbe are concerned, I have managed to persuade the EU Commission that an environmental impact assessment for this project is absolutely essential and that intermodal alternatives must be worked out.
Als Bewohner des sächsischen Elbtals, das im Sommer 2002 überschwemmt wurde, weiß ich, wovon ich rede .	I live in the Elbe valley in Saxony, which was flooded in summer 2002, and I know what I am talking about.
Schließlich will ich auf die beabsichtigte Ehrung des früheren tschechoslowakischen Präsidenten Edvard Beneš durch das Tschechische Parlament eingehen.	Finally, I want to talk about the Czech parliament’s intention of honouring the former Czechoslovak President Edvard Beneš.
Meine Damen und Herren! Nachdem wir hier im Europäischen Parlament jahrelang das Thema Beneš-Dekrete behandelt haben und ich eine Kompromissformel gefunden habe, die im April vergangenen Jahres mit überwältigender Mehrheit vom Plenum angenommen wurde, finde ich es instinktlos und provokant, dass jetzt von tschechischer Seite ein Gesetz verabschiedet werden soll, das nicht nur die Vergangenheit heraufbeschwört, sondern sogar ehrt; kurz vor dem Beitritt des Landes zur EU.	When we have spent years dealing with the matter of the Beneš decrees here in Parliament and I found a compromise formula that was adopted by an overwhelming majority of the plenum in April last year, I find it insensitive and provocative of the Czechs now, just before the country is to join the EU, to be passing a law that not only evokes the past but actually honours it.
Wer dieses Gesetz mit unterstützt, den will ich künftig nicht in dieser meiner Fraktion haben.	I do not want anyone who supports this law joining my Group in the future.
