Berichterstatter. - Frau Präsidentin! Herr Kommissar, ich kann Ihnen zustimmen.	rapporteur. - Madam President, Commissioner, I agree with you.
Wir können morgen eine positive Botschaft aussenden, nämlich dass wir bürgernäher auch sinnvolle Veränderungen an unserer Gesetzgebung vornehmen können, wenn es erforderlich ist.	We can send out a positive message tomorrow, namely that we are able to make citizen-friendly and sensible amendments to our legislation when it is necessary to do so.
Wir sollten nicht nur diese Botschaft ausbringen, sondern auch eine Informationskampagne in den europäischen Ländern in Gang setzen, damit man die Attraktivität dieses Programms jetzt auch zügig nutzen kann, denn wir haben wirklich an allen Stellschrauben gedreht.	We should not only send out this message; we should also start up an information campaign in the countries of Europe, so that we can capitalise on the attractiveness of this programme, because we really have made all the necessary adjustments.
Es gibt jetzt wirklich Angebote zum Schnäppchenpreis.	Now there are real deals to be had at bargain prices.
Wenn man es jetzt nicht hinkriegt, etwas zu verlagern, dann muss man wirklich das Programm insgesamt in Frage stellen.	If we cannot manage to shift anything now, then we really do need to question the entire programme.
Ich hoffe nicht, Frau Jensen, dass wir das Geld in andere Programme stecken müssen, denn das Anliegen ist wichtig.	I hope, Mrs Jensen, that we shall not have to put the money into other programmes, because this is an important concern.
Wir müssen und wollen Verkehr verlagern, wo es auch immer möglich ist, aber es ist schwierig.	We must and will displace traffic wherever possible, but it is difficult.
Und an Herrn Blokland: Sie haben ja schon die Antwort bekommen.	Mr Blokland, you have already had an answer.
Wir haben für die Binnenschifffahrt noch einmal nachverhandelt und dem Rat sozusagen noch einen zusätzlichen Kompromiss abgepresst.	We re-negotiated inland waterway transport and forced an additional compromise on the Council, as it were.
Es war ja unser Anliegen, dass wir in der ersten Lesung fertig werden.	Our concern was to finish at first reading.
Deshalb konnten wir auch nicht zu radikal vorgehen, sondern mussten schon kompromiss- und konsensorientiert verhandeln.	That is why we could not take too radical an approach and had to negotiate with one eye on compromise and consensus.
Dafür ist uns doch eine ganze Menge gelungen.	As a result, we achieved a great deal.
Ich freue mich auf die Grundsatzdebatte, die wir für das dritte Programm aufgrund einer versprochenen Mitteilung der Kommission rechtzeitig angehen werden, so dass wir dann alle Grundsatzfragen - ob wir die Programme für einzelne Verkehrsträger aufsplitten sollen und so weiter, all das, was wir in einem gemeinsamen Kompromissantrag aufgelistet haben - diskutieren können.	I look forward to the fundamental debate which we shall have shortly on the third programme, on the basis of a communication which the Commission has promised, so that we can discuss all the fundamental questions, everything that we have listed in a joint motion for a compromise, such as whether we should split up the programme for individual modes of transport and so on.
Dann wird es noch einmal spannend.	Then it will become exciting again.
Jetzt muss es bloß funktionieren, damit nichts ins Stocken kommt und schon angelaufene Projekte möglicherweise in dieser Krise zum Erliegen kommen.	Now it just has to work, so that it does not grind to a halt and projects already under way possibly fall by the way-side in this crisis.
Das wäre wirklich schade und deshalb dieser Kompromiss.	That really would be a pity, hence this compromise.
Schönen Dank nochmals für alle Bemühungen.	My thanks once again to everyone for their input.
