Der andere Grund ist die Entwicklung der innenpolitischen Lage in der Ukraine.	Another is the way in which the domestic political situation in Ukraine is developing.
Für die weitere Festigung demokratischer Verhältnisse im Lande und die Kontinuität des Reformprozesses ist es von größter Wichtigkeit, dass für die gegenwärtige Krise eine Lösung gefunden wird.	It is of the utmost importance in terms of the further entrenchment of democratic conditions in that country and of the continuity of its reform process that a solution be found to the present crisis.
Die Kommission hat die jüngste innenpolitische Entwicklung in der Ukraine aufmerksam beobachtet. Wir verfolgen mit Sorge die nach der von Präsident Juschtschenko verfügten Parlamentsauflösung eingetretene Verhärtung der Fronten zwischen Präsident Juschtschenko und Ministerpräsident Janukowitsch.	The Commission has kept an attentive eye on the latest developments in Ukrainian domestic politics, observing with concern the way in which President Yushchenko's dissolution of parliament has resulted in deeper division between him and Mr Yanukovych, the Prime Minister.
Uns ist sehr daran gelegen, dass die Ukraine ihren Reformkurs in Richtung vollkommener Demokratisierung, Stabilität und Wohlstand fortsetzt.	It matters a great deal to us that Ukraine should pursue its course of reform, moving closer to complete democratisation, stability and prosperity.
Stabilität ist für die Ukraine und ihre Zukunft in Europa von existenzieller Bedeutung, und sie ist auch für die Europäische Union wichtig, da wir in unserer Nachbarschaft Stabilität und Wohlstand brauchen.	Ukraine, and its future in Europe, depend absolutely on stability, which is vital to the European Union too, for it, along with prosperity, is what we need in the countries around us.
Die ukrainische Demokratie macht zurzeit eine Reifeprüfung durch.	What is happening at the moment is that the maturity of Ukrainian democracy is being tested.
Präsident Barroso hat anlässlich seiner Begegnung mit Präsident Juschtschenko in der vergangenen Woche darauf hingewiesen, dass es in einer Demokratie kein politisches Problem gibt, für das sich nicht eine mit dem Gesetz im Einklang stehende politische Lösung finden ließe. Die offen geführte politische Debatte und die bislang weitgehend friedlichen Demonstrationen in den Straßen von Kiew haben gezeigt, dass die Menschen in der Ukraine es verstehen, innenpolitischen Streit in verantwortlicher und demokratischer Weise beizulegen.	Mr Barroso, the President of the Commission said, when he met President Yushchenko last week, that there was, in a democracy, no political problem for which a political solution in harmony with the law could not be found, and the frank political debate and the - so far - largely peaceful demonstrations on the streets of Kiev are evidence of the fact that the Ukrainian people understand that internal political disputes have to be settled in a responsible and democratic manner.
In der Ukraine tut zudem ein Prozess not, an dem alle teilhaben und der in eine auf einen politischen Kompromiss neuen Stils gegründete Verfassungsreform führt, die von Bestand ist und durch die das politische System mit klaren Kontroll- und Regulierungsmechanismen ausgestattet wird.	Ukraine is also in need of a long-term process - one in which everyone can take part and which will lead to a constitutional reform founded on a new-style political compromise - that will equip the political system with clear mechanisms of control and regulation.
Es kann nicht die Rolle der Europäischen Union sein, in diese Krise durch direkte Vermittlung einzugreifen. Dagegen können und sollten wir an das Gefühl der Zurückhaltung und Vernunft aller politisch Aktiven in der Ukraine appellieren und sie dazu aufrufen, miteinander zu einem Kompromiss zu finden.	While it cannot be part of the European Union's role to intervene in this crisis by mediating directly between factions, we can and should appeal to the cautious and rational instincts of all those involved in Ukrainian politics in urging them to hammer out a compromise together.
So sollte unsere Botschaft lauten, im Vertrauen darauf, dass die junge ukrainische Demokratie diesen Test bestehen wird und dass sich die Politiker weiter für das Wohl des ganzen Landes und für die Zukunft der Beziehungen zwischen der Europäischen Union und der Ukraine einsetzen.	That is the message we should be sending out in the confidence that the young Ukrainian democracy will pass this test and that its politicians will continue to work for the good of the country and for its future relations with the European Union.
Seit der so genannten orangenen Revolution und der Annahme des Aktionsplans EU-Ukraine sind sich die EU und die Ukraine erheblich nähergekommen, und ihre Beziehungen haben sich in positivem Sinne entwickelt.	Since what was known as the 'orange revolution' and the adoption of the EU/Ukraine action plan, the EU and Ukraine have come much closer together, and relations between them have improved.
An der Ukraine zeigt sich exemplarisch der Erfolg der europäischen Nachbarschaftspolitik. Unser Politikdialog hat ein beachtliches Maß an Intensität erreicht, und die Zahl der Sektoren unserer Zusammenarbeit hat sich beständig erhöht.	Ukraine is an example of just how successful the European neighbourhood policy can be; our political dialogue has deepened to an appreciable degree, and there has been a constant increase in the sectors in which we cooperate.
Wir haben beschlossen, unsere jährliche Unterstützung im Rahmen des neuen Instruments des europäischen Nachbarschafts- und Partnerschaftsprogramms auf 120 Millionen Euro zu erhöhen. Wir haben die Abkommen über Visaerleichterungen und Rückübernahme paraphiert und bereiten im Handelsbereich weitreichende Schritte vor, die uns im Kontext des neuen erweiterten Abkommens auf den Weg einer Freihandelszone führen.	We have decided to increase the support grant under the new European neighbourhood and partnership instrument to EUR 120 million per annum, have initialled the agreement on visa facilitation and returns, and, on the trade front, are preparing extensive measures that, taken together with the new and wider-ranging agreement, will move us closer to a free trade zone.
Am 2. und 3. April folgte in Kiew die zweite Verhandlungsrunde.	A second round of negotiations followed in Kiev on 2 and 3 April.
Die Gespräche sind zu unserer vollen Zufriedenheit verlaufen, denn es konnten substanzielle Fortschritte erzielt werden und die Ukraine hat ein starkes Engagement an den Tag gelegt.	The talks progressed to our complete satisfaction, in that it proved possible to achieve substantial progress, and the Ukrainian side demonstrated considerable commitment to them.
Die Kommission beabsichtigt, die Verhandlungen über das neue erweiterte Abkommen wie geplant fortzusetzen. Die Ukraine ist ein Schlüsselpartner der Europäischen Union, und wir sind nach wie vor fest entschlossen, unsere Beziehungen zu diesem wichtigen Nachbarland weiterzuentwickeln und zu festigen.	It is the Commission's intention that the negotiations on the new and extended agreement should be continued as planned, for Ukraine is a key partner for the European Union, and we continue in our firm determination to further develop and put on an even firmer footing our relations with this important neighbour.
