Berichterstatterin. - Herr Präsident! Mein Dank gilt auch allen Kolleginnen und Kollegen.	Mr President, I would like to thank all my fellow Members.
Wir haben es geschafft, einen gemeinsamen Standpunkt gegenüber dem Rat einzunehmen.	We have managed to find a common position with regard to the Council.
Aber auch dem Rat, der Ratspräsidentschaft, möchte ich an dieser Stelle ganz herzlich danken.	However, I would also like to thank the Council and the Presidency of the Council very warmly at this point.
Wer mich kennt, der weiß, dass ich mit Lob und Dank immer sehr sparsam umgehe.	Anyone who knows me will be aware that I am normally very sparing with praise and thanks.
Aber der schwedischen Ratspräsidentschaft ihrer Arbeit, ihrer Präsenz auch immer dann, wenn wir über Haushaltsfragen gesprochen haben, vor allen Dingen in ihrer personalen Form, Herrn Lindblad, möchte ich wirklich herzlich danken.	Nevertheless, I would like to express my sincere gratitude to the Swedish Presidency and, in particular, Mr Lindblad, for its work and its constant presence during the discussions on budget issues.
Das hat sich von anderen Ratspräsidentschaften, die ich schon im Laufe meines langen Abgeordnetenlebens erlebt habe, wohltuend abgehoben.	This made a pleasant contrast to the other Council presidencies that I have experienced during the course of my long career as a Member of Parliament.
Vielen Dank!	Thank you very much.
Heute Vormittag haben sich schon ganz viele Kolleginnen und Kollegen an der Diskussion beteiligt, viel mehr als sonst, das war jedenfalls mein Gefühl.	This morning, many Members took part in the discussion and I believe that on this occasion, there were many more Members involved than usual.
Die meisten haben auch auf die Beschränktheit unseres Haushalts und seiner Struktur hingewiesen.	The majority of them referred to the limitations of the budget and its structure.
Liebe Kolleginnen und Kollegen, gehen wir also getrost davon aus, dass der Haushalt 2010 der letzte seiner Art, der letzte mit dieser Struktur ist, der uns glauben macht, wir könnten damit die notwendigen Politiken der Europäischen Union und die neuen Herausforderungen und Aufgaben finanzieren.	Ladies and gentlemen, we can confidently assume that the 2010 budget will be the last of its kind, the last with this structure, which leads us to believe that we can finance the necessary policies of the European Union and its new challenges and tasks in this way.
Wir erwarten von der zukünftigen Kommission rasch und zügig die Halbzeitbewertung, die nach den Absprachen aus dem Jahr 2006 ja schon spätestens 2009 - also bis Ende dieses Jahres - hätte vorgelegt werden müssen.	We expect the new Commission to carry out the mid-term review quickly, as, under the terms of the agreements made in 2006, this should have been submitted by 2009 at the latest, in other words, by the end of this year.
Um es deutlich zu sagen: Wir erwarten zudem einen Revisionsvorschlag für die laufende Finanzielle Vorausschau.	To spell it out, we also expect a revision proposal for the current financial perspective.
Wir können mit der Reform nicht bis 2014 warten.	We cannot wait until 2014 for reform.
Wir brauchen jetzt nachhaltige Instrumente, damit wir als Europäische Union den Herausforderungen der nahen Zukunft standhalten können, und zwar demokratisch legitimiert, wie es unser Vorsitzender, Alain Lamassoure, gerade eben auch noch einmal in unser aller Namen gefordert hat.	We need sustainable instruments now, so that the European Union can meet the challenges of the immediate future with democratic legitimacy, as the Chair of the Committee on Budgets, Mr Lamassoure, has just called for on behalf of all of us.
