Herr Präsident! Ich möchte den Blick ein wenig auf die Flexibilität werfen.	Mr President, I should like to turn the spotlight briefly on flexibility.
Wir alle wissen, daß sich die Arbeitswelt in den letzten Jahren total verändert hat.	We all know that the working world has changed completely in recent years.
Wir können davon ausgehen, daß ein Großteil derer, die neu in die Arbeitswelt eintauchen, den Beruf drei-, vier- oder fünfmal wird wechseln müssen.	We can assume that most of those who are now going out to work for the first time will have to retrain three, four or five times.
Das heißt, Flexibilität ist ein absolutes Muß, und ein lebensbegleitendes Lernen, ein ständiges Umlernen ist eine Notwendigkeit.	In other words, flexibility is an absolute must, and lifelong learning - constant relearning - is a necessity.
Nur derjenige wird eine größere Chance haben, im Arbeitsmarkt zu bleiben, der diese Flexibilität auch tatsächlich bringt und bereit ist, dazuzulernen und umzulernen.	Only those who really do offer that flexibility and are willing to learn more and relearn will have really good prospects of staying in work.
Das, was die Politik dabei können muß, ist, Hilfestellung zu geben, so daß diese Flexibilität auch vom einzelnen realisiert werden kann.	What politicians can contribute here is assistance to enable the individual to achieve this flexibility.
Ich glaube, daß die Europäische Union hier gute Arbeit geleistet hat, und zwar im Zusammenhang mit den angebotenen Bildungs- und Mobilitätsprogrammen, wie etwa LEONARDO, wie SOKRATES oder wie all den Programmen, die im Zusammenhang mit den Strukturfonds zu realisieren sind, etwa LEADER oder YOUTH START oder NEW usw. Das ist alles wichtig, damit das Individuum auf dem Arbeitsmarkt tatsächlich die Chance hat, Bildung aufzunehmen und Mobilität tatsächlich zu leben.	I believe that the European Union has done a good job here with the range of educational and mobility programmes it offers, such as LEONARDO or SOCRATES or all the programmes to be implemented in connection with the Structural Funds, such as LEADER or YOUTH START or NEW and so on. All this is important as a way of giving the individual in the job market a real chance to absorb education and experience genuine mobility.
Ich glaube, daß diese Programme auch deshalb notwendig sind, weil sie einen Innovationstransfer für die vielen kleinen und mittleren Unternehmen mit dieser Mobilität mitbringen.	I believe these programmes are also needed because that same mobility helps to transfer innovations between the many small and medium-sized enterprises.
Die großen Probleme, die es aber gibt, wenn es darum geht, das alles zu realisieren, bestehen darin, daß es große Hemmnisse gibt etwa bei der wechselseitigen Anerkennung von Diplomen, die im Rahmen der Ausbildung in dem einen und oder anderen Land erworben werden.	But the big problems that exist when it comes to implementing all this lie in the fact that there are major obstacles in, for example, the mutual recognition of diplomas awarded as a result of training in the various Member States.
Probleme gibt es auch bei der Information für die Nutzer oder bei den vielen nationalen Regelungen.	Problems also arise with user information, and with the wide variety of national rules.
So ist z.B. unklar, was auf den Urlaub bzw. auf die Dienstzeit angerechnet wird oder was auf die Ausbildung entfällt.	It is unclear, for example, what counts as paid holiday and what counts as working time, or what allowance is made for training.
Das, was wir brauchen, ist demnach ein Maßnahmenpaket von der Kommission, damit alle diese Barrieren möglichst rasch abgebaut werden und wir mit diesen Programmen eine aktive Arbeitsmarktpolitik im Interesse der Betroffenen betreiben können.	What we need, therefore, is a package of measures from the Commission to ensure that all these barriers are pulled down as quickly as possible so that these programmes can help us to pursue an active employment market policy in the interests of those concerned.
