im Namen der S&D-Fraktion. - Herr Präsident! Frau Hohe Vertreterin!	Mr President, Baroness Ashton, I would also like to thank you for your statement.
Ich danke ebenfalls für den Bericht. Es ist so: Ein Diktator oder ein Präsident, der sich diktatorisch verhält, wird gestürzt.	A dictator or a president who behaves like a dictator is removed from power.
Der Neue jubelt und freut sich über die Demokratie, die er seinen Untertanen bringt.	His successor celebrates and is pleased to be able to introduce democracy for his subjects.
Nach wenigen Monaten ist er in derselben Position, so dass man eigentlich meint, die Demokratie sei nur dazu wiederhergestellt worden, damit an den Sohn oder an die sonstigen Familienmitglieder entsprechende Pfründe verteilt werden können.	After a few months, he is in the same position and it seems as if democracy has only been restored for the purpose of making comfortable, well-paid positions available to his son or other family members.
Wir hoffen, dass es nicht wieder dieser Zyklus ist, den wir gesehen haben, sondern dass Frau Rosa Otunbajewa eine andere Haltung mitbringt.	We hope that this cycle is not beginning again and that Mrs Otunbayeva has a different approach.
Ihre Vergangenheit, ihre Haltung, die sie schon öfters gezeigt hat, sind Indizien dafür.	Her past, and the attitude that she has often demonstrated, are indicators of this.
Aber Indizien sind nicht genug, wir wollen wirkliche Beweise.	However, indicators are not enough. We need real proof.
Wenn sie nicht dasselbe Schicksal wie ihre Vorgänger erleiden will, muss sie eine andere Haltung einnehmen, muss sie schauen, dass sie den Menschen im Lande Hilfe gibt.	If she is not to suffer the same fate as her predecessor, she must take a different approach and ensure that she helps the people of her country.
Hoffentlich wird der jetzt geschasste Präsident so einsichtig sein, dass er nicht versucht, neue Zwietracht zu säen, sondern dass er wirklich versucht, doch in seinem Exil in Ruhe zu leben, und der kirgisischen Bevölkerung auch die Chance auf eine demokratische Entwicklung gibt.	I hope that the president who has been thrown out of office will be sensible enough not to spread new discord and will make a genuine attempt to live a peaceful life in exile, which will give the Kyrgyz population the chance to build a democratic state.
Leider ist das, was ich kurz geschildert habe, ja nicht nur für Kirgisistan der Fall.	Unfortunately, the situation that I have described does not apply only to Kyrgyzstan.
Wir haben auch in den anderen Ländern ähnliche Verhältnisse.	Similar conditions can also be found in other countries.
Wir wünschen dem Vertreter Kasachstans viel Glück bei seiner Aufgabe im Namen der OSZE. Aber so ideal sind die Verhältnisse in Kasachstan auch nicht.	We wish the representative for Kazakhstan success with his task on behalf of the Organisation for Security and Cooperation in Europe (OSCE).
Und wenn ich an Usbekistan und andere Länder denke: Dort auch nicht.	However, the situation in Kazakhstan is also far from ideal.
Das heißt, die Frage, wie wir dort die Demokratie vorantreiben können - wir können sie nicht hinbringen, das ist nicht eine Ware, die wir einfach bringen und abliefern, sondern sie muss in diesen Ländern entstehen -, ist sicherlich eine Frage, die wir weiter verfolgen müssen.	The same thing also applies to Uzbekistan and to other countries. The question of how we can encourage the development of democracy there - because it is not a product that we can simply deliver, it must emerge in these countries - is one that we must follow up.
Denn das ist eine sehr heikle Region, wie Kollege Brok bereits gesagt hat.	This is a very sensitive region, as Mr Brok has already said.
Herr Morel leistet gute Arbeit als Sonderbeauftragter, aber das alleine genügt uns nicht.	Mr Morel is doing a good job as the Special Representative, but this is not enough.
Ich erinnere daran, dass insbesondere unter der deutschen Präsidentschaft mit Frank-Walter Steinmeier eine Zentralasienstrategie entwickelt wurde, von der man in letzter Zeit wenig gehört hat.	I would like to remind everyone that during the German Presidency with Dr Steinmeier, a strategy for Central Asia was drawn up which we have heard very little about recently.
Ich würde gerade Sie bitten, das wieder aufzugreifen, um aus dieser Strategie wirklich eine Stabilitätsstrategie für diese Region zu machen.	Therefore, I would like to ask you to take up this strategy again and to transform it into a stability strategy for the region.
Es geht nicht nur um Energieversorgung von Turkmenistan bis Kasachstan.	This is not only about the energy supply from Turkmenistan through to Kazakhstan.
Es ist auch eine Frage der Stabilität, der politischen Stabilität in einer Region, die sehr nahe an Afghanistan liegt.	It is also a question of the stability and, in particular, the political stability of a region which is very close to Afghanistan.
Von einigen Ländern - Usbekistan usw. - wissen wir doch genau, dass die Situation sehr fragil und sehr problematisch ist.	We know that in some countries, such as Uzbekistan, the situation is very fragile and problematic.
Natürlich ist es letztendlich eine Frage der Menschlichkeit, denn jedes einzelne Opfer sollte vermieden werden.	Of course, it is ultimately a question of humanity, because there really should not be any victims at all.
In diesem Sinne brauchen wir einen erneuten Anlauf für eine Zentralasienstrategie mit den verschiedenen Elementen Wirtschaft, Demokratie und Humanität.	Against this background, we need to make a new attempt to put in place a strategy for Central Asia which covers the economy, democracy and humanity.
Ich würde Sie bitten, den Fall Kirgisistan als Anlass zu nehmen, diese Zentralasienstrategie zu erneuern und ihr einen neuen Impuls zu geben.	I would ask you to use the case of Kyrgyzstan as the opportunity to renew this strategy for Central Asia and to give it a new stimulus.
