Herr Präsident! Ich habe zwei Fragen.	Mr President, I have two questions.
Die erste betrifft die Sicherung der Außengrenzen.	The first is about securing our external borders.
Ich begrüße ausdrücklich das Programm und die Vorschläge, gerade im Hinblick auf eine Erweiterung, insbesondere dass Sie einheitliche Aufgabenstellungen haben wollen.	I very much welcome the programme and proposals with regard to enlargement, and particularly the fact that you want to have uniform responsibilities.
Die Frage ist: Wann, glauben Sie, wird das neue Schengen-Handbuch verfügbar sein?	The question is this: when do you think the new Schengen manual will be available?
Wir werden gemeinsame Ausbildungspläne haben.	We will have common training programmes.
Wann, glauben Sie, wird dieses gemeinsame Ausbildungssystem funktionstüchtig sein?	When do you think this common training system will be operational?
Was ich noch einfordern möchte, ist, dass wir Überlegungen anstellen über die Kompatibilität der eingesetzten Technik und dass wir die Risikoanalyse, die vorgeschlagen wird, möglichst bald durch Europol realisieren lassen.	What I would also like to request is that we should consider the compatibility of the technology being used and that we should also get Europol to carry out the proposed risk assessment as soon as possible.
Wann, glauben Sie, wird das System funktionieren?	When do you think the system will be operating?
Meine zweite Frage bezieht sich auf den Bereich der Migration.	My second question is about migration.
Unser Ziel muss es sein - und hier sind wir einer Meinung -, dass legale Zutrittsmechanismen funktionstüchtig gestaltet werden müssen und jede illegale Zuwanderung verhindert werden muss.	Our objective - and on this we agree - must be to create viable legal immigration mechanisms and prevent illegal immigration.
Das Problem, das dabei jedoch auftritt, ist insbesondere im Asylbereich gegeben, wo es zwar Vorschläge von Seiten der Kommission gibt, endgültige Entscheidungen jedoch in allen Bereichen ausstehen.	However, the problem that arises here relates in particular to the area of asylum, where, although the Commission has made proposals, final decisions remain to be made in all areas.
Wir brauchen hier aber rasche Entscheidungen, damit die, die wirklich Flüchtlinge sind - das sind etwa 10% der Antragsteller -, rasch tatsächlich Hilfe bekommen und damit für die restlichen 90%, die abgewiesen werden müssen, die Rückführung organisiert wird.	But we need decisions to be made quickly so that genuine refugees - who make up about 10% of applicants - can be helped swiftly and so that repatriation can be arranged for the remaining 90% that have to be rejected.
Wie, Herr Kommissar Vitorino, wollen Sie sicherstellen, dass ein derartiges System endlich funktionstüchtig gemacht werden kann und dass wir die Zustimmung des Rates erhalten können?	Commissioner Vitorino, how do you intend to ensure that a system of this kind can finally be made operational and that we can secure Council approval?
