Frau Abgeordnete, ja, das ist eine besonders bedrückende Frage, muss ich sagen.	Mrs Van Lancker, yes, I must say that this is a particularly depressing question.
Die Berichte, auf die Sie sich beziehen, haben auch mich tief, tief beunruhigt.	I also found the reports to which you refer deeply disturbing.
Ich habe den Bericht über angebliche Zwangssterilisierungen von Frauen in der Slowakei, die der Minderheit der Roma angehören, mit großer Sorge und Betroffenheit zur Kenntnis genommen.	I read the report on the alleged forced sterilisation of women from the Roma minority in the Slovak Republic with great concern and consternation.
Eine solche Praxis würde in der Tat einen schweren Verstoß gegen die Menschenrechte darstellen, sofern eine solche Praxis vom Staat oder irgendwelchen anderen öffentlichen Einrichtungen entweder angeordnet oder zumindest geduldet wird, beziehungsweise wenn der Staat sich weigern sollte, den Anschuldigungen nachzugehen und Verantwortliche zur Rechenschaft zu ziehen.	A practice of this kind would in fact constitute a serious violation of human rights if it were either ordered or at least tolerated by the state or any other public institution, or if the state were to refuse to investigate the accusations and call those responsible to account.
Ich habe mich deshalb sofort nach Erscheinen dieser Berichte mit dem slowakischen Premierminister mündlich und schriftlich in Verbindung gesetzt und ihm meine Sorge zum Ausdruck gebracht. Ich habe den slowakischen Premierminister gebeten, für eine rasche, rückhaltlose Aufklärung der Vorwürfe zu sorgen, die von verschiedenen Menschenrechtsorganisationen vorgebracht wurden.	Immediately after this report appeared I therefore expressed my concerns to the Slovak Prime Minister, both verbally and in writing, and asking him to ensure that light was shed quickly on the accusations, which have been made by various human rights organisations.
Ich bin sehr froh, Ihnen mitteilen zu können, dass die slowakische Regierung ohne Zögern und sofort reagiert hat.	I am very pleased to be able to tell you that the Slovak Government responded immediately and without hesitation.
Die notwendigen strafrechtlichen Schritte wurden sofort auf Veranlassung des für Menschenrechtsfragen zuständigen stellvertretenden Premierministers der Slowakischen Republik eingeleitet.	The Deputy Prime Minister of the Slovak Republic responsible for human rights issues acted straight away to instigate the necessary steps under criminal law.
Es wurde ein besonderes Ermittlungsteam eingesetzt.	A special investigation team was set up.
Dieses Ermittlungsteam wird vom Berater des Innenministers für Roma-Fragen unterstützt.	This investigation team is supported by the Home Affairs Minister's advisor on Roma issues.
Dieser Berater des Innenministers für Fragen der Roma gehört selber der Minderheit der Roma an.	This Home Office advisor for Roma issues himself belongs to the Roma minority.
Die Regierung hat außerdem die stellvertretende Vorsitzende des Gesundheitsausschusses der Parlamentarischen Versammlung des Europarates zu einer fact finding mission in die Slowakei eingeladen.	In addition, the government has invited the Vice-Chairperson of the Council of Europe Parliamentary Assembly's Committee on Health to the Slovak Republic on a fact-finding mission.
Ich habe in der Zwischenzeit auch eine schriftliche Antwort des slowakischen Premierministers erhalten, in der er mir versichert, dass es keine solche staatliche Praxis in der Slowakischen Republik gibt und dass den Vorwürfen mit aller Genauigkeit nachgegangen wird und man für den Fall, dass sie sich als wahr erweisen sollten, mit aller Strenge des Gesetzes dagegen vorgehen wird.	In the meantime I have also received a written reply from the Slovak Prime Minister in which he assures me that there is no state-sponsored practice of this kind in the Slovak Republic, that the accusations are the subject of a meticulous investigation and that should they prove to be true the full force of the law will be brought to bear in taking action against the perpetrators.
Ich kann Ihnen versichern, dass die Kommission den Fortgang der Untersuchungen sehr genau verfolgen wird.	I can assure you that the Commission will closely monitor the progress of the investigations.
Selbstverständlich werden wir uns dafür einsetzen, dass Missstände sofort behoben werden und notwendige strafrechtliche Schritte eingeleitet werden, falls die Anschuldigungen zutreffen sollten.	Obviously we will do all we can to ensure that any abuses are remedied forthwith and that the necessary steps are taken under criminal law, should the accusations be true.
