Herr Präsident! Rauchen tötet!	Mr President, smoking kills!
Tabak ist das einzige Produkt, das durch bestimmungsgemäße Anwendung seinen Konsumenten tötet.	Tobacco is the only product that when used as directed, kills its consumers.
Dennoch haben wir die absurde Situation, daß Zusatzstoffe etwa in Gummibärchen besser gekennzeichnet sind als die Zusatzstoffe in Tabakerzeugnissen.	Yet we have the absurd situation where additives used in Gummibärs, for example, are better labelled than the additives in tobacco products.
Es ist ein Unding, daß beispielsweise nicht geklärt ist, ob Ammoniak, der die Sucht verstärkt, gekennzeichnet werden muß oder nicht.	It is preposterous that it is unclear, for example, as to whether ammonia, which increases addiction, has to be labelled or not.
Es ist auch geradezu grotesk, daß nach wie vor irreführende Werbung, wie Light oder Ultramild, ermöglicht wird.	It is also absolutely grotesque that we are going to carry on allowing advertisers to use such misleading descriptions as light or ultramild.
Ich glaube, es darf kein Zweifel daran bestehen, daß das verboten gehört.	I feel people should be left in no doubt as to the fact that there should be a ban on this.
Heuchlerisch ist auch, daß viele einerseits die Gesundheitsrisiken des Rauchens - vom Raucherbein bis zu Krebs - und auch die damit verbundenen volkswirtschaftlichen Kosten beklagen, sich aber andererseits dagegen wenden, daß die Risiken groß und klar auf der Packung benannt werden.	It is also hypocritical that many people lament the risks smoking poses to health on the one hand - from hardening of the arteries in the leg to cancer - and the associated costs incurred by the national economy, yet they are against the risks being stated in large and clear lettering on the packet.
Ich glaube, es ist deutlich geworden, was auch die Erfahrungen in Kanada gezeigt haben, daß die Abschreckung umso größer ist, je größer der Warnhinweis auf der Packung ist.	I believe it has become evident - and this is borne out by experiences in Canada - that the larger the health warning on the packet, the greater the deterrent effect.
Wir haben als Parlament beim Tabakwerbeverbot ganz klar Flagge gezeigt.	As a Parliament, we have really nailed our colours to the mast where the ban on tobacco advertising is concerned.
Ich muß ganz deutlich sagen, daß ich es beschämend finde, daß die Rot-Grüne-Bundesregierung der alten Bundesregierung gefolgt ist, eine Klage beim EuGH dagegen einzureichen.	I make no bones about the fact that I think it is disgraceful how the Red-Green Federal Government followed the former Federal Government' s example in lodging a complaint against this at the European court of Justice.
Ich hoffe aber, daß es uns gelingt, diese Woche, ähnlich wie beim Tabakwerbeverbot, ganz klar Flagge zu zeigen und uns nicht dem Druck der Industrie zu beugen, sondern deutlich zu machen, daß alles getan werden muß, um insbesondere Kinder und Jugendliche davor zu schützen, zur Zigarette zu greifen.	However, I hope we really succeed in nailing our colours to the mast this week, as in the case of the ban on tobacco advertising, and that we do not bow to the pressure of industry but are able to make it clear that everything possible must be done to protect children and young people, in particular, from taking up smoking.
