Frau Präsidentin, meine Damen und Herren! Wir reden eigentlich über den Gipfel am 16. Dezember.	Madam President, ladies and gentlemen, we are talking about the summit on 16 December.
Es wäre schön, wenn wir nach dem Gipfel vom Rat hören würden: Wir kennen die Lücken, wir kennen die Fehler, wir wissen um unser Versagen und auch um die Grenzen des Vertrags.	It would be good if the Council could say to us after the summit: We are aware of the gaps and the mistakes, we know where we have failed and we understand the limits of the treaty.
Mit Selbstzufriedenheit und Schuldzuweisungen, mit Beschönigungen und Oberflächlichkeit werden wir kein Problem lösen und kein Vertrauen schaffen.	Self-satisfaction and accusations of guilt, attempts to gloss over mistakes and a superficial approach will not solve any problems or create any confidence.
Beenden wir das Spiel mit Europa, es geht um Europa.	Let us stop playing with Europe. This really is all about Europe.
Ich teile jeden Satz, den Wolf Klinz gesagt hat.	I endorse everything that Mr Klinz has said.
Und da wir wenige Tage vor Weihnachten stehen, sage ich: Zünden Sie eine Kerze der Entschlossenheit und der Gemeinsamkeit an, eine Kerze der neuen Ernsthaftigkeit und Aufrichtigkeit, der Zuversicht in die Zukunft der Europäischen Union und eine Kerze für einen politischen Kurswechsel in Europa, von der Krise zur Wettbewerbsfähigkeit, vom Geist von Deauville zur Politischen Union, vom Sparen zur Investition und zur Reform, von der Währungsunion zur Politischen Union.	As it is now only a few days before Christmas, I would like to say: Light a candle of determination and common interest, a candle representing the new seriousness, honesty and confidence in the future of the Europe Union. Light a candle for a change of political course in Europe, a move from the crisis to competitiveness, from the spirit of Deauville to the political union, from saving to investment and reform, from the monetary union to the political union.
Die Vertragsergänzung ist wegen der verfassungsrechtlichen Probleme Deutschlands eine politische Krücke für die Weiterentwicklung des Schutzschirmes, nicht mehr und nicht weniger, keine Lösung.	Because of Germany's constitutional problems, the addition to the treaty is simply a political crutch for the further development of the rescue package, nothing more and nothing less. It does not represent a solution.
Machen Sie sie nicht größer, als sie ist.	Do not try to make it more important than it really is.
Beenden Sie die day by day Politik, und legen Sie ein Gesamtkonzept zur Antwort auf die Krise und für den Weg zur Politischen Union vor.	Stop the day-by-day policymaking and put forward a complete concept in response to the crisis which will move us towards political union.
Machen Sie Schluss mit der Kakofonie: Es reicht, es reicht nicht, und eigentlich wissen wir nicht, wohin es geht.	Put an end to the discord. It is enough, it is not enough and, actually, we do not know where things are going.
Verlangen wir gemeinsam von der Kommission ein Konzept zur Wirtschafts-, Sozial- und Finanzunion, damit wir Ende nächsten Jahres den nächsten Integrationsschritt und Nägel mit Köpfen beschließen können.	We must call on the Commission to produce a concept for an economic, social and financial union, so that we can take the next step towards integration at the end of next year and really do the job properly.
