Herr Präsident! Wir brauchen eine Revolution der Demokratie!	Mr President, we need a revolution in democracy.
Herr Barroso, stellen Sie sich vor, Sie würden sich in Europa einer Wahl stellen, nur Sie ganz allein, kein anderer Kandidat!	Mr Barroso, just imagine you were to stand for election in Europe, just you and no other candidate.
Wie viel Prozent der Stimmen würden Sie bekommen?	What percentage of the votes would you receive?
Was würden die Bürgerinnen und Bürger tun?	What would the citizens do?
Sie hätten Ihnen wohl heute zugehört und gesehen, dass Sie allen alles versprochen haben.	They would probably have listened to you today and seen that you promised everything to everyone.
Sie würden hoffentlich auch die Information bekommen, was Sie vor fünf Jahren gemacht haben.	Hopefully, they would also find out what you did five years ago.
Da haben Sie den meisten sehr, sehr viel versprochen.	That was when you promised most people a very great deal.
Dann muss man vergleichen zwischen dem, was Sie schon einmal versprochen haben, dem, was Sie jetzt versprechen, und dem, was zu erwarten ist.	It is a question of comparing what you promised then with what you are promising now and with what can be expected.
Ich denke, das ist sehr, sehr wenig.	I believe that is very, very little.
Sie stehen für das alte, für das gescheiterte Europa, für den Beitrag zur Finanzkrise, weil die Kommission versagt hat, für mangelndes Engagement in Klimafragen und und und.	You represent the old Europe, the botched Europe, the contribution to the financial crisis, as a result of the failure on the part of the Commission, the lack of commitment to climate issues, and so on and so forth.
Ich würde mich auf die Seite der Mehrheit der europäischen Bürgerinnen und Bürger stellen, weil ich glaube, sie würden nicht mehr als 10 oder 12 oder 15 % der Stimmen bekommen.	I would be on the side of the majority of European citizens, because I believe that you would not get more than 10 or 12 or 15% of the votes.
