Herr Präsident, liebe Kollegin Fontaine, ich möchte mich für Ihre ausgezeichnete Arbeit bedanken.	Mr President, I should like to thank Mrs Fontaine for the sterling work she has done.
Es geht hier um die Richtlinie zur Freizügigkeit für Ärzte und gegenseitigen Anerkennung ihrer Diplome, Prüfungszeugnisse und sonstigen Befähigungsnachweisen, ein Anliegen, das für die Bürger und Bürgerinnen sehr wichtig ist.	The directive that we are discussing here - on the free movement of doctors and the mutual recognition of their diplomas, certificates and other evidence of formal qualifications - is a very important one in the eyes of the public.
Diese Richtlinie ist ein Beitrag zur Verwirklichung der Freizügigkeit und des Binnenmarktes, die in den Verträgen der Europäischen Gemeinschaften festgeschrieben sind, und dies nicht nur mit Worten, sondern auch mit Taten.	It makes a practical, and not merely a rhetorical contribution to the implementation of freedom of movement and the internal market, as laid down in the European Community Treaties.
Diese Richtlinie bedeutet also einen wichtigen Schritt nach vorne.	It therefore represents an important step forward.
Der Rat hat allerdings die wesentlichen Änderungsanträge, die das Europäische Parlament in erster Lesung vorgelegt hat, schlicht und einfach ignoriert.	However, the Council has simply ignored the substantive amendments that were put forward by the House at first reading.
Diese beschäftigten sich insbesondere mit der Stellung von EU-Staatsangehörigen mit Qualifikationen aus Drittstaaten.	These concerned, in particular, the position of nationals of Member States who hold diplomas awarded by third countries.
Zwar hindert diese Richtlinie die Mitgliedstaaten nicht daran, den Inhabern von Diplomen, Prüfungszeugnissen oder sonstigen Befähigungsnachweisen, die nicht in einem Mitgliedstaat erworben wurden, zu gestatten, eine Tätigkeit als Arzt aufzunehmen und auszuüben. Aber sie läßt offen, wie dies gehandhabt werden soll.	Although the directive will not prevent the Member States from allowing the holders of diplomas, certificates and other formal qualifications not acquired in a Member State from becoming established and practising as doctors, it leaves open the issue of how this should be done.
Und sie läßt vor allem auch offen, wie die Anwendung der Regelung zur Anerkennung im Rahmen der Bewegungsfreiheit innerhalb der Europäischen Union aussehen könnte.	In particular, it leaves open the question of how the system of recognition should be applied in the context of freedom of movement in the European Union.
Deshalb ist es unerläßlich, gemäß dem Bericht der Kommission über den Stand der Anwendung der allgemeinen Regelung zur Anerkennung der Hochschuldiplome entsprechende Überlegungen anzustellen.	It is therefore essential to begin considering this issue, in the light of the Commission report on the state of application of the general system for the recognition of higher education diplomas.
Ich verstehe nicht, was der Rat dagegen einzuwenden hat, daß man über die Lösung von Problemen nachdenkt, denn sehr viel mehr sagen wir in unserem Änderungsantrag eigentlich nicht.	I fail to understand how the Council can object to considering possible solutions to problems - and that is really all that we are asking for in our amendment.
Auf weitere wesentliche Änderungsanträge des Europäischen Parlaments brauche ich nicht besonders einzugehen.	I have no need to go into detail on Parliament's other crucial amendments.
Frau Fontaine hat klar zum Ausdruck gebracht, wie wichtig die Rolle des Ständigen Ausschusses der europäischen Ärzte und des anzuwendenden Komitologieverfahrens sind.	Mrs Fontaine has emphasized the importance of the role played by the Standing Committee of European Doctors and of the comitology procedure that is to be applied.
Die Fraktion der Sozialdemokratischen Partei Europas des Europäischen Parlamentes steht auch in diesen Fragen voll hinter den vom Ausschuß für Recht und Bürgerrechte erneut eingebrachten Änderungsanträgen.	The Group of the Party of European Socialists is also fully behind the amendments on these questions that have been reintroduced by the Committee on Legal Affairs and Citizens' Rights.
Ich bedanke mich für ihre Aufmerksamkeit.	Thank you for your attention.
