Herr Präsident, meine Damen und Herren! Auch ich möchte dem Berichterstatter danken.	Mr President, ladies and gentlemen, I too would like to thank the rapporteur.
Das wurde zwar schon häufig gesagt, trotzdem muss man es wiederholen, weil es nun wirklich keine einfache Arbeit war, die widerstrebenden Anträge zusammenzubringen.	A lot of people have already said that, but it still needs to be repeated, for the task of bringing together the contradictory amendments really was not a straightforward one.
Ich möchte mich zunächst sowohl an die Gegner des Berichts Eurlings als auch an die Gegner des Beginns von Beitrittsverhandlungen wenden.	I would like to start by addressing both the Eurlings report’s detractors and those who have been opposed to accession negotiations from the outset.
Es gibt zwei Argumente, die häufig genannt werden.	There are two arguments that they frequently adduce.
Das eine ist ein kulturalistisches, wer das zu Ende denkt, hierarchisiert Religionen und Kulturen in der Europäischen Union. Das hat mit der Europäischen Union, wie sie die Mehrheit hier möchte, nichts mehr zu tun.	One of them has to do with culture, and if you follow it to its conclusion, you end up attributing differing status to religions and cultures in the European Union, and that bears no relation whatever to the European Union that most of us want.
Eine Europäische Union, in der eine Religion mehr wert sein sollte als eine andere, in der es über- und untergeordnete Kulturen gibt, hat mit den Römischen Verträgen nichts zu tun.	A European Union in which one religion is worth more than another, one in which there are superior and subordinate cultures, has nothing to do with the Treaties of Rome.
Das zweite Argument ist die Überlastung. Das ist allerdings ein sehr wichtiges Argument, das man ernst nehmen muss, und das gilt auch für uns Befürworter des Berichts Eurlings und der Erweiterung der Europäischen Union.	The second argument has to do with our over-stretching ourselves, and it is, admittedly, a very important one, one that has to be taken seriously – and also by those of us who are defenders of the Eurlings report and of the enlargement of the European Union.
Nur, es ist eben nicht so, dass wir uns eine Auszeit nehmen können, eine Pause von der Weltgeschichte, wo wir uns mit uns selbst beschäftigen.	It just so happens, though, that we cannot allow ourselves some time out and take a break from world history in order to work on ourselves.
Die Welt wartet nicht auf uns, und es heißt auch, die Herausforderungen des Fundamentalismus, des internationalen Terrorismus, werden nicht auf die Europäische Union warten, bis wir mit der Vertiefung soweit sind.	The world will not wait for us, nor will the challenges of fundamentalism and international terrorism wait until the European Union has become deep enough.
Wir müssen die Vertiefung und die Erweiterung gleichzeitig in Angriff nehmen.	We have to tackle, at one and the same time, the enlargement of the European Union and the deepening of European integration.
Ich richte mich an uns, an die Befürworter: Wir gehen damit die Verpflichtung ein, im Bündnis mit den Zivilgesellschaften der Türkei dafür zu sorgen, dass die Türkei ein Land wird, das frei von jeder Art von Folter ist.	Let me address those of us who are in favour. By being so, we are committing ourselves to joining with civil society in Turkey in ensuring that Turkey becomes a country free of every kind of torture.
Wir gehen damit die Verpflichtung ein, dafür zu sorgen, dass in der Türkei Kurden, Tscherkessen, Lasen und andere ihre Muttersprache gemeinsam mit der Amtssprache pflegen können.	We are thereby committing ourselves to ensuring that, in Turkey, Kurds, Circassians, Lazs and others can use their mother tongues as well as the official language of the country.
Wir gehen die Verpflichtung ein, dass in der Türkei jede Frau die Schule besuchen kann, sich ihren Partner frei auswählen kann und eine Partnerschaft frei von jeder Art von Gewalt führen kann.	We are making a commitment that every woman in Turkey will be free to go to school, free to choose her partner and to live in a partnership free of any sort of violence.
Schließlich gehen wir die Verpflichtung ein, gemeinsam mit unseren Freunden in der Türkei dafür zu sorgen, dass in der Türkei die christlichen Kirchen, die Vielfalt der Religionsgemeinschaften von Aleviten bis zu Sunniten alle gemeinsam eine Blüte wiedererleben, wie es die Geschichte des Osmanischen Reichs früher kannte, und dazu gehört unser Wunsch, dass die Zahl der Christen nicht mehr ab-, sondern wieder zunimmt.	Finally, we are committing ourselves to joining with our friends in Turkey in ensuring that, in Turkey, the Christian churches and all the various faith communities, from Alevis to Sunnis can, together, flourish as they once did during the history of the Ottoman Empire, and that involves the aspiration that the number of Christians should no longer decline, but begin a renewed increase.
Auch das würde die multikulturelle und multireligiöse Türkei stärken.	That too would strengthen a multi-cultural and multi-faith Turkey.
Auch die Türkei geht eine Verpflichtung ein, nämlich die Verpflichtung, uns zu helfen, indem sie die Reformen weiterführt und uns hilft, die europäische Öffentlichkeit mit Herz und Verstand zu überzeugen.	Turkey, too, is entering into an obligation; it is committing itself, through ongoing reforms, to helping us win over the hearts and minds of the European public.
