Herr Präsident! Wenn es das tadschikische Volk nicht gäbe, dann stünde ich heute nicht hier!	Mr President, were it not for the people of Tajikistan I would not be standing here today.
Mein Großvater war als Kriegsgefangener im Ersten Weltkrieg 1916 im damaligen Russisch-Zentralasien zum Eisenbahnbau. Und er hat mir immer erzählt, daß er diese schweren Jahre nur aufgrund der Gastfreundschaft und Hilfsbereitschaft des tadschikischen Volkes überlebt hat.	During the First World War, in 1916, my grandfather was a prisoner of war working on the railways in what used to be Russia-Central Asia, and he has often told me that he was only able to survive these difficult years on account of the hospitality and helpfulness of the people of Tajikistan.
Dies ist aber nicht der Grund, warum ich mich heute so für Tadschikistan einsetze, sondern im Gegensatz zum Kollegen Blokland bin ich schon der Meinung, daß das eine Frage ist, die uns unmittelbar angeht.	But this is not why I am so keen to support Tajikistan' s cause, rather, unlike Mr Blokland, I believe that it is an issue that is of direct concern to us.
Tadschikistan liegt in einem Raum, der eingegrenzt wird von China und Rußland, die dort zusammenstoßen, der islamischen Welt und dem Kaspischen Meer, wo gewaltige Rohstoffvorkommen sind.	Tajikistan is situated in an area enclosed by China and Russia, which are at odds in this region, and by the Islamic world and the Caspian Sea, where there are immense deposits of raw materials.
Meines Erachtens ist dieser Raum der Balkan der Zukunft, ein Balkan im Weltmaßstab. Und deshalb ist es unser Lebensinteresse, zumal dort auch eine Reihe von Atommächten angesiedelt ist, diesen Raum zu stabilisieren und zu verhindern, daß sich ethnische Konflikte dort auf die ganze Welt auswirken.	In my view, this region represents the Balkans of the future, a Balkans in microcosm, and that is why it is in our vital interest, particularly as a number of nuclear powers are established there, to stabilise this region and prevent ethnic conflicts taking place there from having an impact on the entire world.
Deshalb glaube ich, daß es notwendig ist, Tadschikistan auf seinem schweren Weg zu helfen, durch einen Kredit, aber auch durch verlorene Zuschüsse, wobei klar ist, daß wir uns deshalb an die Mitgliedstaaten wenden müssen, weil dies unser Haushalt nicht hergibt.	That is why I believe that we need to help Tajikistan on its difficult way ahead by providing it with a loan, but also with outright grants, it being clear, in this respect, that we will have to call upon the Member States as our own budget will not accommodate this.
Wir sollten natürlich Demokratie und Rechtsstaatlichkeit einfordern, aber wir sollten auch keine ungerechten Maßstäbe anlegen.	Of course, we must demand democracy and the rule of law but, at the same time, we must not apply uncalled-for standards.
Tadschikistan wurde jahrhundertelang kolonial ausgeplündert. Es wurde 80 Jahre lang vom Sowjet-Kommunismus brutal unterdrückt.	For centuries, Tajikistan was subjected to colonial exploitation and for eighty years it was brutally suppressed by Soviet Communism.
Heute geht dieses kleine Bergvolk mühsam seinen Weg, und da können wir nicht europäische Maßstäbe anlegen.	Today this small mountain race is making its way with difficulty and must not be made subject to European standards.
Da müssen wir Maßstäbe anlegen wie bei Entwicklungsländern, wobei auch die Länder Afrikas, wo es noch viel zu beklagen gibt, immerhin seit Jahrzehnten von uns unterstützt werden auf dem Weg die Demokratie.	We must apply the same standards that we apply to developing countries; after all, we have been supporting the countries of Africa on the road to democracy for decades now, and the situation there still leaves much to be desired.
Tadschikistan wird erst seit wenigen Jahren unterstützt.	We have only been supporting Tajikistan for a few years now.
Deshalb müssen wir natürlich Spielregeln einfordern, aber wir sollten Geduld haben mit dem tadschikischen Volk, wir sollten die Wahlen im Frühling massiv fördern und wir sollten erkennen, daß dies nicht nur eine Tat ist, die Europa zur Ehre gereicht, sondern daß es auch im ureigensten Interesse Europas ist, für Frieden in dieser Region zu sorgen.	Therefore, whilst we must demand certain rules of the game, we must also be patient towards the people of Tajikistan, heavily promote the elections to take place in the spring and recognise that this is not just an act that will do honour to Europe, rather it is in Europe' s own best interests to bring peace to this region.
