Frau Präsidentin, ich spreche auch zum Thema Säuglingsnahrung.	Madam President, I would also like to speak about baby food.
Meine Fraktion spricht sich, wie andere in diesem Hause, dafür aus, daß in der Säuglingsnahrung keine Pestizide enthalten sein sollten, wobei ich allerdings sagen muß, wenn ein Grenzwert festgelegt wird, der an der Nachweisgrenze liegt, dann sind wir der Meinung, daß die Forderung erfüllt ist.	Like others in this House, my group is calling for a ban on pesticides in baby food, although I have to say that we believe this criterion will be met if the limit value set is close to the detection limit.
Aber soweit ist die Kommission ja leider noch nicht.	Unfortunately, the Commission has not got that far yet.
Wir sind sehr verärgert, daß dieses Thema in der Kommission immer wieder verschoben wird und daß man einfach nicht zu Potte kommt.	We are extremely annoyed that this subject has been repeatedly put off by the Commission, and that they quite simply do not get round to it.
Die wissenschaftlichen Erkenntnisse liegen vor. Es gibt konkrete Anhaltspunkte, daß etwa bei Lindan der geltende Grenzwert in der Erwachsenennahrung einfach nicht ausreicht, und es ist klar, daß Säuglinge empfindlicher sind als Erwachsene.	Scientific data is already available, and there are clear grounds for saying that, for lindane for example, the limit value applying to adult foods is just not enough, and babies are clearly more sensitive than adults.
Das Beispiel BSE sollte uns lehren, daß immer dann, wenn auch nur ein Verdacht besteht, wir das sehr ernst nehmen und jedes Risiko ausschließen sollen.	BSE should have taught us that whenever there is even a mere suspicion, we should take it very seriously and rule out any risk.
Nun wird die Kommission möglicherweise sagen, das ist hier die falsche Stelle. Man sollte das nicht hier regeln.	Now, maybe the Commission is going to say that this is the wrong place, and that this should not be sorted out here.
Dann frage ich mich, warum hat die Kommission das noch nicht an der richtigen Stelle geregelt?	In that case, I wonder why the Commission has not yet sorted it out in the right place!
Sie hätten schon längst einen Grenzwert beschließen können, der an der Nachweisgrenze liegt, dann würden wir gar nicht mehr diskutieren.	You should have decided on a limit value close to the detection limit long ago, and then we would not still be discussing this.
Wenn Sie das im Laufe der nächsten Wochen diskutieren, wird das hoffentlich beschlossen, und dann entfällt natürlich die Grundlage für diesen Änderungsantrag.	If you discuss this over the next few weeks, I hope it will be settled, and then there will not of course be any need for this amendment.
Wenn Sie heute erklären, daß Sie es machen werden, dann entfällt auch der Änderungsantrag.	If you can say today that you will do that, then our amendment can be dropped.
Aber ich appelliere an die Kommission, wirklich strenge Grenzwerte festzulegen.	But I appeal to the Commission to set really strict limit values.
