Frau Präsidentin! Es ist mir auch noch nicht so häufig passiert, dass ich übersehen werde.	Madam President, it has been rare for me to be overlooked.
Trotz alledem komme ich jetzt gerne zu meiner Rede.	Nevertheless, I will gladly begin my speech now.
Wir alle wissen, dass nicht alle Mitgliedstaaten der Eurozone gleich stark von der Wirtschafts- und Finanzkrise betroffen sind.	We all know that not all Member States in the euro area have been equally hard hit by the financial and economic crisis.
Länder, die besonders hart betroffen sind, müssen jedoch aus meiner Sicht weitreichendere Maßnahmen treffen als diejenigen, die weniger in Mitleidenschaft gezogen wurden.	In my opinion, however, countries that have been particularly hard hit need to take more extensive measures than those that have not been affected as badly.
Die Stabilität des Euro muss dabei selbstverständlich das entscheidende und auch übergeordnete Ziel bleiben.	The stability of the euro must, of course, remain the crucial and overarching goal.
Das gilt auch für die Maßnahmen zur Konsolidierung von Haushalten der einzelnen Euro-Mitgliedstaaten, die nicht nur im Interesse der Länder selbst liegen, sondern natürlich auch im Interesse der Länder, die eben nicht so stark betroffen sind.	That also applies to the measures for consolidating the budgets of the individual Member States of the euro area. These measures are not only in the interests of the countries themselves, but also of the countries that are not as badly affected.
Allerdings müssen wir uns auch genau überlegen, welche Maßnahmen nötig sind und welche Maßnahmen vielleicht weniger zielführend sind, um Ländern hier zu helfen.	However, we must also consider carefully what measures are necessary and what measures might perhaps be less effective in helping the countries out of this crisis.
Wir könnten zwar den wirtschaftlichen Sorgenkindern in der Währungsunion zum Beispiel mittels einer Gemeinschaftsanleihe mehrerer Staaten der Eurozone helfen, günstiger an Geld zu kommen, doch kann dieses günstige Geld von außen kaum die akuten Probleme lindern und wird auch nichts an den Ursachen ändern.	Although we could help the countries with the greatest economic problems in the monetary union to obtain money on favourable terms, for example, by means of a Union loan to several euro area states, this favourable external credit would hardly be able to alleviate the acute problems they are facing and would also do nothing about the causes of the problems.
Diese Länder haben aus meiner Sicht in der Vergangenheit wichtige Reformen versäumt, wofür sie nun die Quittung bekommen haben.	In my view, these countries have, in the past, failed to make important reforms, for which they are now paying the price.
Die Probleme sind deswegen zum großen Teil hausgemacht und müssen von den betreffenden Ländern künftig auch selbst gelöst werden.	The problems are therefore largely of their own making and therefore need to be solved in future by the relevant countries themselves.
Deswegen müssen wir strikte Spar- und Reformprogramme durchführen, wie es die Kommission angekündigt hat.	For that reason, we need to implement strict austerity and reform programmes, as announced by the Commission.
Es wäre aus meiner Sicht ein fatales Signal, wenn am Ende immer der Steuerzahler aushelfen müsste. <BRK>	In my opinion, it would be disastrous if the taxpayer always ends up footing the bill.
