. – Herr Präsident!	.
Es gibt bei den transeuropäischen Netzen einen eklatanten Widerspruch zwischen der allgemeinen Bedeutung, die Minister Schmit eben unterstrichen hat, und der Realisierung.	Mr President, the trans-European networks present us with a glaring discrepancy between their general importance, which Mr Schmit has just underlined, and the extent to which they have been realised.
Deswegen laufen wir Gefahr, dass wir von den transeuropäischen Verkehrsnetzen zu einem transeuropäischen, permanenten Ärgernis kommen, und das haben wir seit einigen Jahren.	It is for this reason that we are running the risk, where the trans-European networks are concerned, of making permanent the trans-European nuisance that we have had for some years now.
Zur Erinnerung: Die transeuropäischen Netze sind ein Auftrag des Vertrags von Maastricht.	Let me remind you that building the trans-European networks is a task given us by the Treaty of Maastricht.
Das ist nicht etwas, was man sich ausgedacht hat. Das ist eine Verpflichtung, die wir zusammen eingegangen sind.	They are not something that we simply came up with; they are a matter of obligation, an obligation into which we jointly entered.
Seit ich daran arbeite, von der Christopherson-Gruppe bis zur Gruppe der hochrangigen Beauftragten unter Karel Van Miert, ist immer sehr viel heiße Luft produziert worden, aber wenig Reelles, wenig an Projekten herausgekommen.	Throughout the time that I have been working on them – starting with the Christopherson group, and most recently in the high-level representatives’ group under Karel Van Miert – the outcome has always been a great deal of hot air, but little of any real substance, and little in the way of projects.
Schon zur Zeit der Christopherson-Gruppe wurde uns erzählt, die Projekte seien alle baureif, sie seien praktisch realisierbar, morgen könne der Bagger kommen.	Even in the days of the Christophersen group, we were told that the projects were all ready to go ahead, that they were a practical proposition, and that the excavators could start work tomorrow.
Und es ist wenig passiert!	Not much actually happened, though.
Nochmals zur Erinnerung: Wir haben im letzten Jahr, im Mai 2004, in Rat und Parlament die Projekte mit Enddaten versehen.	I would also like to remind you that last year, in May 2004, the Council and this House specified completion dates for the projects.
Wenn diese Enddaten nicht eingehalten werden können, dann wünsche ich mir vom Rat – d. h. nicht vom Rat insgesamt, sondern von den Mitgliedstaaten –, dass man sagt: Wir wollen das nicht, wir können das nicht. Wir werden das nicht realisieren.	If it turns out that these completion dates cannot be met, I would hope that the Council – and by that I mean not the Council as a whole, but the Member States – will say that that is not what they want, that they cannot go along with it, and that the projects cannot be completed.
Dann muss man sich eben von diesen Projekten verabschieden.	It is at that point that we will have to abandon the projects.
Deshalb: Mehr Mut, mehr Engagement, mehr Ehrlichkeit vom Rat in dieser Frage! Und wenn das heute ein Versprechen war, dass Präsidentschaft, Parlament und Kommission den Haushaltsansatz für die Finanzielle Vorausschau unterstützen, dann ist das schon eine Aussage, mit der wir ganz gut leben können.	So, in this matter, let us have more courage, more commitment and more honesty from the Council, and if what we have heard today – that the presidency, Parliament, and the Commission endorse the budget appropriations for the Financial Perspective – is a promise, then that is a statement with which we are very comfortable.
