Herr Präsident!	.
Ich glaube es lohnt sich, im Fall Somalias etwas in die Geschichte zurückzublicken.	Mr President, when considering the case of Somalia, I think it is worth taking something of a backward look into its history.
Der Westen hat sich in Bezug auf Somalia alle möglichen schlimmen Politiken geleistet.	What the West did to Somalia involved the application of every bad policy imaginable.
Wir erinnern uns an die Intervention von 1993, die in einem Fiasko endete.	Let us recall the intervention in 1993, which ended up as a fiasco.
Deutschland hatte dort Truppen stationiert, die Unterstützungstruppen für indische Truppen sein sollten, die aber nie eintrafen.	Germany had stationed troops there, who were meant to be supporting Indian troops, but these never actually turned up.
Wir müssen uns damit auseinandersetzen, dass, sobald das Militär abgezogen wurde, kaum mehr Interesse an Somalia vorhanden war.	We have to face up to the fact that, as soon as the troops were withdrawn, there was scarcely any interest in Somalia any more.
Jetzt gibt es in Somalia eine neue Konstellation.	Things in Somalia have now rearranged themselves.
Die Koalition, deren Mitglieder als Islamisten bezeichnet werden, hat sich Stück für Stück militärisch durchgesetzt, und diejenigen Truppen, die laut Presseberichten von den USA unterstützt wurden, nämlich die Allianz der Warlords, wurden immer weiter zurückgedrängt.	The coalition, whose members are described as Islamists, have, slowly but surely, achieved military dominance, and the troops that the press describe as being supported by the USA – the Warlords Alliance, that is – have been pushed further and further back.
Offensichtlich ist es so, dass insbesondere die US-Regierung hier auf das falsche Pferd gesetzt hat und jetzt quasi vor den Scherben ihrer eigenen Politik steht.	It is obvious that the US administration, in particular, has backed the wrong horse and now sees its own policies in virtual ruins.
Jetzt stellt sich die Frage: Was kann die Europäische Union in dieser Konstellation tun? Es wäre völlig falsch, jetzt einen der Konfliktgegner vor Ort zu unterstützen.	The question now arises as to what the European Union can do about this state of affairs.
Vor allem muss man darauf hinweisen, dass im Moment besonders Äthiopien und Eritrea offensichtlich ein enormes Interesse daran haben, ihren Konflikt auf dem Gebiet von Somalia auszufechten. Daher ist es sehr wichtig, dass die Europäische Union Eritrea und Äthiopien diplomatisch ganz klar zu verstehen gibt: Das darf nicht der Fall sein.	It would be quite utterly wrong to support one of the parties to the conflict on the ground, and it needs to be stressed above all that since, at the moment, Ethiopia and Eritrea have a manifest and considerable interest in using Somalian territory as a place in which to settle their differences by force of arms, it is very important that the European Union should, through diplomatic channels, make it perfectly plain to both of them that this is just not on.
Ich sehe im Moment überhaupt keinen Sinn darin, dass dort ausländische Militärinterventionen stattfinden. Es gibt bestimmte Regionen innerhalb von Somalia, die stabil sind, wie z. B. Somaliland.	As things stand at present, I see absolutely no sense whatever in foreign military intervention in Somalia, within which there are certain regions that are stable; Somaliland is one of them.
Deshalb: keine Truppenentsendung und keine Unterstützung von Truppenentsendungen, sonst haben wir wieder das Phänomen, das es ja schon häufig gegeben hat, nämlich das Frankenstein-Prinzip. Man hat irgendeine Gruppe unterstützt, die dann genau das getan hat, was man vermeiden wollte.	For that reason, no troops must be sent, nor must there be any support for the deployment of them, or else we will again end up with what has come to pass often enough already, namely, the creation of a Frankenstein’s monster, for support was given to this or that grouping, which then did the very thing that it was intended should be avoided.
Insofern der Appell an die Europäische Union, hier diplomatisch tätig zu werden.	I therefore urge that any action there on the part of the European Union be diplomatic in character.
