Herr Präsident!	.
Ich bedauere, dass wir dieses relativ wichtige Thema um diese Uhrzeit diskutieren. Ich bedauere auch, dass wir dies zeitgleich mit einer Sitzung des Ausschusses für auswärtige Angelegenheiten tun, wo im Moment über die Türkei abgestimmt wird.	Mr President, I find it regrettable that it should be at this hour of the day that we are discussing this issue, which is a rather important one, and not least that we should be doing so at the same time as the Committee on Foreign Affairs is meeting and voting on Turkey at this very moment.
Leider ist dies aber auch ein Hinweis dafür, für wie „wichtig“ dieses Thema gehalten wird.	The lamentable fact is that this is another indication of the ‘importance’ attached to this issue.
Ich begrüße ausdrücklich, dass diese Wahlen stattgefunden haben. Ich bin allerdings deutlich skeptischer als meine Vorredner.	Glad though I indeed am that these elections took place, I take a rather more sceptical view of them than do those who have already spoken.
Es heißt, die Wahlen und auch der Einsatz der EUFOR wären sehr erfolgreich gewesen. Ich denke, die Europäische Union und der Kongo sind knapp an einer Katastrophe vorbeigeschlittert!	Although we are told that both the elections and the deployment of EUFOR were great successes, I think the European Union and Congo have narrowly escaped disaster.
Gehen wir einmal davon aus, dass Kabila im ersten Wahlgang gewählt worden wäre: Die Situation wäre im Vergleich zu jetzt deutlich verschärft.	What if Kabila had been elected in the first round? The situation would have been markedly worse than it is now.
Es waren im Grunde genommen keine wirklich politischen Wahlen — das zeigen die Ergebnisse und der Wahlkampf. Es waren sehr stark von regionaler Zugehörigkeit geprägte Wahlen, und gibt es eine Ost-West-Spaltung des Kongo.	It is clear from the results and the campaign that these elections were not essentially about politics; they were to a considerable degree about regional allegiance in a Congo that is, in fact, divided between East and West.
Viele EU-Verantwortliche, allen voran Louis Michel, haben sich einseitig zu Gunsten von Joseph Kabila positioniert. Herr Schröder, ich würde gerne sagen, die Angelegenheit habe sich erledigt.	Many persons in positions of responsibility within the EU – and none more so than Commissioner Michel – displayed a bias in favour of Joseph Kabila.
Doch nein, sie hatte vor Ort sehr viel Einfluss, und ich will aus einem Artikel der Deutschen Welle zitieren. Dort heißt es: „Mindestens so grob fahrlässig wie Bembas ethnisch-nationalistische und bisweilen rassistische Kampagne war das Verhalten der Europäer, insbesondere des pikanterweise aus Belgien stammenden Entwicklungskommissars Louis Michel.	I would like – and here I am addressing Mr Schröder – to be able to say that this has sorted itself out, but, far from it, it had a great influence on what happened on the ground, and I would like to quote from a article, according to which: ‘The gross irresponsibility of Bemba’s campaign, which was characterised by ethnic nationalism and sometimes by racism, was at least equalled by that seen in the conduct of the Europeans, in particular that of the Development Commissioner Louis Michel, who, piquantly enough, is from Belgium.
Dass er vor dem Urnengang Ende Juli 2006 klar und öffentlich den bisherigen Amtsinhaber Kabila favorisiert hatte, haben ihm die Menschen im Westen des Landes und gerade auch in der Bemba-Hochburg Kinshasa nie verziehen.“	His manifest and public bias in favour of the previous incumbent, Kabila, prior to the elections at the end of July 2006 is something for which the people in the West of the country, and particularly those in the Bemba stronghold of Kinshasa, have never forgiven him’.
Herr Michel, normalerweise würde man wegen so etwas zurücktreten.	I have to say to Commissioner Michel that the normal response to something like that would be to resign.
Ich fordere nach wie vor Ihren Rücktritt für dieses Agieren.	As I have done before, I demand that you pay for actions by doing so.
Herr Michel, wir wissen auch, dass eine ganze Reihe von wirtschaftlichen Interessen mit im Spiel sind.	We also know, Commissioner, that a whole array of economic interests are at stake here.
Stichwort: Der Belgier George Forrest hat 400 Millionen US-Dollar in eine Kupfermine in Kamato investiert, und er hat den Wahlkampf von Herrn Kabila wohl ganz wesentlich mit unterstützt — zumindest hört man das immer wieder.	For example, George Forrest, a Belgian, invested USD 400 million in a copper mine in Kamato, and it seems likely – or this is what keeps on being said, at any rate – that he used this to make a considerable contribution in support of Mr Kabila’s campaign.
Die Neue Zürcher Zeitung schreibt ganz klar, dass Herr Kabila sich staatlicher Ressourcen bedient und Zuwendungen von ausländischen Minenunternehmen bekommen hat.	The does not mince its words when it writes that Mr Kabila is making use of State resources and has received payments from foreign mining enterprises.
Ich glaube, das ist kein gutes Zeichen.	I do not regard that as a good sign.
Uns bleibt nur die Hoffnung auf eine tatsächlich neutrale Rolle der Europäischen Union.	All we can do now is to hope that the European Union really will play a neutral role.
