Herr Präsident! Ich kann zu diesem Thema nur für eine Mehrheit meiner Fraktion sprechen.	Mr President, I can only speak for a majority of my group on this issue.
Wir stimmen dem Kommissionsvorschlag und dem Bericht zu.	We support the Commission' s proposal and the report.
Ich denke, dass einige kritische Anmerkungen des Kollegen Swoboda hier nicht wiederholt werden müssen. Auch die möchte ich gern teilen.	I do not think there is any need to repeat several of Mr Swoboda' s criticisms which I agree with.
Das, was der Kollege Brok gesagt hat zu der Notwendigkeit einer präventiven Friedenspolitik und eines zivilen Krisenmanagements, veranlasst mich, mein Konzept beiseite zu legen.	Mr Brok' s remarks about the need for a preventive peace policy and civil crisis management render my own outline comments superfluous.
Natürlich ist es richtig, dass viel schneller und konzentrierter agiert werden muss.	Of course, it is quite correct to say that far more rapid and concerted action is required.
Aber ich glaube, dass es auch ganz andere Seiten einer solchen Politik gibt, die defizitär sind.	However, I believe that there are also very different sides to this policy which have various drawbacks.
Sie sagen, Herr Berichterstatter, in Ihrem Änderungsantrag 2 meiner Meinung nach völlig zu Recht, dass die Hilfe an Jugoslawien an eine rechtsstaatliche Entwicklung und an die Zusammenarbeit mit dem Kriegsverbrechertribunal in Den Haag gebunden werden soll.	Mr Brok, in your proposed Amendment No 2, you state - quite rightly, in my view - that financial support can be provided to the Federal Republic of Yugoslavia as far as it proceeds towards a well-functioning legal state, including cooperation with the International Court Tribunal in the Hague.
Aber wenn gleichzeitig eine Verletzung von rechtsstaatlichen Grundsätzen geradezu erpresst wird, vor allen Dingen durch die USA, aber offensichtlich auch durch den deutschen Bundeskanzler, dann ist das eine Politik, die langfristig und nachhaltig rechtsstaatliche und demokratische Entwicklung eher diskreditiert.	However, if at the same time a violation of rule-of-law principles is extorted, in effect, above all by the USA but apparently also by the German Chancellor, this policy is more likely to discredit the rule of law and democratic development in the long term.
Solche Widersprüche sehe ich auch auf anderen Gebieten.	I see these contradictions in other areas too.
Mazedonien wurde erwähnt.	Macedonia has been mentioned.
Wir haben über viele Monate eine Hofierung und eben eine Nichtentwaffnung der UCK erlebt.	For many months, we have courted the KLA, without any decommissioning of arms taking place.
An der Entwicklung in Mazedonien und an neuen Konflikten ist die KFOR damit mitschuldig geworden.	KFOR therefore shares the blame for developments in Macedonia and the outbreaks of fresh conflict.
Wir haben im Kosovo eine Politik gehabt, die ethnische Säuberungen verhindern sollte, und wir haben heute andere, völlig unakzeptable ethnische Säuberungen im Gefolge des NATO-Krieges.	In Kosovo, we pursued a policy which was designed to prevent ethnic cleansing; today, we witness other completely unacceptable instances of ethnic cleansing in the wake of the NATO campaign.
Ich glaube, dass eine präventive und dauerhafte Sicherheitspolitik damit nicht vereinbar ist.	In my view, this is incompatible with a preventive and sustainable security policy.
Meiner Meinung nach ist es Zeit, wegzukommen von einer Politik, die Konflikte eindämmt und Schäden mildert, zu denen sie selbst beigetragen hat.	I believe that the time has come to move away from a policy which contains the conflicts and limits the damage to which it has itself contributed.
Es ist Zeit, Demokratie und Rechtsstaatlichkeit, Schutz vor Minderheiten und Menschenrechten nicht nur vom politischen Gegner zu erwarten und zu verlangen, sondern sie auch dort zu praktizieren, wo sie den eigenen Machtinteressen im Wege stehen.	It is time to expect and demand democracy, the rule of law and the protection of minority and human rights not only from our political opponents but also to practise them even when they stand in the way of our own power-political interests.
Ich denke, dass die erfreuliche Entwicklung in Jugoslawien wirklich weit geführt hat, aber die Veränderungen von Politik in der NATO und in der EU in dieser Hinsicht stehen noch aus.	I think that the positive developments in Yugoslavia have genuinely achieved a great deal, but changes in NATO and EU policy are long overdue.
