Herr Präsident, zunächst einmal meine Reverenz an die Berichterstatterin.	Mr President, may I first of all express my admiration for the rapporteur.
Es ist schon erstaunlich, wie Sie in den vielen Sitzungen, die wir gehabt haben, mit dieser schwierigen Materie jonglieren.	It is astonishing how, in the course of the many sittings we have had, you have juggled the various aspects of this difficult material.
Mir wird da manchmal noch ganz schwindelig, und ich muss sehen, dass ich nachkomme.	I feel quite dizzy sometimes, and I have to make sure I am keeping up.
Ich möchte aber eigentlich einen anderen Schwerpunkt setzen: Ich kann mich erinnern, dass wir in der letzten Legislaturperiode diskutiert haben - Frau Kommissarin Schreyer, Sie waren doch Haushaltsexpertin im Landesparlament Berlin, wenn ich das richtig sehe -, ob wir mit der 1,27-Grenze bei den anstehenden Problemen und Aufgaben auskommen.	I should really like, however, to set another priority. I recall that during the last legislative period - when, if I remember rightly, you were a budgetary expert in the Berlin regional parliament, Commissioner Schreyer - we discussed whether we could manage with the 1.27 limit, given the problems and tasks facing us.
Es ging um Erweiterung.	Enlargement was the issue at stake.
Damals war die Leistung für Kosovo und Serbien noch gar nicht in der Pipeline.	At that time, the efforts on behalf of Kosovo and Serbia were still not even in the pipeline.
Da wurde diskutiert, ob wir fordern sollten, diesen Rahmen zu erhöhen.	We discussed whether we should call for this framework to be expanded.
Heute liegen wir mit dem Haushalt und auch mit dem Haushaltsentwurf 2001 mit gut 20 Milliarden Euro unter dieser 1,27-Marge, und ich möchte den Kolleginnen und Kollegen deutlich machen, dass es nicht sinnvoll ist, Ausgaben zu tätigen, die unnütz sind.	With the budget and also with the draft budget for 2001, we are now a good EUR 20 billion below this 1.27 margin, and I should like to make it clear to my fellow MEPs that it does not make sense to engage in useless expenditure.
Es ist aber auch nicht sinnvoll, wenn ein Parlament sich im Haushalt beschränkt und immer den Forderungen der Länder nachkommt und Vorschläge macht, wie man bei einer Ausweitung der Politik mit einem zusammengestrichenen Haushalt das alles bewerkstelligen könnte.	Nor, however, does it make sense for a Parliament to restrict itself in the Budget and yet always to meet countries' demands and to make proposals as to how everything might be achieved at a time when policy is being extended and the Budget trimmed.
Ein weiterer Punkt, den ich ansprechen wollte, ist der Bereich Agrarpolitik.	Another area I wanted to address is that of agricultural policy, where most of the savings have been made.
Hier wurden die meisten Einsparungen vorgenommen.	I am adamant that it is not that too much money has gone on agriculture and the countryside.
Ich sage, es geht nicht zuviel Geld für die Landwirtschaft und den ländlichen Raum, sondern es geht in den vergangenen Jahren in die verkehrten Kanäle.	Instead, it has gone into the wrong channels in recent years. Those of us in Parliament have a strong vested interest in what is, or is not, politically apposite.
Wir vom Parlament sind an der politischen Qualifizierung stark beteiligt. Hier möchte ich auf einen Punkt hinweisen, dass nämlich durch das Gesetz zur Haushaltsdisziplin - ich nenne es Haushaltssicherungsgesetz - die obligatorischen Mittel im Agrarbereich zu nichtobligatorischen Mitteln in dem Punkt gemacht werden, wo die Länder, wenn das denn nicht ausreicht, hier Ansatz nachschießen müssten, wo aber die Kommission genötigt ist, wenn es diesen Rahmen zu sprengen droht, Vorschläge zu machen, damit man genau unter diesem Ansatz bleibt.	In this connection, I should like to call attention to the fact that - specifically through the law relating to budget discipline which I would describe as a law designed to safeguard the budget - compulsory funds for agriculture are changed into non-compulsory funds in cases in which, on the one hand, the funds are insufficient and countries have had to grant additional appropriations but in which, on the other hand, the Commission is required, whenever this framework is in danger of being too restrictive, to make proposals to ensure that these appropriations are to no degree exceeded.
Dies halte ich für gefährlich, wenn wir weiterhin immer den Agrarbereich als Steinbruch benutzen und ihn peu à peu zurückfahren und sich der nächste Ansatz an dem orientiert, was jetzt notwendigerweise gespart wurde, so dass wir insgesamt langsam auf die Schlidderbahn kommen und die Gelder, die wir dringend für die ländliche Entwicklung brauchen, damit verloren gehen.	I think there are dangers in our continuing always to exploit agriculture for more resources, in our cutting back on it little by little and in our basing the next allocation on what has now of necessity been saved. In this way, we slowly embark upon a slippery slope whereby the money we urgently need for rural development is lost.
