Herr Präsident! Das Bevölkerungswachstum ist ein Problem für die Entwicklung in vielen Ländern.	Mr President, population growth is a problem for the development of many countries.
Es ist aber keineswegs die einzige Ursache für Armut, und es ist auch nach Überzeugung unserer Fraktion nicht die Hauptursache für Armut in den Entwicklungsländern.	However, it is by no means the only cause of poverty, and my group is convinced that it is not the main cause of poverty in the developing countries.
Man sollte das Bevölkerungswachstum daher auch nicht als Alibi benutzen, um notwendige Hilfen und notwendige Handelspräferenzen zu verweigern.	Population growth should not, therefore, be used as an excuse for refusing essential aid and trade preferences.
Aber - und auch das ist richtig - man muß das Bevölkerungswachstum energisch angehen.	Nonetheless, the fact remains that population growth must be vigorously tackled.
Man muß hier Lösungen schaffen, auch im Sinne der Menschen.	Solutions must be found which take account of the people concerned.
Ich bin aus persönlicher Erfahrung der Überzeugung, daß es nicht so ist, daß die Familien, insbesondere die Frauen, glücklich sind mit der hohen Zahl der Kinder.	Personal experience has convinced me that it is not the case that families, and particularly women, are happy with large numbers of children.
Gerade die Frauen wünschen sich Informationen über Geburtenkontrolle, und sie wünschen sich auch praktische Hilfe.	It is the women who are seeking information about birth control, and they are also seeking practical help.
Ich finde es richtig, daß die Europäische Union diese Information und diese praktische Hilfe bietet.	I think it is right that the European Union should offer that information and practical help.
Man darf dabei natürlich nicht nur isoliert Kondome verteilen, das wissen wir alle.	Of course, we all realize that this means more than just distributing condoms.
Man braucht einen integrierten Ansatz, und die Bildung - gerade die Bildung für Frauen - ist ein Schlüssel, um auch die Bevölkerungsproblematik in den Griff zu bekommen.	An integrated approach is needed, and education - particularly for women - is also a key to tackling population problems effectively.
Unsere Fraktion hat ein besonderes Anliegen, das bereits in der Debatte klargeworden ist: Wir wollen, daß insbesondere ungewollte Schwangerschaften vermieden werden.	Our group has a special concern which has already emerged in the debate: we are particularly anxious that unwanted pregnancies should be avoided.
Das heißt auf der anderen Seite, daß wir wollen, weil es hier um eine Haushaltslinie zur Bevölkerungspolitik, zur Demographie geht, daß hier auch der Beschluß der Konferenz von Kairo umgesetzt wird.	On the other hand, because we are dealing here with a budget line for population policies and demography, we also wish to see the decision of the Cairo Conference being implemented.
Das heißt, daß Abtreibung kein Mittel zur Geburtenkontrolle ist.	In other words, abortion should not be a means of birth control.
Wenn es hier um Demographie geht und nicht um allgemeine humanitäre Hilfe, dann kann auch das Argument einer Abtreibung unter medizinisch unzureichenden Bedingungen hier nicht gelten, denn es geht hier nur um Bevölkerungspolitik.	If we are talking here about demography, as opposed to general humanitarian aid, then this is not the place for argument about abortion under medically unsatisfactory conditions, because we are dealing here simply with population policy.
Über die Frage der Abtreibung sind wir uns ja nicht einig, und da werden wir auch keine Einigkeit erzielen, im Parlament nicht und auch nicht in der Europäischen Union.	The fact is that we cannot agree on the question of abortion, nor are we going to reach agreement, whether in Parliament or in the European Union.
Es ist auch nicht das Ziel unserer Änderungsanträge, eine Meinung der Europäischen Union über die Abtreibung herbeizuführen.	And our amendments are not designed to produce a European Union view on abortion.
Wir müssen die Konferenz von Kairo natürlich insofern ernst nehmen, als es hier um Bevölkerungspolitik geht.	Of course we must take the Cairo Conference seriously, in so far as what we are dealing with here is population policy.
Ich wäre deshalb dankbar, wenn die anderen Fraktionen sich dazu bereit erklären könnten, insbesondere die Änderungsanträge 3, 4 und 5 anzunehmen.	I should therefore be grateful if the other groups could signal their willingness to accept Amendments Nos 3, 4 and 5 in particular.
Diese Änderungsanträge kamen in erster Lesung von anderen Fraktionen; insbesondere der Änderungsantrag 5 kam von der Sozialistischen Fraktion.	These amendments were tabled by other groups at first reading: Amendment No 5, in particular, came from the Socialist Group.
Hier heißt es, daß Länder und Organisationen, die Zwangsabtreibung und Kindstötung als Mittel der Bevölkerungskontrolle benutzen, nicht unterstützt werden dürfen.	The point here is that no support should be given to countries or organizations that use compulsory abortion and infanticide as means of controlling the population.
Ich denke, gegen so einen Änderungsantrag kann man eigentlich nicht ernsthaft argumentieren.	In my view, there can be no serious argument against such an amendment.
Deswegen bitte ich nochmals bei diesem Punkt um Zustimmung.	Therefore, I would ask once again for your support on this point.
