Herr Präsident, Herr Kommissar! Ich danke auch der Berichterstatterin, Frau Redondo, sehr herzlich.	Mr President, Commissioner, I, too, am sincerely grateful to the rapporteur, Mrs Redondo.
Grundsätzlich begrüße ich, dass mit diesem neuen Vorschlag Forest Focus zwei alte Verordnungen zum Schutz der Wälder gegen Umweltverschmutzung und gegen Brände zusammengefasst werden.	The way that this new proposal Forest Focus combines two old demands, that woodland be protected against environmental pollution and against fires, meets with my fundamental approval.
Damit Sie auch wissen, wer hier zu diesem Thema spricht, sage ich Ihnen, Herr Kommissar, ich komme aus einem Forstbetrieb, aber aus einem nordischen Land.	Just so that you realise that I know what I am talking about, Commissioner, I will say that I have a background in forestry, but in a northern country.
Ich betone sehr deutlich, dass die Forstpolitik grundsätzlich in der Hand der Mitgliedsländer verbleiben muss. Die Kommission möchte ich immer wieder auf die Subsidiarität verweisen.	I want to strongly emphasise the point of principle that forestry policy must remain in the hands of the Member States, and to keep on reminding the Commission of the principle of subsidiarity.
Wird sich Forest Focus positiv für Wälder und für Waldbesitzer auswirken, oder werden hier nur wieder neue Heerscharen von Bürokraten in Brot und Arbeit gesetzt?	Will Forest Focus have a beneficial effect on woodland and on those who own it, or is this just another exercise in keeping new hordes of bureaucrats employed and fed?
Ich muss Ihnen sagen, als Vertreterin aus einem Bundesland Deutschlands - Nordrhein-Westfalen - habe ich den Eindruck, dass man in Brüssel die reale Wirklichkeit von europäischer Forstwirtschaft überhaupt nicht wahrnimmt.	I have to tell you that, representing as I do the German province of North Rhine-Westphalia, I get the impression that Brussels takes absolutely no notice of what is really going on in European forestry.
Es gibt 12 Millionen Waldbesitzer, die innerhalb der Europäischen Union 65 % der Forstfläche bewirtschaften. Sie haben mit der Rentabilität dieses landwirtschaftlichen Betriebeszweigs größte Probleme.	Within the European Union, 65% of the woodland is owned and managed by 12 million forest owners, and this branch of agriculture causes them serious problems as far as profitability is concerned.
Wir haben dazu vor zwei Jahren eine Konferenz in Brüssel durchgeführt.	Two years ago, we ran a conference on this subject in Brussels.
In meiner Heimat, Herr Kommissar, interessieren sich junge Landwirte für den Wald, für die Forstwirtschaft überhaupt nicht mehr.	In my homeland, Commissioner, young farmers no longer have any interest in woodlands or in forestry.
Die Eigentumsrechte der Waldbauern werden ständig weiter ausgehöhlt.	The property rights of woodland farmers are constantly being eroded.
Was soll denn ein Forstwirt alles leisten, ohne dass er eine finanzielle Gegenleistung, oftmals noch nicht einmal eine soziale Anerkennung der Gesellschaft bekommt?	Why should a forester give his all without getting financial compensation, often without his efforts even being recognised by society?
Forest Focus, wenn wir denn Ja dazu sagen, muss in Europa das soziale, das ökonomische und das ökologische Feld abdecken.	If we say yes to it, Forest Focus will have to cover the social, economic and ecological fields in Europe.
Biologische Vielfalt und Monitoring sind wohlklingende Begriffe. Den Waldbauern bringt dies keinen finanziellen Anspruch für ihre Leistungen.	Bio-diversity and monitoring have a nice sound to them, but they do not give woodland farmers any financial entitlements in respect of the work they do.
Lassen Sie mich abschließend sagen: Nicht diejenigen, die ständig über den Wald diskutieren, betreiben Hege und Pflege der Natur!	Let me say in conclusion that it is not those who are constantly discussing woodlands who are engaged in caring for nature and protecting it.
Ich sage Ihnen, wenn es uns nicht gelingt, die Forstwirtschaft insgesamt für die Landwirtschaft rentabler zu machen, dann werden junge Leute in meiner Heimat die Segel streichen.	I can tell you that if we do not succeed in making forestry a more profitable proposition overall for agriculture, young people in my homeland will simply throw in the towel.
Sie sind jetzt schon nicht mehr bereit, Sturmschäden aufzubereiten, weil sie sagen: Ich kann mir diesen Luxus finanziell nicht leisten.	Even now, they are no longer prepared to clear up storm damage, for they take the line that this is a luxury they cannot afford.
Fangen wir nicht an, Ihnen ständig Neues abzuverlangen!	Let us not start imposing more and more new demands on them.
Helfen wir, dass die Luft sauberer wird!	Let us help to clean up the air.
Helfen wir, dass es dann aber auch Ausgleichsmaßnahmen gibt, damit sie düngen können, damit sie die Böden kalken können usw.!	Let us help provide compensatory measures as well, so that they can do such things as fertilising the soil with manure and lime.
Es muss auch einmal etwas aus der Praxis gesagt werden, es darf nicht nur leere Worthülsen geben, die mich zu später Abendstunde wirklich sehr herausfordern!	Things really have to be said on the basis of practical experience, instead of just the empty forms of words that really do try my patience this late in the evening.
