, Berichterstatterin.	, rapporteur.
Sehr geehrter Herr Präsident, sehr geehrte Kolleginnen und Kollegen!	Mr President, ladies and gentlemen, first of all I would like to thank you all very sincerely for supporting my report.
Ich möchte mich zunächst einmal ganz herzlich bei Ihnen allen für die Unterstützung zu meinem Bericht bedanken. Im Industrieausschuss hatten wir ja über das Thema Frequenzpolitik eine sehr intensive und fruchtbare Debatte, und ich habe nicht nur von den Kolleginnen und Kollegen im Industrieausschuss, sondern auch von den Kollegen vom Verkehrsausschuss und Kulturausschuss gute Änderungsvorschläge eingereicht bekommen, die ich dann auch gerne in meinen Bericht aufgenommen habe.	In the Committee on Industry, External Trade, Research and Energy we had a very intensive and fruitful debate on the subject of radio spectrum policy, and I received some good amendments not only from my fellow Members of the Committee on Industry, External Trade, Research and Energy, but also from Members of the Committee on Regional Policy, Transport and Tourism and the Committee on Culture, Youth, Education, the Media and Sport. I was pleased to incorporate these amendments into my report.
Formell ließen sich die Änderungsvorschläge letztlich sehr gut in einen Kompromiss integrieren, der im Ausschuss mit 49 von 50 Stimmen bei einer Enthaltung angenommen worden ist.	In formal terms, these amendments ultimately fitted very well into a compromise that was excepted by the committee with 49 out of 50 votes, with one abstention.
Gegenstand meines Berichtes ist der Vorschlag der Kommission für eine Entscheidung über einen Rechtsrahmen für die Frequenzpolitik in der Europäischen Gemeinschaft.	The subject of my report is the Commission's proposal for a decision on a regulatory framework for radio spectrum policy in the European Community.
Inhaltlich geht es um die Festlegung, welche Institutionen in welchem Verfahren künftig frequenzpolitische Entscheidungen treffen sollen.	It relates to establishing which institutions will, in future, make decisions about radio spectrum policy and via what procedures.
Der Vorschlag macht ausdrücklich keine materiellrechtlichen Vorgaben für die Vergabe von Frequenzen, d. h. es wird nicht festgelegt, ob für die Telekommunikation, den Rundfunk, den Verkehr oder das Militär bestimmte Frequenzbänder bereitzustellen sind, sondern der Vorschlag beschränkt sich lediglich auf institutionelle sowie verfahrensrechtliche Fragen.	The proposal specifically does not lay down any substantive guidelines about allocating frequencies, that is to say it does not stipulate whether specific frequency bands are to be made available for telecommunications, broadcasting, transport or military purposes. Instead, the proposal is limited to institutional and procedural issues.
Ziel und Zweck der Richtlinie ist es, einen verlässlichen Rechtsrahmen zu schaffen, auf dessen Grundlage die Fragen der Harmonisierung der Nutzung des Frequenzspektrums, der Zuteilungsverfahren und der Nutzungsbedingungen immer dann auf EU-Ebene entschieden werden, wenn die Umsetzung von Politikzielen der Union Frequenzen erfordert.	The purpose of the directive is to create a reliable regulatory framework which provides a basis for consistently deciding questions about the harmonisation of the use of the radio spectrum, allocation procedures and conditions of use at EU level, in cases where the implementation of EU policy objectives requires the use of frequencies.
Hierbei sind zwei Arten von Fragen zu unterscheiden.	We need to distinguish between two types of issue here.
Zunächst sind politisch-strategische Entscheidungen zu treffen.	Firstly, strategic policy decisions have to be taken.
Diese politischen Vorgaben müssen sodann umgesetzt werden.	On the other hand, policy guidelines also have to be implemented.
