Verfasser. - Herr Präsident! Die Menschenrechtssituation in Vietnam ist beunruhigend.	Mr President, the human rights situation in Vietnam is disturbing.
Religiöse Verfolgung, insbesondere von Christen und Buddhisten, ist an der Tagesordnung.	Religious persecution, in particular of Christians and Buddhists, is the order of the day.
Wer sich für Freiheit und Menschenrechte einsetzt, wird eingeschüchtert und systematisch überwacht.	Anyone who speaks out in favour of freedom and human rights is intimidated and kept under systematic surveillance.
Ende September wurden Hunderte Mönche des Klosters Bat Nha angegriffen, die gesamte Anlage wurde erheblich beschädigt, die Polizei sah tatenlos zu.	At the end of September, hundreds of monks from the Bat Nha monastery were attacked. Major damage was caused to the entire monastery complex while the police simply sat by and watched.
Wer im nahe gelegenen Phuoc Hue-Tempel Zuflucht gesucht hatte, wurde traktiert, Misshandlungen, die nicht tolerabel sind.	The monks who sought refuge in the nearby Phuoc Hue temple were beaten up. This sort of abuse must not be tolerated.
Es ist empörend, dass die zahlreichen Aufforderungen aus der Europäischen Union und aus anderen Teilen der Welt, für eine Verbesserung der Menschenrechtslage zu sorgen, konsequent ignoriert wurden.	It is outrageous that the numerous calls from the European Union and other parts of the world for improvements in the human rights situation have simply been ignored.
Dabei gibt es Hunderte von Gründen, um endlich Veränderungen herbeizuführen, zumal Vietnam im nächsten Jahr den Vorsitz der ASEAN-Staatengruppe übernehmen soll.	There are hundreds of reasons for at last introducing changes, particularly as next year, Vietnam will hold the presidency of the ASEAN group of countries.
Nicht viel besser ist die Lage in Laos.	The situation in Laos is not much better.
Anfang November wurden mehr als 300 friedliche Demonstranten, die sich für mehr Pluralismus und Demokratie einsetzten, von der Geheimpolizei brutal zusammengeschlagen.	At the beginning of November, more than 300 peaceful demonstrators calling for more pluralism and democracy were brutally beaten up by the secret police.
Alle Bemühungen um einen politischen Dialog in diesem Land werden vom Ansatz her von der Einheitspartei zerstört.	All efforts to bring about a political dialogue in this country are crushed immediately by the single ruling party.
Bedrückend ist auch die Lage der 5 000 Hmong-Flüchtlinge, die derzeit im Norden von Thailand in Lagern leben und eine verfolgte Minderheit sind.	The 5 000 Hmong refugees who are currently living in camps in northern Thailand and who are a persecuted minority are also in an appalling situation.
Ihnen wird kein Flüchtlingsstatut gewährt.	They have not been granted the status of refugees.
Die Organisation "Ärzte ohne Grenzen", die ja in dieser Woche hier im Parlament war, hat mitgeteilt, dass sie in den Lagern kaum noch humanitäre Hilfe leisten könne, denn ständig und meist völlig willkürlich werden Menschen verhaftet und gezwungen, nach Laos zurückzukehren.	The organisation 'Doctors without Borders', which was represented here in Parliament this week, has said that it is almost impossible for it to provide humanitarian aid in the camps because people are constantly and generally completely arbitrarily being arrested and forced to return to Laos.
Behauptungen, dies geschehe freiwillig, sind völlig aus der Luft gegriffen.	Any claims that these people are returning voluntarily are simply not true.
Wir Parlamentarier fordern die Kommission und den Rat auf, uns einen genauen Sachstand zu geben, welche der mit beiden Ländern getroffenen Vereinbarungen im Bereich Menschenrechte und Demokratie eingehalten wurden.	We Members of Parliament call on the Commission and the Council to give us accurate information about which of the agreements reached with these two countries on human rights and democracy are being observed.
Welche wurden konsequent verhindert?	Which of the agreements have been consistently blocked?
Um der Bürger willen muss Druck auf die Regierungen in Vietnam und Laos ausgeübt werden können.	For the sake of the citizens of Vietnam and Laos, it must be possible to exert pressure on the governments of these two countries.
(Beifall)	(Applause)
