Vielen Dank, Herr Präsident!	Thank you, Mr President.
Schon wieder haben wir Belarus auf der Tagesordnung der Dringlichkeiten.	Once again Belarus is on the urgent debate agenda.
Das ist ein Abbild der dramatischen Verschlechterung der Situation in diesem Land.	In fact that reflects the dramatic worsening of the situation in this country.
Präsident Lukaschenko betreibt systematisch die Spaltung der Bevölkerung im Land, indem er jede oppositionelle Regung unterdrückt.	President Lukashenko is systematically dividing the inhabitants of that country by suppressing any signs of opposition.
Mit dem ständigen Ausbau seiner persönlichen Macht will er über seine Untätigkeit im Transformationsprozeß hinwegtäuschen.	By constantly increasing his personal power he is trying to conceal his own inactivity in the transformation process.
Nach der Behinderung der oppositionellen Presse und dem Verbot der Gewerkschaften und diversen Versuchen, Druck auch auf das Verfassungsgericht auszuüben, startet der Präsident im August einen Angriff auf die Verfassung und will sich per Referendum legislative Macht übertragen.	After trying to stifle the opposition press and banning the unions and also making various attempts to exert pressure on the constitutional court, in August the president began to attack the constitution itself and now wants to transfer legislative power to himself by referendum.
Das Parlament hält diesem massiven Angriff auf seine Existenz mit einer perfekten Gegenstrategie unter Ausnutzung der breiten Möglichkeiten seiner demokratischen Spielregeln stand.	The parliament is standing up to this massive attack on its existence by applying a perfect counter-strategy and using the many opportunities inherent in its democratic rules of play.
Hut ab vor diesem jungen Parlament!	I take my hat off to this young parliament!
Mit der Einberufung der Unionsversammlung nicht gewählter Repräsentanten letzte Woche startete Lukaschenko den Totalangriff auf das gewählte Parlament, aber er scheiterte!	By summoning the union assembly of non-elected representatives last week, Lukashenko launched a frontal attack on the elected parliament, but it failed!
Keiner will in Belarus den Bürgerkrieg, aber auch mit einer Präsidentendiktatur lassen sich die Probleme des Landes nicht lösen.	Nobody wants civil war in Belarus, but the country's problems cannot be resolved by a presidential dictatorship either.
Die demokratischen Kräfte im Land sind mutig, und sie lassen sich trotz aller Attacken nicht von ihrem Bestreben zu einem demokratischen Reformprozeß abbringen.	The democratic forces in the country are courageous and in spite of all the attacks they are not allowing themselves to be diverted from their endeavours to bring about a democratic process of reform.
Aber sie haben nicht die geringste Chance, ihre Ideen im Land zu verbreiten.	But they do not have the slightest chance of spreading their ideas throughout the country.
Nicht mal für das Referendum hat das Parlament die Möglichkeit, an das Fernsehen zu kommen.	The parliament does not even have the chance to appear on television for the referendum.
Das wäre das Mindeste, um überhaupt von einem demokratischen Referendum zu sprechen!	That would be the least one could expect in any kind of democratic referendum!
Daß wir das Verfahren für die Abkommen aussetzen, heißt nicht, daß wir Belarus isolieren wollen.	The fact that we are suspending the agreement procedures does not mean that we want to isolate Belarus.
Vielmehr ist es die letzte Möglichkeit, die wir haben, um endlich dafür zu sorgen, daß die demokratischen Kräfte zum Erfolg kommen und die alten Strukturen des Sowjetsystems überwunden werden.	Rather, it is our last chance finally to ensure the success of the democratic forces and see an end to the old structures of the Soviet system.
Ich möchte von hier allen Menschen in Belarus, die sich selbstlos für die demokratischen Reformen einsetzen, einen Gruß senden und unsere Verbundenheit nochmal deutlich machen.	I would like to send out greetings from here to all the people in Belarus who are fighting selflessly for democratic reforms and once again to express our feelings of solidarity.
Ich fordere auf der anderen Seite Präsident Lukaschenko auf, endlich seine Machtsucht abzulegen und zugunsten des Transformationsprozesses die Freiheit der Presse und die kritische Begleitung der Opposition wieder zu ermöglichen.	At the same time I call on President Lukashenko finally to give up his lust for power and to restore freedom of the press and critical opposition in order to promote the process of transformation.
