im Namen der ALDE-Fraktion. - Herr Präsident! Eine ganz lange Prozedur ist zu einem Ende gekommen.	Mr President, a long procedure has now come to an end, which is good news.
Das ist eine gute Nachricht. Es gibt hierbei überhaupt einige positive Aspekte.	There are some positive aspects to all of this.
Das eine ist, dass z. B. bei den Basisrechten für Menschen mit Behinderungen das Recht auf Information und auf Zugang gewährleistet ist.	One is that the basic rights for people with disabilities include the right to information and the right to access.
Positiv ist auch durchaus, dass die Entschädigung für kleine und mittelständische Unternehmer jetzt in vertretbarer Höhe ist, das war nicht von Anfang an so.	Another positive feature is that the damages paid by small and medium-sized businesses have been kept to a reasonable level, which was not originally the case.
Und positiv ist natürlich, dass wir eine Einigung erzielt haben, denn es hätte auch sein können, dass wir uns im Vermittlungsverfahren nicht einigen. Dann wäre ein bestimmter Transportbereich ganz ohne Regelung geblieben.	It is also good that we have reached an agreement, because otherwise, we would have been stuck in the conciliation procedure and there would have been no regulations at all covering one specific area of transport.
Ich habe aber auch negative Dinge anzumerken, da wir keine wirklich europäische Lösung erreicht haben.	However, I would also like to pick up on some negative points, as we have not been able to produce a genuine European solution.
Obwohl wir sagen, Mobilität von Menschen, Waren und Dienstleistungen ist europäisches Credo, haben wir für diesen Bereich keine europäische Lösung, wenn drei Länder nicht dabei sind und einige andere Länder gar nicht so lange Buslinien haben.	Although we say that the free movement of people, goods and services is a European principle, we have not reached a European solution in this area, if three countries are not included and other countries do not have bus routes of this length.
Das Recht von Menschen mit Behinderungen auf eine Begleitperson, die häufig notwendig ist, um fahren zu können, ist nur bei langen Strecken gewährleistet.	The right of people with disabilities to be accompanied, which is something they often need in order to be able to travel, is only guaranteed over long distances.
Und es ist auch so, dass die Höhere-Gewalt-Klausel, die im Flugbereich nicht gilt - bei der Aschewolke musste entschädigt werden -, bei den Bussen gilt und dass damit gerade die Passagiere mit kleinem Portemonnaie auf kurzen Strecken keine Entschädigung bekommen, keine Rechte haben.	In addition, the clause on major natural disasters, which does not apply to air travel, because damages had to be paid in the case of the ash cloud, has been applied to buses and coaches. This means that poorer passengers in particular who are making short journeys will not be compensated and have no rights.
Das ist nicht gut.	That, of course, is not a good thing.
Wir haben uns deswegen im Vermittlungsverfahren bei der Mitternachtssitzung der Stimme enthalten - es gibt Positives und Negatives -, und wir werden das auch heute tun.	Therefore, because of this mix of positive and negative features, we abstained from voting during the midnight session in the conciliation procedure and we will do the same today.
