Aus der Sicht der Leser und der Internetnutzer ist es eigentlich eine wunderbare Idee.	From the perspective of readers and internet users, this is a wonderful idea.
Doch was bedeutet das für die Autoren, für die Kreativen, für die Künstler, für die Verleger?	However, what does it mean for authors, creative people, artists and publishers?
Wie werden sie an der Veröffentlichung ihrer Arbeiten im Netz beteiligt?	What part will they play in the publication of their work on the web?
Mit diesen Fragen müssen wir uns in den nächsten Monaten intensiv befassen.	We must look closely at these questions over the next few months.
Sie wissen vielleicht, dass Verleger und Autoren in den USA wegen des Abscannens und der Veröffentlichung im Netz gegen Google geklagt haben.	You may already be aware that publishers and authors in the US have initiated legal proceedings against Google with regard to the scanning and publication of works on the web.
Der Rechtsstreit ist nach meinem Kenntnisstand mittlerweile erledigt, da sich die Kläger mit Google außergerichtlich geeinigt haben.	As far as I know, the legal dispute has been resolved and the parties have settled out of court.
Aber die Fragen bleiben natürlich, und es ist ja nicht nur die Situation bei Google, sondern es wird vergleichbare Fälle geben, so dass wir uns einfach mit den Fragen rechtzeitig befassen müssen.	However, the questions remain unanswered and they relate not only to the situation with Google, because there are certain to be similar cases in future. We must deal with these questions as quickly as possible.
Muss das Urheberrecht im digitalen Zeitalter angepasst werden?	Does copyright need to be adapted in the digital age?
Müssen wir Strukturen ändern?	Do we need to change existing structures?
Hier denke ich insbesondere an die Rolle der Verwertungsgesellschaften, die wir im Parlament ja schon des Öfteren thematisiert haben.	In this respect, I am thinking particularly of the role of the collecting societies, which we have often discussed in Parliament.
Gibt es im Netz neue Monopole, die geschaffen werden?	Are new monopolies being created on the web?
Wie reagieren wir darauf?	How should we react to this?
Wie verändert das auch die Struktur bei uns auf dem Land, beispielsweise im Hinblick auf unsere Buchhandlungen in den Regionen?	How will this change the structures in our countries, for example, with regard to the bookshops in the regions?
Welche Interessen stehen sich gegenüber, und wie kann man einen angemessenen Ausgleich finden?	What are the opposing interests in this case and how can we find a suitable balance between them?
Autoren und Verleger wollen für ihre Arbeiten entlohnt werden.	Authors and publishers want to receive a financial reward for their work.
Dies gilt natürlich auch, wenn sie ihre Werke dann ins Internet einstellen.	This also applies, of course, when their works are made available on the internet.
Bibliotheken wollen ihre Archive ins Netz stellen und möchten das gerne tun, ohne vorher mit jedem einzelnen Rechteinhaber einen Lizenzvertrag abschließen zu müssen.	Libraries want to put their archives on the web without having to sign a licence agreement with every copyright holder first.
Und die Interessen der Verbraucher sind klar.	The interests of consumers are clear.
Großes Interesse überall, auf die Inhalte über das Netz schnell und einfach zugreifen zu können.	They would very much like to have quick and easy access to the content on the web.
Wir sind heute noch nicht in der Situation, irgendwelche Lösungsansätze diskutieren zu können, aber wir müssen uns viele Fragen stellen, und das ist auch Sinn und Zweck unserer schriftlichen Anfrage aus dem Rechtsausschuss an die Kommission.	We have not yet reached the point of being able to discuss possible solutions, but we need to ask ourselves a lot of questions and that is the purpose of the written question submitted to the Commission by the Committee on Legal Affairs.
Müssen wir für die Klärung der Urheberrechtsfragen - beispielsweise bezüglich der Inhalte - differenzieren, und wenn ja, wie könnte denn differenziert werden?	Do we need to make distinctions in order to resolve the copyright issues, for example, with regard to content? If so, what distinctions should be made?
Die Kommission geht wohl in diese Richtung, indem zunächst einmal beleuchtet wird, wie es mit den Bibliotheksbeständen aussieht.	The Commission seems to be moving in this direction, as it is first of all focusing on the situation of the library stocks.
Soll es künftig eine Massendigitalisierung geben, oder reicht unser bestehendes Lizenzsystem aus, um das Problem in den Griff zu bekommen?	Should there be a process of mass digitisation in future, or is our existing licensing system sufficient to resolve the problem?
Wie könnte im Zeitalter des Internets ein Rechte-Clearing vereinfacht werden?	How can copyright clearance be simplified in the internet age?
Wir müssen uns auch beim Urheberrecht noch einmal fragen - Sie wissen, das Urheberrecht ist in erster Linie nationales Recht: Ist denn das heute noch zeitgemäß?	As you know, copyright is primarily a national right and in this respect, we must once again ask ourselves: is this still an up-to-date approach?
Wie sollen wir künftig verwaiste Werke behandeln, also Werke, deren Rechteinhaber nicht ermittelt oder nicht ausfindig gemacht werden können?	How should we deal with orphan works in future, in other words, books whose copyright holder cannot be identified or located?
Soll man vielleicht auch zwischen literarischen Werken und wissenschaftlich-akademischen Werken unterscheiden?	Should we perhaps distinguish between literary works and scientific or academic works?
Ein Romanautor beispielsweise muss von der Veröffentlichung seiner Werke leben, aber wenn ein Wissenschaftler seine Werke ins Netz stellt, dann verfolgt er damit in erster Linie das Interesse, sich in der Forschung einen Namen zu machen, und ist weniger auf die Vergütung angewiesen.	For example, the authors of novels earn their living from the publication of their books, but when scientists make their papers available on the web, they are primarily interested in making a name for themselves in their field of research and are less reliant on the money that their work earns.
Es gibt also eine Vielzahl von Fragen, die wir uns stellen müssen, und ich freue mich auch, mit Ihnen zusammen die Diskussion zu führen.	There are numerous questions that we need to ask ourselves and I am pleased to be able to discuss them with you.
Ich möchte einen letzten wichtigen Punkt aufgreifen, das ist noch einmal das Thema Verwertungsgesellschaften.	I would like to consider one last important point and that is once again the subject of collecting societies.
Wenn Sie heute einmal schauen, wie leicht man sich aus dem Internet Musikstücke herunterladen kann - man geht auf die Plattform iTunes und kauft für 20, 30, 40, 50 Cent seine Musikstücke.	Look at how easy it is nowadays to download music from the internet. You simply go to iTunes and buy songs for 20, 30, 40 or 50 cents.
Was heißt denn das für die Verwertungsgesellschaften?	What are the implications for the collecting societies?
Brauchen wir die heute überhaupt noch?	Do we still need them?
Da würde ich mich freuen, wenn seitens der Kommission auch einmal beleuchtet werden würde, wie die Situation ist.	I would be pleased if the Commission could once again give us an idea of what the current situation is.
Wir haben im Parlament über Jahre hinweg immer wieder gefordert, dass die Kommission auch einmal einen Blick auf die Verwertungsgesellschaften wirft.	In Parliament, we have been asking the Commission for years to take a look at the collecting societies.
Das sind ja auch - ich sage es einmal etwas salopp - monopolartige Strukturen, die da über Jahrzehnte geschaffen wurden.	To put it rather imprecisely, these are also monopolistic bodies, which have been established over a period of decades.
Da interessiert es mich, was die Kommission plant, und letzter Punkt: Wenn Sie eine Plattform wie Google anschauen, die alles frei verfügbar macht, dann entsteht ein Monopol im Netz.	I am interested to know what the Commission is planning. My final point is that if you take a platform like Google, which makes everything freely available, this will result in a monopoly being created on the web.
Auch da müssen wir uns einmal überlegen, wie man damit umgehen kann, um am Schluss nicht nur einen Anbieter zu haben, der dann über Bedingungen für den Zugang zu Inhalten im Netz entscheidet.	We need to consider how the situation should be handled in order to ensure that we do not end up with just one supplier, who then decides on the conditions for access to content on the web.
Ich freue mich auf eine Debatte mit Ihnen in den nächsten Wochen und Monaten und bin gespannt, wie unsere erste Anfrage aus dem Rechtsausschuss seitens der Kommission hier beantwortet wird.	I am looking forward to a debate with you over the next few weeks and months and I will be interested to hear the Commission's response to the first question from the Committee on Legal Affairs.
