Herr Präsident! Frau Kommissarin!	Mr President, Commissioner, I would like to look briefly at the main points.
Kurz und knapp die Eckpunkte: Die Obergrenzen von 1, 27 % des Bruttosozialprodukts auf der Einnahmenseite und 0, 46 % für die Strukturfonds auf der Ausgabenseite dürfen auch in Zukunft nicht überschritten werden; bei Ziel 1: strikt 75 %!	The ceilings of 1.27 % of the gross national product on the revenue side and 0.46 % on the expenditure side for the Structural Funds should not in future be exceeded. For Objective 1 the threshold should be a strict 75 %!
Ziel 6-Gebiete, Peripherie- und Inselgebiete, ja, die stehen im Vertrag, sonst nichts; ein phasing out nur sechs Jahre, auf keinen Fall sieben, sonst haben Sie die ewig auf dem Tisch.	Objective 6 regions - peripheral and island areas - are in the Treaty, but that is all. Phasing out should just be six years, not seven under any circumstances, otherwise you will be dealing with them forever.
Ziel 2: nicht Ihrer Meinung.	With regard to Objective 2, I do not agree with you.
Ihr "Gulasch-Ziel" gefällt mir nicht, der ländliche Raum kommt wahrscheinlich zu kurz.	I do not like this catch-all category of yours, as the rural area will probably get a raw deal.
Ich befürchte, Arbeitslosigkeit als Kriterium allein ist zu hart; daher sind mir die weichen Kriterien wichtig, damit wir national die Festsetzungen mitentscheiden können.	I am afraid that unemployment as a sole criterion may be too harsh and I think that the soft criteria are important so that national authorities can have a say in the arrangements.
Dann will ich ein phasing out nicht für vier Jahre, sondern aus Gründen der Gerechtigkeit auch für sechs Jahre, wie bei Ziel 1, das wissen Sie.	For reasons of fairness, I want the 'phasing out' to be not four years but six, as you know is the case with Objective 1.
Sicherheitsnetz: Ja.	I would say yes to the safety net.
Ziel 3: Horizontale Förderung, ja.	With Objective 3, I would say yes to the horizontal assistance.
Ich bin voll auf Ihrer Seite bei drei Gemeinschaftsinitiativen.	I fully agree with you on the three Community initiatives.
Wenn Sie weitere zulassen, werden Sie erleben, daß Sie schnell wieder bei 13 sind, und das will auch ich nicht.	If you permit others, then you will quickly find that you end up with 13 again, and that is also something that I do not want.
Reserven: Keine Reserven, Frau Kommissarin. Diese Spielwiese gönne ich Ihnen nicht.	No reserves, Commissioner, I cannot grant you that playground.
Nationale Förderung: besser; ich bin dafür.	National assistance is better and I would support it.
Vor allen Dingen muß es im Rahmen der Subsidiarität weiterhin möglich sein, daß wir wenigstens eigene Mittel einsetzen, ohne daß uns die Kommission ständig dazwischenfährt.	Above all else, within the context of subsidiarity it should still be possible for us at least to use own resources without the Commission constantly stepping in.
Deswegen die "De-minimis-Regel" , wie von Ihnen schon zugesagt, bitte erhöhen!	So please increase the 'de minimis' rule as you have already promised to do.
Am liebsten wären mir eine Million ECU; damit könnten wir gut leben und diese Dinge ganz erfolgreich abschließen.	My preference would be ECU 1 million, as we could easily accept that and arrange everything quite successfully.
Frau Kommissarin, auch wenn Sie schon von der rot-grünen Mehrheit hören, hoffe ich doch, daß sie vernünftige Vorschläge von der anderen Seite annehmen, und da ich Gewerkschafter bin, hoffe ich darauf, daß wir uns wenigstens auf dieser Ebene verständigen können.	Commissioner, although you are already hearing about the red-green majority, I do hope that you accept sensible proposals from the other side. As I am a trade unionist, I hope that this is at least one level on which we can agree.
