- Aus folgenden Gründen hab ich gegen ein Exportverbot für stärkere Zigaretten gestimmt:	- I voted against an export ban on stronger cigarettes for the following reasons:
Nach dem Kommissionsvorschlag soll der Export von Zigaretten mit über 10 Milligramm Kondensat, über 1 Milligramm Nikotin und über 10 Milligramm Kohlenmonoxid in Drittstaaten verboten werden.	The Commission has proposed banning exports of cigarettes with yields of over 10 milligrammes of tar, 1 milligramme of nicotine and 10 milligrammes of carbon dioxide to third countries.
Die Folge wären massive Einbrüche bei der EU-Ausfuhr von Zigaretten und damit der Verlust von mehreren 10.000 Arbeitsplätzen in der EU.	This would result in a massive erosion of EU cigarette exports and the loss of several tens of thousands of jobs.
Ein solches Verbot nützt niemandem, denn die Zigaretten werden dann außerhalb der EU produziert.	This sort of ban benefits no one, because the cigarettes will simply be manufactured outside the EU.
Aber die Arbeitsplätze bei uns gehen verloren.	But the jobs will be lost here.
Die EU ist zu einem solchen Verbot überhaupt nicht befugt.	The EU has absolutely no powers to enforce such a ban.
Es geht nicht um den internen Binnenmarkt.	It has nothing to do with the internal single market.
Die Anti-Tabak-Eiferer sollten nicht so tun, als käme der Export von Tabak der Ausgabe von Zyankali gleich.	The anti-tobacco fanatics should not act as if exporting cigarettes was tantamount to handing out cyanide.
Die EU handelt widersprüchlich, wenn sie zugleich Anbau und Export von Tabak mit 1 Mrd. Euro subventioniert.	The EU is acting inconsistently, given that it also subsidises the cultivation and export of tobacco to the tune of EUR 1 billion.
Die EU spielt sich mit einem Exportverbot als Gesundheitsapostel für die ganze Welt auf.	The EU is using an export ban to act as the health missionary of the entire world.
Das ist anmaßend gegenüber den Sitten und Gebräuchen anderer Länder.	That is presumptuous and offends the customs and practices of other countries.
Richtig wäre es, die bereits begonnenen Arbeiten in der Weltgesundheitsorganisation über global einheitliche Produktstandards für Tabakprodukte voranzutreiben.	The right move would be to promote the work on global uniform production standards for tobacco products already begun in the World Health Organisation.
Eine einseitige Maßnahme der EU wird folgenlos bleiben.	Unilateral action by the EU will be pointless.
Bericht Berenguer Fuster (A5-0142/2000)	Berenguer Fuster report (A5-0142/2000)
