amtierender Ratspräsident.	President-in-Office of the Council.
Herr Kollege Ortega!	I can answer your question as follows, Mr Ortega.
Ihre Frage darf ich wie folgt beantworten: Der Europäische Rat hat in seinen Schlussfolgerungen vom Dezember 2006 Folgendes festgestellt: Die Kapazität der Europäischen Agentur für die operative Zusammenarbeit an den Außengrenzen - also die europäische Grenzschutzagentur FRONTEX - wird rasch ausgebaut. Hierzu werden angemessene wirtschaftliche wie personelle Mittel und deren effizienter Einsatz sichergestellt, Verfahren für die Notfälle festgelegt, die operativen Mittel verbessert, die Verbindungen zum Netz von Verbindungsbeamten für Zuwanderungsfragen verstärkt und die geplante Überprüfung der Agentur und ihrer Aufgaben im Jahr 2007 abgeschlossen.	In its December 2006 Conclusions, the European Council noted the following: the capacity of the European Agency for Operational Cooperation at the External Borders - the European border protection agency Frontex - will be rapidly enhanced by ensuring adequate financial and personnel resources and their effective use, establishing procedures for emergency situations, strengthening operational means, reinforcing links with the Immigration Liaison Officer Network and completing the planned review of the Agency and its tasks in 2007.
Der Haushalt der Agentur für 2007 ist beträchtlich aufgestockt worden und beläuft sich nun auf insgesamt 22,2 Millionen Euro.	The Agency's budget for 2007 has been increased appreciably and now stands at a total of EUR 22.2 million.
Auch die Anzahl der Mitarbeiter wird ständig erhöht, 2007 wird sie insgesamt 87 betragen.	The number of persons employed is also increasing steadily and will total 87 in 2007.
Was die Festlegung von Verfahren für Notfälle anbelangt, so hat der Rat vor kurzem die Beratungen mit dem Europäischen Parlament über einen Vorschlag für eine Verordnung des Europäischen Parlaments und des Rates über einen Mechanismus zur Bildung von Soforteinsatzteams für Grenzsicherungszwecke und zur Änderung der Verordnung des Rates hinsichtlich dieses Mechanismus abgeschlossen.	Regarding the establishment of procedures for emergency situations, the Council has recently concluded consultations with the European Parliament on a proposal for a Regulation of the European Parliament and of the Council establishing a mechanism for the creation of Rapid Border Intervention Teams and amending the Council Regulation as regards that mechanism.
Das Europäische Parlament wird Ende April über die Verordnung abstimmen.	The European Parliament will be voting on the regulation at the end of April.
Der Rat Justiz und Inneres wird sich abschließend im Juni mit dieser Verordnung befassen.	The Justice and Home Affairs Council will then consider the regulation in June.
Zusätzlich zur Entsendung von Personal ist FRONTEX zurzeit dabei, ein Zentralregister der vorhandenen technischen Ausrüstung der Mitgliedstaaten für die Kontrolle und Überwachung der Außengrenzen, die so genannte tool box, einzurichten, die die Mitgliedstaaten auf freiwilliger Basis und auf Anfrage eines anderen Mitgliedstaats zur Verfügung zu stellen bereit sind.	In addition to sending personnel, Frontex is currently compiling a centralised record, the 'tool box', of the Member States' existing technical equipment for controlling and monitoring the external borders, which they are willing to put at the disposal of another Member State on a voluntary basis and on request.
Der Rat hat am 15. Februar 2007 die Fortschritte bei der Einrichtung der tool box geprüft und die Mitgliedstaaten aufgefordert, einen aktiven Beitrag dazu zu leisten.	On 15 February 2007, the Council examined the progress made in establishing the 'tool box' and called on the Member States to make an active contribution.
Eine weitere Überprüfung hat auf der Tagung des Rates am 19. und 20. April stattgefunden.	The situation was again reviewed at the Council meeting on 19 and 20 April.
Mit den Schlussfolgerungen des Rates vom 14. und 15. Dezember 2006 wurde FRONTEX beauftragt, bis Mitte 2007 in Zusammenarbeit mit den Mitgliedstaaten der Region ein ständiges Küstenpatrouillennetz an den südlichen Seeaußengrenzen der Europäischen Union zu errichten.	The Council Conclusions of 14 and 15 December 2006 invited Frontex, together with the Member States of the region, to establish a permanent Coastal Patrol Network on the European Union's southern maritime borders by mid 2007.
Die Einführung dieses Netzes ist ein wichtiger Schritt, um gemeinsam und insbesondere koordiniert mit den Mitgliedstaaten der Region gegen die illegale Immigration an den südlichen Seeaußengrenzen vorzugehen.	The introduction of this network will be an important step for taking action jointly and in particular in coordination with the Member States against illegal immigration on the southern maritime borders.
Das Netzwerk stellt ein effektives Instrumentarium zur Bewältigung des in den nächsten Wochen und Monaten zu erwartenden ansteigenden Migrationsdrucks in dieser Region dar.	The network will be an effective instrument for countering the growing migratory pressure in the region that is anticipated in the next few weeks and months.
Der Start des Küstenpatrouillennetzes ist für den 24. Mai 2007 vorgesehen.	The Coastal Patrol Network is planned to commence on 24 May 2007.
Schließlich will die Kommission im Einklang mit dem Haager Programm, das der Europäische Rat am 4. November 2004 angenommen hat, dem Rat vor Ende des Jahres 2007 einen Bericht zur Beurteilung der Agentur vorlegen, und im Rahmen dieser Beurteilung könnte die Möglichkeit in Betracht gezogen werden, FRONTEX zusätzliche Aufgaben oder Befugnisse zu übertragen.	Finally, in accordance with the Hague Programme which the European Council adopted on 4 November 2004, the Commission will before the end of 2007 be submitting to the Council an assessment report on the Agency, and in connection with that assessment consideration could be given to the possibility of giving Frontex additional tasks or powers.
