Herr Präsident! Ich möchte dem Kollegen Oostlander gratulieren!	Mr President, I would like to congratulate Mr Oostlander.
Das ist ein glänzender Bericht, der alle kritischen Punkte auflistet, ohne dass die Türkei vor den Kopf gestoßen wird.	This is a splendid report, which lists all the critical points without offending Turkey.
Er ist fair und offen, und ich glaube, jemand, der einen Beitrittsantrag stellt, hat das Recht, fair und offen behandelt zu werden.	It is fair and open, and I believe that anyone applying for accession has the right to be treated fairly and openly.
Als zweites möchte ich den beiden Vorrednern ausdrücklich widersprechen.	Second, I would like to contradict both of the previous speakers.
Es geht nicht um - wie in der Minderheitenansicht geschrieben wurde - fast parareligiöse Vorstellungen, sondern in Ziffer 3 steht ausdrücklich, dass die europäischen Grundwerte, die sich zwar auf das jüdisch-christliche Erbe, aber auch auf die Werte der Aufklärung stützen, dem Beitritt eines moslemischen Staates nicht generell entgegenstehen.	It is not - as is written in the minority opinion - about precepts of an almost parareligious nature; clause 3 states specifically that fundamental European values, although based on the Judeo-Christian legacy, but also encompassing the values of the Enlightenment, do not stand in the way of the accession of a Muslim state in principle.
Angesichts dessen, was Sie, Herr Nordmann und Frau Maes, gerade zum Laizismus in der Türkei gesagt haben, kann ich Sie nur bitten: Informieren Sie sich!	In view of what you, Mr Nordmann and Mrs Maes, have just said with regard to secularism in Turkey, I can only call upon you to inform yourselves!
Es gibt keine Religionsfreiheit, es gibt keinen Laizismus nach französischem Vorbild.	There is no freedom of religion, and there is no secularism along French lines.
Laizismus in der Türkei heißt: 130.000 Staatsbedienstete kontrollieren die nichtmoslemische Minderheit, drangsalieren sie.	Secularism in Turkey means 130 000 state employees monitoring and harassing the non-Muslim minority.
Es gibt keine Rechte für christliche Religionen in der Türkei.	There are no rights for Christian religions in Turkey.
Die Trennung von Staat und Religion ist die eine Seite, die Gewährleistung der Religionsfreiheit die andere.	Separation of state and religion is one thing, but guaranteeing freedom of religion is another.
Es gehört unabdingbar zum Bestand des europäischen Wertesystems, dass jeder nach seiner Religion leben und sich betätigen darf.	It is an inalienable part of the European system of values that every individual should be allowed to live according to his or her religion and practise it.
Das ist in der Türkei nicht gewährleistet.	In Turkey, this is not guaranteed.
Bis 1954 war sogar die Erteilung von Religionsunterricht unter Strafe gestellt.	Until 1954, it was a punishable offence to provide religious instruction.
Ich bitte Sie also wirklich, sich darüber zu informieren.	I therefore really entreat you to inform yourselves on this issue.
Die anderen Punkte, die genannt werden: die Rolle des Militärs, Minderheitenrechte für die Kurden, das Wahlrecht, also die Tatsache, dass man immer noch die 10 %-Hürde hat, die Verhaftung von 'Gesinnungstätern' wie Leyla Zana, die in Kürze schon zehn Jahre im Gefängnis sitzt, weil sie das freie Wort gebraucht hat, oder die Frage des Erbes der Armenier und Syrer, das in der Türkei derzeit nicht gewahrt wird.	The other points mentioned were the role of the army, minority rights for the Kurds, the right to vote, in other words the fact that the 10% hurdle is still in place, the imprisonment of persons motivated by political or moral conviction such as Leyla Zana, who will soon have spent ten years in prison for speaking freely, or the issue of the heritage of the Armenians and Syrians, which is not protected at present in Turkey.
Eine lange Liste, die Türkei muss sie abarbeiten.	It is a long list, and one that Turkey must work through.
Das ist ihre Verpflichtung!	That is its obligation.
Ich begrüße ausdrücklich, dass in Ziffer 52 des Berichts steht, dass dies nach den Vereinbarungen in Kopenhagen kein Beginn von Verhandlungen ist.	I especially welcome the point made in clause 52 of the report that, in the light of the Copenhagen decision, this is not the start of negotiations.
Dafür müssen die Bedingungen erfüllt werden.	For this to happen, the conditions must be met.
Das wird Ende 2004 geprüft.	This will be reviewed at the end of 2004.
Ich bin auch dafür, dass dies nicht jetzt, sondern Ende 2004 geschieht.	I also agree with the fact that the review is not to take place now, but at the end of 2004.
Dieser Bericht kann als Zwischenbericht auch in keiner Weise eine Festlegung des Parlaments im Hinblick auf eine spätere Entscheidung bedeuten, ob wir dem Betrittsantrag der Türkei zustimmen werden oder nicht.	Furthermore, as an interim report, this report can in no way signify that Parliament has committed itself one way or another with regard to a later decision to approve or reject Turkey's application for accession.
