Vielen Dank, Herr Präsident!	Thank you, Mr President.
Frau Peijs, ich möchte Ihnen ein Kompliment machen für Ihre sehr energische Art, mit der Sie das Thema KMU und Ihre Argumente immer wieder vortragen, und ich teile viele von Ihren Argumenten.	Mrs Peijs, I would like to compliment you on the energetic manner in which you always raise the question of the SMEs and put forward your arguments, many of which I agree with.
Ich finde es sehr gut, mit welcher Energie Sie das immer wieder machen, in unserem Ausschuß und hier im Parlament.	I am very glad to see how energetically you keep doing so, in our committee and here in Parliament.
Der Rat sollte sich das nicht nur zu Herzen nehmen, das ist die eine Hälfte, sondern er sollte seinen Verstand noch mehr mit der Problematik der KMU in Europa beschäftigen.	The Council should not only take that to heart, that is one aspect, but should also take a closer look at the problems of the SMEs in Europe.
Denn kleine und mittlere Unternehmen und die Politik für diese Unternehmen bedeuten eine Politik für die Basis unserer Beschäftigung in Europa.	For small and medium-sized enterprises and the policy vis à vis these enterprises represent the policy for the basis of employment in Europe.
Im Grunde genommen kommen die KMU gegenüber großen Konzernen, gegenüber kurzfristigen Industrieansiedlungen, gerade in ländlichen Räumen, bei den Fördermaßnahmen immer noch zu kurz.	Basically, in terms of support measures the SMEs still come off worst in comparison with large firms, with shortterm industrial projects, especially in rural areas.
Jetzt könnte man sagen, das sind die üblichen Argumente von Parlamentariern, die immer mehr und immer mehr wollen und nie zufrieden sind.	Now one could say that these are the usual arguments put forward by parliamentarians, who always want more and more and are never satisfied.
Das ist nicht so.	That is not the case.
Das Programm ELISE halte ich für eine sehr gute Einrichtung.	I regard the ELISE programme as a very good project.
Es wird auch Früchte tragen.	And it will bear fruit.
Meine Aufforderung an Kommission und Rat und besonders an den Rat lautet, ein konsequenteres und durchdachteres Gesamtkonzept für die KMU zu erstellen.	My request to the Commission and the Council, and especially to the Council, is that they draw up a more consistent and well thought-out general plan for the SMEs.
Zu späte Zahlungen nach schon gelieferter Arbeit durch KMU, gerade auch außerhalb Europas, bedeuten das Aus für kleinere und mittlere Unternehmen, und deshalb stimmt meine Fraktion einer directive on payment periods , wie sie in dem Bericht von Herrn Harrison erwähnt wird, zu und unterstützt diese.	To be paid too late for work already done, especially outside Europe, spells the end for small and medium-sized firms, which is why my group endorses and supports a directive on payment periods, as referred to in Mr Harrison's report.
Wir unterstützen gleichfalls den Antrag von Herrn Hendrick, und meine Kollegin, Frau Hautala, wird ja auch gleich noch zu dem Thema reden.	We also support Mr Hendrick's proposal, which Mrs Hautala will be discussing in a moment.
