Herr Präsident, Herr Premierminister Verhofstadt! Es wird doch noch gedacht in Europa!	– Mr President, Mr Verhofstadt, some thinking is being done in Europe after all, it would appear.
Wer hätte das gedacht!	Who would have thought it?
Von einem Regierungschef, inmitten einer Denkpause. Und das auch noch über Europa.	By a Head of Government, in the middle of a pause for reflection; and on the subject of Europe, too.
Ich danke Ihnen, ich halte Ihren Auftritt, Ihre mutige klare Sprache, mit der Sie die tosende Stille der Regierungen – oder manchmal glaubt man auch, man hat es mit einer Katzenmusik zu tun – durchbrochen und sich hier inmitten der Krise aus den innenpolitischen Kalkülen, aus den Atmosphären der Renationalisierung erhoben haben, um für Europa zu sprechen.	I would thank you for your intervention and for the clear and courageous language with which you have broken through the governments’ deafening silence – or, as some people would say, cacophony – and, in this House and in the middle of the crisis, risen above all the internal political considerations and mutterings about renationalisation in order to speak on behalf of Europe.
Das ist nicht angenehm, aber das ist wichtig und bedeutsam.	To do so is not pleasant, but it is important and significant.
Sie haben der Versuchung widerstanden, die europäische Debatte und die Motive der Menschen, die mit Nein gestimmt haben, zu manipulieren.	You have resisted the temptation to manipulate the European debate and the motives of those who voted ‘no’.
Das ist mein großes Problem derzeit.	That is currently the big problem, as I see it.
Fast alle Regierungen versuchen nun, den Menschen Motive zu unterstellen, die sie nicht gehabt haben. Als hätten die, die nein gesagt haben, nicht für ein demokratischeres, sozialeres, handlungsfähigeres Europa gestimmt, hätten ihren Protest nicht gegen das bestehende Europa gerichtet, sondern hätten weniger Europa verlangt.	Almost all the governments now try to attribute to people motives that they did not have, as if those who said ‘no’ had done so not in order to vote in favour of a more democratic and more social Europe that is capable of taking action and in order to direct their protest against Europe as it is at present but, instead, in order to demand less Europe.
Sie haben tatsächlich den Bürgern zugehört und nicht, wie die englische und die österreichische Ratpräsidentschaft, nur den anderen Regierungen.	You have, in actual fact, listened to the people and not only to the other governments, as the British and Austrian Presidencies of the Council did.
Sie haben der Hybris widerstanden, die uns einredet, wir wären mit der Verfassung viel zu schnell gewesen, wir hätten zu hoch gezielt, die Menschen überfordert, unsere Ziele zu hoch gesteckt.	You withstood the hubris that persuades us that we were much too quick off the mark with the Constitution, had aimed too high, had asked too much of people and had set our sights too high. No, you have been one of the very few people to have understood that the opposite is the case.
Nein, Sie haben als einer der ganz wenigen verstanden, dass das Gegenteil wahr ist: Wir waren zu langsam, wir sind zu kurz gesprungen, unsere Ziele waren nicht hochherzig genug, unsere Visionen nicht überzeugend und unsere Kompromisse zu faul.	We were too slow and did not aim high enough. Our goals were not magnanimous enough and our visions were unconvincing and our compromises too lazy.
Dass Sie deshalb aufrufen, die Krise nicht mit Zurückfallen, nicht mit Müdigkeit, nicht mit Resignation und Demagogie zu lösen, sondern mit einem klaren Schritt vorwärts.	That is why you call for the crisis to be solved not by slackening our pace nor by being weary, resigned and demagogic, but by taking a clear step forwards.
