Frau Präsidentin, wir haben natürlich für den Bericht Kuhn gekämpft.	Madam President, naturally we fought for the Kuhn report.
Wir hätten uns gewünscht, daß die Garantieleistung um bis zu 5 Jahre verlängert worden wäre; das hätte bedeutet, daß das Prinzip der Nachhaltigkeit endlich auch de facto eingeführt worden wäre.	We would have liked to see the guarantee extended for up to five years; that would have meant that the principle of sustainability was finally also introduced de facto .
Das hätte bedeutet, daß die Produzenten auf langlebige Produkte Wert gelegt hätten.	It would have meant that producers would have tried to produce long-life products.
Was ich an dem Kompromiß sehr bedauere, ist die Tatsache, daß danach die Mitgliedstaaten bei der Implementierung der Richtlinien die Möglichkeit haben, daß eine zweimonatige Rüge eingeführt wird.	What I very much regret about the compromise is the fact that when the directives are implemented it will now be possible for the Member States to introduce a two-month complaint period.
Ich werde auch die deutsche Bundesregierung auffordern, davon nicht Gebrauch zu machen; sie hat es ja bereits angekündigt.	And I will be calling on the German Government not to make use of this; indeed it has already announced that.
Das wäre ein herber Rückschlag für den Verbraucherschutz.	It would be a bitter setback for consumer protection.
Denn wie geht es an, daß beispielsweise jemand aus Frankreich in Deutschland einkauft, sich darauf verläßt, daß es die zweijährige Garantieleistung gibt, dann aber feststellen muß, weil er es in Deutschland gekauft hat, hätte er nach zwei Monaten eine Rüge aussprechen müssen?	For how can it be that someone from France, for instance, goes shopping in Germany, relies on a two-year guarantee but then finds that because he bought the goods in Germany he should have lodged a complaint within two months?
Das ist, glaube ich, nicht das Ziel, das wir mit diesem Bericht verfolgt haben.	I do not believe that is what we were aiming at with this report.
Auch Frau Kuhn bedauert ja genau diesen Passus.	Indeed Mrs Kuhn is just as sorry about this provision.
Dennoch ist er ein kleiner Schritt in die richtige Richtung.	Yet the report is a small step in the right direction.
Ich kann mir nur wünschen, daß viele Mitgliedstaaten von dieser jetzt festgeschriebenen Möglichkeit der Zweimonatsrüge keinen Gebrauch machen, denn dann ist es ein Schritt in die richtige Richtung, weil es dann bedeutet, daß Verbraucher die Möglichkeit haben, daß die Garantie auf zwei Jahre verlängert wird.	I only hope that many Member States will not make use of the possibility that has now been established of a two-month complaint period. If they do not, the report will be a step in the right direction because it will mean that consumers can have the guarantee extended to two years.
Ich finde es sehr positiv, daß wir es erstmals auch geschafft haben, sie bei Gebrauchtgütern für ein Jahr festzuschreiben; dies bedeutet einen Schritt hin zu mehr Nachhaltigkeit und mehr Schutz der Konsumenten.	I believe it is very positive that we have also managed for the first time to establish a one-year guarantee for second-hand goods; that is a step towards greater sustainability and greater consumer protection.
Allerdings hoffe ich, daß es dann auch bedeutet, daß wir nicht von dieser Zweimonatsrüge Gebrauch machen, denn bei vielen Gütern stellt man das erst nach zwei Monaten fest.	However, I hope that also means that we do not apply this two-month complaint period, because in the case of many goods defects are only found after two months have elapsed.
Dann haben die Verbraucher wenig von dieser Zweijahres- Garantieleistung.	Then consumers would get little out of this two-year guarantee.
Ich kann hier nur appellieren, daß das nicht umgesetzt wird.	So I can only appeal for this not to be applied.
