Herr Präsident! Der Kollege Lagendijk hat einen sehr guten Bericht gemacht, lieber Herr Präsident.	Mr President, Mr Lagendijk has produced a very good report.
Ich möchte auch Herrn Färm herzlich danken und im Namen meiner Fraktion, die ich ja heute quasi allein vertrete, beiden danken und im Prinzip allem zustimmen, was sie gesagt haben.	I would also like to thank Mr Färm sincerely and on behalf of my group, of which I seem to be the only representative here today, thank them both and in general terms agree with everything they have said.
Ich möchte noch ein paar Akzente setzen.	I would also like to highlight a couple of things.
Ich denke, dass diese rapid reaction facility, dieses Instrument, mit dem man schnell und unbürokratisch effizient Gelder in Krisenregionen bringen kann, wirklich ein gutes Instrument ist.	I think this rapid reaction facility, this way of getting money to crisis regions quickly, efficiently and without bureaucracy, really is a good instrument.
Gerade in Jugoslawien hat es auch der Kommissar gemerkt, dass man dankbar war für diese wirklich schnelle, effiziente Hilfe, die nur deswegen möglich war, weil es dieses Instrument eben gab und nicht das langwierige, das wir sonst immer haben.	In Yugoslavia in particular, as the Commissioner has seen, they were grateful for this really quick and efficient assistance that was only possible because we had this instrument and did not have to use the usual longwinded procedure.
Ich glaube auch, dass eine Ausdehnung auf Mazedonien wirklich geboten ist, da den schwierigen politischen Prozessen einfach etwas nachgeholfen werden muss.	I also believe it really must be extended to Macedonia, because something simply must be done to help the difficult political processes.
Dieser Prozess ist noch lange nicht abgeschlossen.	The process is far from being completed.
Die Gesetze müssen umgesetzt werden, so dass die albanischen Bürger auch sehen, dass sie wirklich etwas von diesen Änderungen der Verfassung haben.	Laws need to be implemented so that the Albanian citizens can see that they really have gained something from these constitutional changes.
Die mazedonischen Einwohner der Region sollen sehen, dass es eben darum geht, dass sie, wenn sie sich so verhalten, wie man es in Demokratien erwartet, auch eine solche Belohnung bekommen durch die Verbesserung ihres Alltaglebens.	The region' s Macedonian inhabitants must see that if they behave as is expected in democracies, they will also be rewarded with an improvement in their everyday lives.
Wir stimmen allem zu, und wir stimmen auch den Vorbehalten zu, die von Herrn Färm erwähnt wurden.	We agree to everything, we also agree to the reservations Mr Färm has mentioned.
Ich denke aber, dass die Kommission dies alles sehr gut kennt und auch sicherlich respektiert.	But I think the Commission knows all this very well and I am sure it respects it.
Ich komme noch einmal auf die Installierung der Agentur in Mazedonien zurück.	This brings me back again to the establishment of the agency in Macedonia.
Ich bin der Auffassung, dass es angesichts der dürftigen Ergebnisse bei der Implementierung und bei der Ausgabe der für dieses Land vorgesehenen Finanzmittel seit 1996 schon lange an der Zeit gewesen wäre, sich nach Abhilfe umzusehen.	In view of the pathetic results of implementation and of spending the money earmarked for this country since 1996, I am of the opinion that it is high time we sought to remedy the situation.
Sicher fehlte der Wille der mazedonischen Regierung, und wir, die wir dort unten waren, wissen, dass sie einfach nicht in der Lage waren, das zu tun.	Of course, the Macedonian government lacked the will, and we who were down there know they were simply not in a position to do anything.
Ob sie nicht fähig oder nicht willig waren, will ich jetzt nicht sagen, aber es fehlte einfach der Wille der Regierung, und es fehlte letztendlich auch die Möglichkeit der Delegation vor Ort, dieser Regierung richtig zu helfen.	Whether they were unable or unwilling I would not like to say now, but there was a lack of will on the part of the government, and, in the end, the delegation on the spot was unable to give the government the help it needed.
Es fehlte die notwendige technische Hilfe, die man dieser Regierung hätte geben müssen vonseiten der Kommission.	The necessary technical assistance that the Commission should have given to this government was lacking.
Ich meine, daher ist es gut, dass der Kommissar jetzt über Maßnahmen nachgedacht hat, wie man das beschleunigen kann.	I think it is therefore good that the Commissioner has now thought about measures that can be taken to speed things up.
Es tut dieser Agentur gut, die im Kosovo eine hervorragende Arbeit macht - ich nehme an, wir werden das am nächsten Wochenende in Belgrad sehen.	It will be good for the agency, which is doing excellent work in Kosovo - I expect we shall see that in Belgrade next weekend.
Wir wünschen, dass dies möglich ist, dass die dort endlich das tun, worauf die Mazedonier alle warten, und ich habe auch nichts dagegen, dass sie eingesetzt wird.	We want it to be possible for them finally to do what the Macedonians are all waiting for and I have nothing against it being used.
Aber lieber Herr Kommissar, mein Problem ist eben, dass jetzt so an der Sache kuriert wird.	However, Commissioner, my problem is that there is so much tinkering around going on now.
Jetzt wird es in Mazedonien gemacht.	Now it is being done in Macedonia.
Ich weiß nicht, wann Sie das nächste Mal wieder so gut zuschlagen.	I do not know when you will be so effective again next time.
Ich hätte ganz gerne, dass wir eine Struktur dieser Arbeit in der Region sehen, und ich möchte gerne von Ihnen heute Abend hören, ob Sie willens sind, fähig sind, ein Konzept zu entwickeln, das entweder die Delegationen dekonzentriert und sie in die Lage versetzt, diese Arbeit zu tun, oder aber, dass Sie in der ganzen Region solche Agenturen einsetzen wollen.	I would very much like to see a structure for this work in the region, and I would like to hear from you this evening whether you are willing or able to produce a scheme that will either, deconcentrate the delegations and enable them to do this work, or that you intend to deploy such agencies in the whole region.
Ich glaube, diese Antwort sind Sie uns heute Abend schuldig, und ich würde mir wünschen, dass Sie uns heute Abend sagen, bis wann Sie in der Kommission glauben, dass Sie uns dieses Konzept vorlegen.	I believe you owe us an answer on that this evening and I hope that this evening you will tell us how soon you, in the Commission, believe you can lay such a scheme before us.
Unter dieser Bedingung bin ich bereit, Ihnen vorbehaltlos alles Gute zu wünschen bei der Installierung dieser Agentur, weil wir alle hervorragende Erfahrungen gemacht haben.	On this condition, I am prepared to give you my unreserved best wishes for setting up this agency because we have all had excellent experience.
Ich will hier keine Schelte aussprechen gegenüber der Delegation vor Ort.	I do not want to criticise the delegation on the ground here.
Die Delegation vor Ort war nicht imstande, das zu leisten, was wir von ihr erwartet haben, weil sie eben nicht dekonzentriert war, was auch immer das ist - und sie konnte die technische Hilfe nicht geben.	The delegation on the ground was not able to do what we expected of it because it was not deconcentrated, whatever that means, and it could not give the technical assistance.
Insofern erwarte ich wirklich von Ihnen ein längerfristiges Konzept, damit sich alle Länder dort unten einigermaßen gleich behandelt fühlen können, und ich denke, das ist auch wichtig, damit keine Rivalitäten untereinander entstehen.	In that regard, I really am looking for a longer term scheme from you so that all the countries down there can feel they are being treated, more or less, equally and I think that is also important if we are to avoid creating rivalries between them.
