, Vorsitzende des Ausschusses für Wirtschaft und Währung.	. Chairman of the Committee on Economic and Monetary Affairs.
Herr Präsident, Herr Kommissionspräsident, Herr Kommissar! Nachdrücklich möchte ich unterstreichen, dass niemand in diesem Europäischen Parlament die Bedeutung der Finanzmärkte unterschätzt.	Mr President, Mr President of the Commission, Commissioner, I want to vigorously emphasise that nobody in this House underestimates the significance of the financial markets.
Wir alle wissen, wie wichtig es ist, dass wir in der Produktivität des Kapitals zum integrierten Finanzmarkt der Vereinigten Staaten aufholen.	We all know how important it is that we catch up on the United States' integrated market in terms of the productivity of capital.
Wir wissen auf der anderen Seite auch, dass der europäische Finanzmarkt nicht nur von Bedeutung für die Unternehmen, sondern auch für diejenigen ist, die auf eine ordentliche Altersversorgung angewiesen sind, die also auch angesichts ihrer kleinen Renten aus der Sicht der Verbraucher darauf angewiesen sind.	On the other hand, we are also aware that the European financial market has significance not only for enterprises but also for those who rely on proper provision for old age, in other words who are, as consumers, dependent on it in view of their small pensions.
Daher kommt diesem Parlament eine hohe Verantwortung im Mitentscheidungsverfahren zu, die richtigen Entscheidungen zu treffen.	Parliament therefore bears a heavy responsibility for coming to the right decisions in the co-decision procedure.
Dieses Verfahren von heute mit dem Bericht von Wogau, über den wir heute debattieren, ist ein äußerst sensibles Thema.	In today's proceedings, with our debate on the von Wogau report, we have an extremely sensitive topic to deal with.
Der Berichterstatter hat versucht, behutsame Formulierungen zu finden, um allen empfindsamen Teilnehmern dieses Gesetzgebungsprozesses eine Chance zu geben.	The rapporteur has attempted to find cautious formulations in order to give a chance to all the parties who are particularly sensitive to the effects of this legislative process.
Ich möchte noch einmal unterstreichen, dass dieses Parlament, das immer mehr Mitentscheidungsrechte verlangt, im parlamentarischen Gesetzgebungsverfahren davon nicht ablassen wird und dass der heutige Kompromiss in dem Bericht von Wogau kein Präjudiz für eine Aufgabe dieser Rechtsposition des Europäischen Parlaments ist.	I wish to underline again that Parliament, which demands more and more rights of co-decision, will not refrain from doing so in the parliamentary legislative procedure and that today's compromise in the von Wogau report is without prejudice to the possibility of Parliament giving up this legal position.
Wenn wir heute eine Übergangsregelung für die Sekundärgesetzgebung finden, dann heißt das nur, dass wir es bisher als Parlament nicht durchsetzen konnten, eine Sekundärgesetzgebung im Vertrag zu verankern.	If we come to a transitional arrangement for secondary legislation today, that will only mean that we as a Parliament had previously been unable to push through the cementing of secondary legislation in the Treaty.
Das lag bisher an der Kommission.	That had previously been a matter for the Commission.
Ich möchte als Vorsitzende des Ausschusses für Wirtschaft und Währung Herrn Bolkestein ausdrücklich danken, dass es in unseren Verhandlungen, die mühsam und schwierig waren, immerhin gelungen ist, über das Regieren diese Formulierung jetzt als Kommissionsvorschlag in das Weißbuch aufzunehmen.	In my capacity as Chairman of the Committee on Economic and Monetary Affairs, I wish to express my thanks to Mr Bolkestein for the fact that our negotiations on governance, laborious and difficult though they were, nonetheless succeeded in getting this formulation incorporated into the White Paper as a Commission proposal.
Das ist ein gemeinsamer Erfolg.	That is a success in which we all share.
Nun müssen wir auch zu einem erfolgreichen Ende in der nächsten Regierungskonferenz und bei der nächsten Vertragsänderung kommen.	Now we also have to achieve a successful conclusion to the next Intergovernmental Conference and the next amendment of the Treaties.
Das ist sicherlich ganz wichtig.	That is, without a doubt, very important.
Aber die eine Frage ist immer noch nicht beantwortet, nämlich inwieweit wir bei dieser ganzen Gesetzgebung dem Lamfalussy-Verfahren tatsächlich auch eine echte Bedeutung geben können, denn alles, was heute als technisch bezeichnet wird, ist durchaus häufig politisch.	One question, though, has not been answered - that of to what extent we can actually attribute real significance to the Lamfalussy procedure in all this legislation, because all of what has been described as technical, today, is very often political.
Dieses Parlament kann sich nicht mit einer Rolle als Rahmengesetzgeber zufrieden geben, sondern wir müssen von Punkt zu Punkt, von Einzelheit zu Einzelheit, von Paragraph zu Paragraph, von Artikel zu Artikel auch die Definitionshoheit weiter behalten.	Parliament cannot be satisfied with a role legislating only in outline; we must rather still hold on to our authority to define, item by item, detail by detail, paragraph by paragraph, and article by article.
Darauf werden wir achten.	We shall pay attention to that.
Worauf wir auch achten werden, Herr Prodi - ich denke, das ist nach Ihrer Erklärung und auch nach der Erklärung von Herrn Bolkestein ja klar -, dass der Brief vom 2. Oktober von Herrn Bolkestein an den Ausschuss auch Bestandteil dieses Protokolls als Auslegung wird.	I think it should also be clear, Mr Prodi, following your statement and also Mr Bolkestein's, that we will also take care to ensure that Mr Bolkestein's letter of 2 October to the committee will also, as an interpretation, be part of this protocol.
Das Dritte, was auch klar ist, ist, dass die Kommission sich mit ihren beiden Erklärungen heute verpflichtet, bei der Umsetzung des Lamfalussy-Verfahrens in keinem Fall gegen eine qualifizierte Mehrheit den Empfehlungen des Wertpapier-Ausschusses zu folgen.	The third thing that is clear is that, by its two statements, the Commission is committing itself, today, in the implementation of the Lamfalussy procedure, not, under any circumstances, to follow the recommendations of the Securities Committee against a qualified majority.
Dieses war heute glücklicherweise klar.	This was, fortunately, clear today.
Daher, denke ich, können wir mit sehr viel Optimismus und konstruktivem Geist auf diese Form der paritätischen und äquivalenten Zusammenarbeit zugehen.	So I think we can be full of optimism and constructive spirit in approaching this form of cooperation on the basis of parity and equivalence.
