Herr Präsident, Herr Kommissar! Augen zu und durch geht hier sicherlich nicht!	Mr President, Mr Commissioner, shutting our eyes is not going to achieve anything.
Es handelt sich um ein schwerwiegendes Strukturproblem bei der Programmdurchführung der Kommission.	We have here a serious structural problem in the administration of the programme by the Commission.
Der Hintergrund oder die Quintessenz des Berichts, wie schon gesagt wurde, ist, daß es der Kommission bis heute so recht nicht gelungen ist, ein Evaluierungssystem für PHARE bereitzustellen, mit dem sich die politischen Auswirkungen des Programms ablesen lassen.	The background, or rather the nub, of the report, as has been said, is that the Commission has never really succeeded in producing an assessment system for Phare, which allows the political effects of the programme to be evaluated.
Es fehlten auch ein überzeugendes Überwachungssystem der Ausgaben im einzelnen und Klarheit über die Zuständigkeit für die Evaluierung, die ja, wie wir wissen, immer noch teilweise bei der Kommission durchgeführt und teilweise bei nachgeordneten Einrichtungen residiert.	There is no reliable system for supervising individual activities and no clear responsibilities for evaluation, which, as we know, has always been done partly by the Commission and lies partly with subordinate bodies.
Die mangelnde Transparenz hat natürlich den Verdacht genährt, daß es bei der Auftragsvergabe nicht immer mit rechten Dingen zugeht, und es ist offenbar auch so gewesen, daß sich zumindest in der Anfangsphase manche Einrichtungen aus dem Westen eine goldene Nase verdient haben mit bestimmter Unterstützung oder, sagen wir einmal, Gutgläubigkeit in den Empfängerländern.	Lack of transparency has naturally given rise to the suspicion that not all has been well with the award of contracts, and it was clearly the case, at least in the early stages, that certain institutions in the west managed to line their nests with a certain amount of support or, shall we say, credulity in the recipient countries.
Ob die Ergebnisse der Dienstleistung immer dem entsprachen, was die Länder erwartet haben, wage ich zu bezweifeln.	Whether the results of the services always met the expectations of the countries concerned I would doubt.
Viele der Gutachten sind in den Schubladen gelandet und zu Lasten der Steuerzahler gegangen.	Many of the appraisals landed up in the drawer with the costs borne by the taxpayer.
Trotz aller Kritik, wir brauchen das Programm mehr denn je zur Unterstützung des Beitritts der mittel- und osteuropäischen Staaten.	Despite the criticism though, we need the programme more than ever before to support the entry of the central and eastern European countries.
Damit ist auch nicht an der Dezentralisierung der Durchführung zu rütteln, wenn wir gleichberechtigte Partner in Mittel- und Osteuropa wollen.	This doesn't mean we should cast doubt on decentralization of implementation if we want our partners in central and eastern Europe to have equal rights.
Die Dezentralisierung muß einhergehen mit einer vernünftigen Überwachung, einer stärkeren finanziellen Einbindung der Empfängerländer und einer besseren administrativen Vorbereitung dieser Länder auf diese Aufgaben, und ich glaube, dies ist etwas verkannt worden.	Decentralization must go hand in hand with proper supervision, closer financial involvement of recipient countries and better administrative preparation in these countries for their responsibilities, and I believe this was not properly appreciated.
Wir brauchen aber auch eine neue Methodik der Bewertung der Ergebnisse auf der Grundlage klar definierter politischer Ziele.	But we also need a new method of assessing the results on the basis of clearly defined political goals.
Was den Verdacht der Vetternwirtschaft anbelangt, da hätte ich mir doch einige konkrete Vorschläge vorstellen können, wie neue Einrichtungen einbezogen werden und wie eine breite Teilnahme gewährleistet ist.	As far as suspicion of nepotism is concerned, I can think of a number of specific ways of involving new institutions and ensuring wide participation.
Warum geschieht dies nicht durch regelmäßige allgemeine calls for interest , um die Bewerberkette zu erweitern?	Why is this not done by means of regular general calls for interest so as to broaden the applicant chain?
Warum zieht das Projektmanagement nicht öfter einmal neue Anbieter heran statt immer die gleichen?	Why does the project management not call more often on new providers instead of the same ones every time?
Es wäre auch sehr wichtig, daß die Mitgliedstaaten selbst, die im PHARE-Management-Komitee sitzen, zu Hause für diese Programme werben.	It would also be important for the Member States themselves, who sit on the Phare management committee, to publicize the programme at home.
Ich hoffe, daß dieser Schuß vor den Bug dazu beiträgt, daß der Startschuß für die Durchführung des MEDAProgramms besser verläuft und wir nicht ähnliche Probleme bekommen.	I hope this shot across the bows may help to ensure a better start for implementation of the Meda programme and that we shall avoid problems like this in future.
