. – Herr Präsident!	.
Meine Fraktion hat mir noch weitere zwei Minuten gegeben. So kann ich auf einige Fragen eingehen, die einige Kolleginnen und Kollegen gestellt haben.	Mr President, my group has given me another two minutes, and so I can deal with a number of the questions put by some of my fellow-Members.
Zunächst einmal haben der Kommissar, aber leider auch einige Kolleginnen und Kollegen behauptet: Wenn der Vorschlag des Kollegen Nisticò angenommen wird, dann wird die Forschung unmöglich gemacht oder – und das war die abgeschwächte Form des Vorwurfs – dann sind wir vollständig von den Vereinigten Staaten abhängig.	For a start, it is unfortunate that not only the Commissioner, but also a number of Members of this House have asserted that the adoption of Mr Nisticò’s proposal would make research impossible or – to put the charge in a diluted form – that we would then be entirely dependent on the United States.
Herr Kommissar, können Sie bitte bestätigen, dass Schweden nicht in den USA, sondern in Europa liegt?	Can you confirm, Commissioner, that Sweden is situated in Europe rather than in the USA?
Die meisten Stammzellenlinien, die in dem NIH-Register registriert sind, kommen aus Schweden.	Most of the stem cell lines listed in the NIH register come from Sweden. I once took the trouble to consult the people who manufactured them.
Ich habe mir einmal die Mühe gemacht, diejenigen, die diese Stammzellenlinien hergestellt haben, zu konsultieren.	Let me quote from Professor Lars Hamberger, whose unequivocal response, in an e-mail, to the question as to whether these stem cell lines were available to European researchers was as follows: ‘At present, we have 24 stem cell lines, out of which 20 are relatively well characterised.
Ich zitiere aus einem E-Mail von Herrn Professor Lars Hamberger, der auf die Frage, ob diese Stammzellenlinien für europäische Forscher verfügbar sind, eindeutig gesagt hat: „“	In the case that European researchers want to get access to these cell lines they can apply to us, and if the respective country laws and regulations permit export we can arrange, and we have already distributed a few cell lines to Europe.’
Diese Zellen sind also verfügbar, und ähnliche Antworten habe ich auch aus den anderen Instituten.	So these cells are available; I have had similar answers from the other institutes.
Herr Nisticò hat mich noch einmal darauf hingewiesen, dass sein Vorschlag ja weiter geht als der der Amerikaner.	Mr Nisticò has again drawn my attention to the fact that his proposal actually goes further than the Americans’.
Es geht nicht nur um Zellen, sondern auch um Zellenlinien, und es geht um ein späteres Datum. Also bitte behaupten Sie nicht länger, dass jede Forschung unmöglich wäre.	This is not just about cells, but about cell lines and a later date, so I ask you to desist from asserting that all research would be made impossible.
Zum Schluss ein Gedanke, den ich die Kolleginnen und Kollegen bitte aufzunehmen: Die Subsidiarität wird von vielen gegensätzlich interpretiert.	Let me conclude with a thought that I ask Members of this House to take on board. Many of us have mutually contradictory interpretations of what subsidiarity means.
Aber ich bitte Sie, sich einen kurzen Moment vorzustellen, dass es um eine andere Forschung ginge, zum Beispiel eine Forschung, die mit Tierquälerei an Primaten, an Menschenaffen, verbunden ist.	I ask you, though, to imagine for one brief moment that we are dealing with a different type of research, for example, research involving cruelty to animals, specifically primates or anthropoid apes.
Ich glaube, da würden sich die Argumente auf einmal umdrehen.	In that event, I think the arguments would be reversed.
Ganz wichtig in dem Zusammenhang ist: Die Kommission sagt jeden Tag „Nein“ zu Forschungsprojekten.	What is absolutely vital here is that, day after day, the Commission says ‘no’ to research projects.
Gemeinsam mit Herrn Linkohr bin ich der Meinung, dass wir mehr Geld für die Forschung zur Verfügung stellen müssen. Solange wir aber für die unstrittigen Projekte keine Gelder zur Verfügung stellen können, müssen wir uns noch sorgfältiger überlegen als es die Kommission vorschlägt, warum wir strittige Projekte unterstützen wollen.	I agree with Mr Linkohr that we must make more funding available for research, but, for as long as we are unable to fund uncontroversial projects, we have to think even more carefully than the Commission suggests about why we want to support controversial ones.
Deswegen glaube ich, dass Herrn Nisticòs Vorschlag wirklich ein guter Kompromiss ist.	For that reason, I believe that Mr Nisticò’s proposal really is a good compromise.
