Frau Präsidentin, ich respektiere Ihre Überlegungen, ich halte sie dennoch für falsch.	Madam President, I respect your thinking, but I believe it to be wrong.
In so einer außergewöhnlichen Situation ist es üblich, daß alle Fraktionen die Möglichkeit erhalten, dazu Fragen zu stellen.	In such an unusual situation, it is customary for all groups to have the opportunity to put questions on it.
So wurde immer vorgegangen, und das hätte auch diesmal passieren müssen.	That is what has always happened before, and it is what should have happened this time.
Ich lasse es damit aber sein Bewenden haben.	But I shall leave it at that.
Ich nehme Ihre Erklärung zur Kenntnis und verfahre jetzt, wie Sie mir vorgeschlagen haben, und halte meinen Beitrag.	I take note of your explanation, and I shall now do as you have suggested and say what I have to say.
Herr Kommissar Fischler, Sie sagten, daß die Maßnahmen der englischen Regierung Maßnahmen seien, die diese zu verantworten habe.	Commissioner Fischler, you said that the measures adopted by the British government would be that government's responsibility.
Was aber dabei herauskommen wird - das wissen Sie auch -, ist, daß der Vertrauensschwund, der auch die anderen Bauern in der Europäischen Union Geld kostet, weiter zunehmen wird.	But the result - as you are aware - will be a further increase in that loss of confidence which is also costing the other farmers in the European Union money.
Von daher sind die Maßnahmen der englischen Regierung dazu angetan, diejenigen, die damit eigentlich nichts zu tun haben, Geld zu kosten.	It follows that the measures adopted by the British government are likely to cost money to people who actually have nothing whatever to do with them.
Zu dem Bericht von Herrn Funk: wir begrüßen ihn, wir unterstützen ihn im wesentlichen.	As for Mr Funk's report, we welcome it and we largely support it.
Es geht auch uns darum, zu schlachten und das Vertrauen in den Markt wieder herzustellen.	We, too, are concerned with slaughtering cattle and restoring confidence in the market.
Das kann man nur, wenn man auch faktisch dafür sorgt, daß die VerbraucherInnen wieder Fleisch kaufen.	The only way we can do that is to make sure, in actual practice, that the consumer does start buying meat again.
Hier ist es aber notwendig, daß unser Änderungsantrag angenommmen wird, der besagt, daß diese Prämie nur bei Fleisch gezahlt wird, das garantiert und nachweislich aus BSE-freien Beständen stammt.	And that in turn makes it necessary for our amendment to be adopted, in which we say that this premium should be paid only on meat which can be guaranteed and proven to originate from BSE-free stocks.
Das gleiche muß für Interventionen gelten, die jetzt nach Gewicht vorgezogen werden. Hier muß nachgewiesen sein, daß es keine BSE-Bestände sind, damit wir nicht in ein paar Jahren dieses Fleisch auf den Markt bringen und wiederum das Vertrauen und damit der Markt untergraben werden.	The same must apply to intervention, which is now to be preferentially based on weight: there must be proof that the stocks concerned are not BSEinfected, to ensure that, in a year or two, we are not going to bring this meat onto the market again and once again undermine consumer confidence, and so the market itself.
Herr Kommissar Fischler, die Herausnahme von Kälbern ist richtig, aber nicht in der Form der Herodes-Prämie.	Commissioner Fischler, the elimination of calves is right, but not in the form of the 'King Herod' premium.
Es müssen Kälber geschlachtet werden, die zunächst Fleisch haben ansetzen können, und das muß dann auf den Markt gebracht werden.	Calves slaughtered must first have been able to put on meat, and that meat must then be put on the market.
Dies ist hochwertiges Fleisch, das unterstützt werden muß, damit es nicht teurer wird als Rindfleisch.	This is highquality meat, and it must be supported to ensure that it doesn't become more expensive than beef.
Damit wäre ein Abräumen des Marktes möglich, aber nicht in dem Sinne, daß es, wie Sie vorgeschlagen haben, dem Verbrauch entzogen wird.	This would make it possible to clear the market, but not in the way you propose, by removing the meat from consumption.
Außerdem - das ist meine letzte Überlegung - muß es auch bei den Sonderprämien eine Begrenzung auf 90 Tiere geben, damit wir eine Staffelung haben.	Moreover, and this is my last point, the special premiums must also be subject to a limit of 90 animals, so that we have a staggered effect.
Das ist ebenfalls ein Antrag von uns: Wie bei der normalen Sonderprämie darf nicht für alle Bestände gezahlt werden, sondern nur für die ersten 90 Tiere.	This is another motion from our group: as with the normal premiums, special premiums must not be paid on all stocks but only on the first 90 animals.
