. – Herr Präsident! Lassen Sie mich mit einer kurzen Rückblende beginnen.	. – Mr President, allow me to begin with a brief flashback.
Fast auf den Tag genau vor fünf Jahren, am 2. Dezember 1998, hat dieses Haus hier in Brüssel eine hitzige Debatte mit Jacques Santer, dem damaligen Kommissionspräsidenten, geführt.	Five years ago almost to the day, on 2 December 1998, this House held a heated debate here in Brussels with the former President of the Commission, Jacques Santer.
In der Rückschau war diese Debatte der Anfang vom Ende der damaligen Kommission.	With hindsight, this debate marked the beginning of the end of the former Commission.
Damals wie heute ging es um die Betrugsbekämpfung, um die Konsequenzen, die die Kommission aus einigen gravierenden Fällen zu ziehen hatte.	The issue then, as it is now, was combating fraud and the conclusions that the Commission needed to draw from several serious cases.
Damals hatte sich der Kommissionspräsident entschieden, mit dem Parlament auf Konfrontationskurs zu gehen.	At the time, the President of the Commission decided to head for a confrontation with Parliament.
Gegen den erklärten Willen dieses Hauses wollte er die Zuständigkeit für Betrugsbekämpfung weitgehend aus der Kommission auslagern und einer externen Agentur zuschieben, mit dem Argument, nur so sei die Unabhängigkeit der Untersuchungen zu gewährleisten.	Against the declared will of this House, he wanted to move most of the responsibility for fighting fraud out of the Commission and into an external agency, on the grounds that this was the only way to guarantee the independence of investigations.
Wir haben dies seinerseits sehr geschlossen abgelehnt, weil niemand eine Antwort auf die Frage geben konnte, woher denn die Kompetenzen dieser Agentur kommen sollten und wie die Wirksamkeit ihrer Arbeit sichergestellt werden sollte.	We rejected this very firmly, because no one was able to tell us where this agency was supposed to derive its authority from and how the effectiveness of its work was supposed to be ensured.
In Zusammenhang mit der Diskussion um den Fall Eurostat ist dieses Hirngespinst einer externen Agentur in den vergangenen Monaten wieder aufgetaucht. Gott sei Dank, so scheint es, zumindest nur in den Köpfen einiger hoher Beamter der Kommission.	This fantasy of an external agency has resurfaced in recent months in connection with the debate on the Eurostat case, thankfully, it seems, at least only in the minds of a handful of senior officials in the Commission.
Die Signale, die wir von Kommissionspräsident Prodi im November in Straßburg erhalten haben, deuten in eine andere, konstruktivere Richtung.	The signals that we received from the President of the Commission, Mr Prodi, in Strasbourg in November pointed in another, more constructive direction.
Heute, gut fünf Monate bevor sich die Mitglieder dieses Hauses endgültig in den Wahlkampf verabschieden, geht es darum, das Machbare zu identifizieren und es gemeinsam anzupacken, damit wir in dieser so entscheidenden Frage des Schutzes der finanziellen Interessen der Union nicht mit leeren Händen vor unsere Wählerinnen und Wähler treten müssen.	Today, a good five months before the Members of this House bid one another a final farewell and head for the campaign trail, it is a question of identifying what is feasible and tackling this together, so that on such a decisive issue as protecting the Union’s financial interests we do not have to go before our electorate empty-handed.
Die Punkte im Einzelnen: Mein Bericht macht sehr deutlich, dass wir es bei OLAF in erster Linie mit einem Vollzugsdefizit zu tun haben, das durch den Fall Eurostat auf sehr dramatische Weise ans Licht gebracht worden ist.	I now turn to the individual points. My report makes it very clear that our prime concern is that OLAF is underperforming, something that was brought to light very dramatically by the Eurostat case.
Dies ist nicht der Moment für Schuldzuweisungen, aber wenn wir feststellen müssen, dass von den 300 Mitarbeitern von OLAF gegenwärtig selbst bei großzügiger Zählweise nicht einmal 15 mit internen Untersuchungen in den Institutionen beschäftigt sind, dann ist etwas ganz gründlich schiefgelaufen.	This is not the time to apportion blame, but if we note that of the 300 staff in OLAF fewer than 15, even on a generous count, are at present working on internal investigations in the institutions, then something has gone seriously wrong.
Dann hat dieses Amt, salopp gesagt, das Thema verfehlt.	If that is the case then this office is, to put it inelegantly, completely off the mark.
Hier müssen wir schnell und radikal umsteuern.	A quick and radical change of course is required here.
OLAF muss seine Untersuchungen auf die Bereiche konzentrieren, wo die zuständigen Dienststellen der Mitgliedstaaten nicht eingreifen können oder wollen, also auf interne Untersuchungen innerhalb der Institutionen und bei den direkt von der Kommission verwalteten Ausgaben.	OLAF needs to focus its investigations on those areas in which the relevant bodies in the Member States either cannot or do not wish to intervene, that is on investigations within the institutions and on the expenditure that is managed directly by the Commission.
Zweitens: Der Respekt der Grundrechte der von Untersuchungen betroffenen Personen.	My second point is respect for the fundamental rights of those involved in investigations.
Die OLAF-Verordnung ist da völlig eindeutig.	The OLAF Regulation is absolutely clear on this.
