Herr Präsident, Frau Kommissarin! Fünf Minuten für Freitag sind genug.	Mr President, Commissioner, five minutes are enough for a Friday.
Eigentlich habe ich mich auf weniger Zeit eingestellt, aber dann kann ich noch einige zusätzliche Anmerkungen machen und werde trotzdem nicht überziehen.	I had actually anticipated having less time, which means that I can make a few additional comments and still keep to my time.
Hopfen ist eine besondere Pflanze.	Hops are a special kind of plant.
Er bringt letztendlich Geschmack und Würze in dieses wichtige Volksnahrungsmittel Bier.	After all, they add flavour and wort to this important popular foodstuff we call beer.
(Beifall)	(Applause)
Nicht nur im Wein liegt die Wahrheit, auch im Bier.	Truth is to be found not just in wine but also in beer.
Das ist gerade für Bayern besonders wichtig, das Land, aus dem ich komme und in dem dieses Produkt Bier, dieses Nahrungsmittel Bier in der historischen Entwicklung, wie aber auch in der Einstellung der Bevölkerung eine große Rolle gespielt hat.	This is particularly important in the case of Bavaria, the land I come from and where this foodstuff we call beer has had an important role to play, both in terms of development down through the ages and the population' s outlook.
Weißbier ist natürlich eine besondere Form des Bieres; es ist in München bekannt und schmeckt vielen.	Weißbier is, of course, a special kind of beer; it is well known in Munich and many people enjoy the taste.
Hopfen würde zwar fast überall wachsen, aber es gehören auch besondere Menschen dazu, um den Hopfen entsprechend zu pflegen, damit der Hopfenanbau erfolgreich ist.	It is true that hops would grow almost anywhere but it takes people with special qualities to give the hops the care they need, so as to ensure a successful crop.
Dazu gibt es auch einige Sprüche: Der Hopf ist ein Tropf, das ist vielleicht etwas schwierig zu übersetzen, soll sagen: Der Hopfen ist eine launische Frucht, die gute Pflege besonders belohnt, aber auch schlampige Arbeit bestraft.	There are a number of sayings about this, such as Der Hopf ist ein Tropf (hops are little rascals), which may prove rather difficult to translate but literally means: hops are a fickle crop that rewards careful tending particularly well but also makes one pay for sloppy work.
Zum anderen, der Hopfen will täglich seinen Herrn sehen.	Hops also expect a daily visit from the master.
Das besagt, daß Hopfen eine sehr arbeitsintensive Frucht ist und sich deshalb bei den fleißigen Menschen mehr verbreitet.	What all this amounts to is that hops are a very labour-intensive crop and therefore tend to be more widespread amongst people of an industrious bent.
So ist bei uns ein größeres Anbaugebiet entstanden.	That explains why a large hop cultivation area has grown up where I come from.
In der Mitte von Bayern, in der Hallertau, hat sich seit mehr als 150 Jahren ein großes Hopfenanbaugebiet entwickelt, das größte in der gesamten Welt, denn ungefähr ein Viertel der Produktion stammt aus der Hallertau.	In central Bavaria, the Hallertau, a large hop cultivation area - in fact the largest in the world, because approximately one quarter of production derives from the Hallertau - has been developing over the last 150 years or more.
Deshalb ist dieses Thema für Bayern und für mich als Bayer natürlich auch wichtig.	Of course that is why this issue is of particular significance for Bavaria and for myself as a native of Bavaria.
(Beifall)	(Applause)
Ich möchte noch einmal unterstreichen, Hopfen und Bier aus Hopfen steht ja irgendwo für Gemütlichkeit, sogar für Beruhigung.	I would like to again emphasise the fact that hops and beer made from hops could be said to stand for sociableness, for relaxation even.
Hopfen wird übrigens auch als Medizin eingesetzt.	Incidentally, hops are also used for medicinal purposes.
Bayern ist besonders bekannt als Land des Bieres, aber auch als Land von Tradition und Fortschritt.	Bavaria is primarily famous for being the land of beer, but also for being the land of tradition and progress.
Sie haben sicherlich schon oft gehört, daß Tradition und Fortschritt in Bayern als besonders wichtig angesehen werden.	You are bound to have often heard it said that tradition and progress are rated particularly highly in Bavaria.
Der Spruch von Lederhose und Laptop wird ja auch von Ministerpräsident Stoiber häufig verwendet.	Indeed, the lederhosen and laptop saying is often quoted by Bavaria' s leader Mr Stoiber.
Der Standort Bayern ist nicht nur für das Oktoberfest in München, sondern auch für High Tech bekannt.	Bavaria is not just famous for the Oktoberfest in Munich but also for its high tech.
Nicht umsonst steht auch die weltbekannte Brauuniversität München-Weihenstephan eben in Bayern.	It is not without reason that the world famous University of Brewing of Munich-Weihenstephan is located in Bavaria.
Von dieser Stätte aus gingen viele Erkenntnisse in die Welt und haben den Hopfenanbau ebenso wie die Herstellung des Bieres bis nach China, Rußland oder auch bis in die USA sehr stark beeinflußt.	It has disseminated a great deal of knowledge to the world and has heavily influenced both hop cultivation and beer production in the far-flung corners of China and Russia, and even in the USA.
Deshalb gibt es dort auch den Spruch "Hopfen und Malz, Gott erhalt's ".	Hence another saying: Hopfen und Malz, Gott erhalt' s (hops and malt, may God preserve them).
Das ist wichtig, auch für diese von der Kommission vorgeschlagene Verordnung.	This is important, also with regard to the regulation put forward by the Commission.
Ich hätte noch ein paar Anmerkungen, aber ich muß mich an die Zeit halten.	I had a few other comments I wanted to make but I must keep within my time.
