Herr Präsident! Zuerst darf ich der Berichterstatterin sehr herzlich danken.	Mr President, I must firstly offer the rapporteur my very sincere thanks.
Sie hatte keine leichte Aufgabe, sie hat sie aber doch sehr gut gelöst.	Her task was not easy, but she managed it very well.
Der Zugang zur beruflichen Weiterbildung ist für alle Arbeitnehmer von entscheidender Bedeutung.	Access to further vocational training is of crucial importance to all employees.
Umgekehrt sind gut ausgebildete Arbeitnehmer auch für jeden Arbeitgeber die Grundlage des wirtschaftlichen Erfolgs.	Conversely, well-trained employees are the basis for commercial success for every employer.
Völlig unzureichende Informationen und veraltete statistische Daten können nicht als Garanten für eine gute und sinnvolle Analyse gelten.	Completely inadequate information and obsolete statistical data cannot form reliable bases for a good and meaningful analysis.
Insofern ist der Bericht der Kommission leider wenig aussagekräftig.	To this extent the Commission's report is unfortunately not very informative.
Andererseits hat die Kommission keinerlei Auswertung über den Beitrag der Gemeinschaftsprogramme in ihren Initiativen vorgelegt.	On the other hand, the Commission has presented no evaluation at all of the contribution of the joint programmes in its initiatives.
Die Sozialpartner sind zwar auf europäischer Ebene einig über die Faktoren, die für die Förderung des Zugangs zur beruflichen Weiterbildung von Bedeutung sind, aber leider gibt es ein schwerwiegendes Hindernis, weil keine Einigung über die Maßnahmen und Durchführungsebenen besteht.	Although on a European level the social partners are in agreement about the factors which are significant for the promotion of access to further vocational training, but unfortunately there is a serious difficulty because there is no agreement about the measures to be taken and the implemental levels.
Hier muß also noch etwas geschehen. Dies erschwert nämlich die Festlegung gemeinsamer Voraussetzungen und der von der Berichterstatterin vorgeschlagenen Leistungsindikatoren.	Further action must therefore be taken here because this makes it difficult to establish common prerequisites and the performance indicators proposed by the rapporteur.
Die Finanzierung von Pilotvorhaben muß bei den entsprechenden Bildungsprogrammen unbedingt berücksichtigt werden.	In the relevant training programmes the financing of pilot projects must definitely be taken into account.
In die Maßnahmen sollten besonders Frauen sowie kleine und mittlere Unternehmen einbezogen werden.	The measures should in particular include women as well as small and medium-sized companies.
Informationsveranstaltungen unter Beteiligung der Sozialpartner könnten tatsächlich eine Hilfestellung bieten.	Information events with the participation of the social partners could in fact represent useful aids.
Eine Koordinierung der Vorhaben im Beschäftigungsbereich mit denen im Bereich der beruflichen Weiterbildung ist erforderlich.	A coordination of the projects in the particular sphere of employment with those in the sphere of further vocational training is required.
Auch eine Rahmenvereinbarung über die Öffnung der Betriebe für die berufliche Bildung ist sicher wünschenswert.	A framework agreement on the opening of business enterprises for vocational training is certainly desirable.
Ob eigene Beurteilungs- und Beratungsdienste, die wieder Kosten verursachen, unbedingt nötig sind, wage ich allerdings zu bezweifeln.	However, I would venture to doubt whether our own assessment and advisory services, which would again incur costs, are absolutely necessary.
Lassen Sie mich auf eine Gefahr hinweisen.	Allow me to point out a danger.
Die Empfehlungen des Rates von 1993 über den Zugang zu beruflicher Weiterbildung haben nach Meinung der Sozialpartner leider kaum Auswirkungen auf die Entwicklung in den Mitgliedstaaten gehabt.	In the opinion of the social partners the recommendations of the Council in 1993 on access to further vocational training unfortunately scarcely had any effects on developments in the Member States.
Nach Meinung des EGB gibt es nur eine sehr begrenzte Zahl von erfolgreichen Beispielen.	And in the opinion of the ETUC there is only a very limited number of successful examples.
Das heißt, das Fehlen von verläßlichen und stabilen Strukturen und Mechanismen behindert eine erfolgreiche Arbeit auf diesem Gebiet.	This means that the lack of reliable and stable structures and mechanisms is hindering successful work in this area.
Die Sozialpartner sind sich bis heute nicht einig, ob eine Richtlinie nötig ist.	The social partners have so far failed to agree as to whether a Directive is necessary.
Das muß genau überlegt werden, und es ist auch eine Frage der Subsidiarität.	This must be considered in detail, and it is also a question of subsidiarity.
Diese Frage beinhaltet also das Subsidiaritätsprinzip.	This question therefore involves the principle of subsidiarity.
Für eine erfolgreiche Umsetzung der Leitlinien zu diesem Bericht der Kommission muß man noch einige Hürden nehmen. Im Interesse der Arbeitnehmer und Arbeitgeber müssen sie allerdings alsbald beseitigt werden.	There are still some hurdles to be cleared for a successful implementation of the guidelines to this report They must, however, be overcome forthwith in the interest of employees and employers.
