Herr Präsident, meine sehr verehrten Damen und Herren, meine lieben Kolleginnen und Kollegen!	Mr President, nine million cars are shredded and scrapped every year in Europe.
Neun Millionen Autos werden jährlich in Europa der Verschredderung und dem Schrott zugeführt. Diese neun Millionen Autos haben trotz der Tatsache, daß sie nicht mehr fahren können, die Eigenschaft, auch über Grenzen hinweg gehandelt und verschoben zu werden, nicht nur über innergemeinschaftliche Grenzen, sondern auch über Grenzen, die außerhalb der Union liegen.	Even though they can no longer be driven, these nine million cars may still be traded and moved across borders; and not just intra-Community borders, but also those outside the Union.
Deswegen ist es im Grundsatz richtig, daß die Europäische Union hier gemeinschaftliche Spielregeln aufstellt, wie man diese neun Millionen Fahrzeuge im Jahr recycelt und verarbeitet.	It is therefore only right that the European Union should draw up Community rules on how these nine million vehicles every year are to be recycled and processed.
Die Richtlinie hat, so glauben wir, einige Schwächen, die wir in diesem Hause gerne aufarbeiten möchten zugunsten einer Richtlinie, die in der Tat dann auch zukunftsweisend ist.	We believe that the directive has a few weaknesses that we in the House should work on to produce a directive which is genuinely ground-breaking.
Deswegen gibt es eine Menge an Änderungsanträgen.	We therefore have a number of amendments.
Ich persönlich glaube, daß der Geltungsbereich dieser Richtlinie über das Ziel hinausschießt.	I personally believe that the scope of the directive goes beyond its objective.
Ich halte es nicht für notwendig, daß Oldtimer Bestandteil dieser Richtlinie sind.	I do not think it is necessary for classic cars to be part of the directive.
Ich glaube auch nicht, daß Motorräder Bestandteil dieser Richtlinie sein sollten, weil es im Motorradbereich eine so ausgeprägte Kultur der Wiederverwertung gibt, daß wir dafür keine europäische Richtlinie brauchen.	Nor do I think that motorcycles should be included, as the distinctive culture of recycling within the motorcycle industry obviates the need for a European directive in this area.
Auch bei Sonderfahrzeugen strebe ich nicht so unbedingt hohe Recyclingquoten an.	I am not looking for such rigidly high recycling quotas when it comes to special-purpose vehicles either.
Ich habe den Wunsch, daß Sonderfahrzeuge wie Krankenwagen hohe Rettungsquoten haben.	I want special-purpose vehicles such as ambulances to have high recovery quotas.
Das ist meine Hauptsorge in diesem Bereich.	This is my main concern in this matter.
