Herr Präsident! Kolumbiens Alltag ist grausam.	Mr President, everyday life in Colombia is grim.
Jeden Monat könnten wir aufs neue über Menschenrechtsverletzungen, die Paramilitärs, Übergriffe auf Indigenas und Schwarze, Vertreibungen und das Verschwinden von Menschen diskutieren.	Every month we could discuss the latest human rights violations, the paramilitaries, attacks on the Indios and the black population, people driven from their homes and the disappearance of individuals.
Diesmal ist der Anlaß jedoch eine sogenannte natürliche Katastrophe: das Erdbeben in Armenia.	This time, however, the cause of our concern is what we call a natural disaster, namely the earthquake in the city of Armenia.
Unendliches Leid hat es über die Bevölkerung gebracht, und ich will jetzt nicht wiederholen, was meine Kolleginnen und Kollegen bereits alles gesagt haben, doch dazu kommt noch eine hausgemachte Katastrophe, nämlich Korruption und Unfähigkeit, teilweise des kolumbianischen Staatsapparates, Hilfeleistungen schnell und sicher zu den Opfern zu bringen.	It has heaped untold suffering on the population, and I do not propose to repeat everything my honourable colleagues have already said on the subject. Nevertheless, the natural disaster has been compounded by a home-made disaster in the form of corruption and incompetence, partly within the Colombian government apparatus, which are hindering the effort to ensure that help reaches the victims and reaches them quickly.
Besonders besorgniserregend aber sind Informationen, wonach die angeblich schnelle Hilfe der Europäischen Union vielerorts gar nicht angekommen sei.	We must be particularly worried by reports that the allegedly rapid assistance provided by the European Union has failed to arrive in many places.
Hier wäre es dringend notwendig, nachzuprüfen, was an diesen Informationen dran ist.	There is an urgent need to find out how accurate this information is.
Ein Rechenschaftsbericht hierzu wäre dringend notwendig.	An official report on this matter is urgently required.
Im Windschatten des Erdbebens haben die Paramilitärs eine Vernichtungskampagne gegen die Menschenrechtler gestartet.	In the wake of the earthquake, the paramilitaries have launched a campaign to annihilate human rights activists.
Auf nationaler wie internationaler Ebene fordern Politiker und andere, daß Präsident Andrés Pastrana endlich durchgreift.	Politicians and others at home and abroad insist that it is high time President Andrés Pastrana took decisive action.
Doch bisher haben wir da noch zu wenig gesehen.	Alas, we have seen too little of that.
Auch hier wäre es dringend notwendig, daß die Kommission die kolumbianische Regierung auffordert, diese Menschenrechtsverletzungen im Windschatten des Erdbebens zu bekämpfen.	Here too, there is an urgent need for the Commission to demand that the Colombian Government act to stamp out these violations of human rights in the aftermath of the earthquake.
