Herr Präsident, wir hatten die Hoffnung auf Frieden in Angola.	Mr President, we had hoped for peace in Angola.
Wir hatten sie schon mehrmals.	Such hopes had been raised many times before.
Vor Jahren war Savimbi hier im Parlament geladen und hat versprochen, er wird Frieden schaffen.	Years ago, Jonas Savimbi was invited here to our Parliament and promised to make peace.
Anschließend hat er zu den Waffen gegriffen, dann gab es wieder Krieg.	Then he took up arms, and the country was plunged into war again.
Vor vier Jahren gab es das Abkommen von Lusaka, eine Friedensübereinkunft, von der wir gedacht haben, sie sei die Grundlage für einen langjährigen Frieden.	Four years ago there was the Lusaka protocol, an agreement that we saw as the basis for many years of peace.
Wir waren mit verschiedenen Delegationen des Parlaments dort und haben beispielsweise in Huambo gesehen, wie Waffen abgegeben werden.	We have been there with various delegations from the European Parliament, and we have seen weapons being surrendered in Huambo, for example.
Wir haben aber als Parlamentarier kritisiert, daß diese Waffen, die abgegeben werden, Waffen aus dem zweiten Weltkrieg sind, nicht die Waffen, mit denen gekämpft wird.	We parliamentarians, however, criticised the fact that the weapons being surrendered were arms from the Second World War, not the weapons that had been used in the civil war.
D.h. die UNITA hat uns jahrelang hinters Licht geführt, sie hat jahrelang den Bürgerkrieg mit einem Waffenstillstand gewissermaßen kurzgehalten, aber sie hatte diese Situation des Bürgerkrieges im Kopf und wollte ihn vorantreiben.	In other words, UNITA has been pulling the wool over our eyes for years; they used a cease-fire to keep the lid on the civil war to some extent over a period of several years, but this civil war scenario was always on their minds, and they wanted to pursue it.
Ich denke, wir müssen die Resolution des UN-Sicherheitsrates ernst nehmen, der verlangt, Sanktionen gegenüber der UNITA durchzusetzen.	I believe we must take serious note of the UN Security Council resolution, which calls for the enforcement of sanctions against UNITA.
Wir müssen sie in zweifacher Hinsicht ernst nehmen.	We must take it seriously in two respects.
Zum einen muß dafür gesorgt werden, daß die UNITA nicht weiter Diamanten abbauen und sich damit moderne Waffen kaufen kann.	First of all, there is a need to ensure that UNITA can no longer mine diamonds and buy modern weapons with the proceeds from their sale.
Zum anderen dürfen diese Diamanten nicht in die Europäische Union kommen, hier auf den Markt kommen und die Grundlage für diese Waffenkäufe bilden.	Secondly, these diamonds must not find their way into the European Union, be marketed here and provide the capital for these arms purchases.
Insofern sind die Mitgliedstaaten gefordert, diese Diamanten aus Angola hier nicht auf den Markt zu lassen und etwas gegen ihren Verkauf bei uns zu unternehmen.	So it is up to the Member States not to let these diamonds from Angola enter their markets and to take steps to prevent their sale in the European Union.
Auf der anderen Seite haben wir - das haben wir in Kriegssituationen immer - eine leidende Bevölkerung, in der Regel eine Bevölkerung, die diesen Krieg gar nicht will, die da hineingezwungen wurde.	On the other hand, as in every war situation, we have a suffering population, a population sucked into the war, generally against their will.
Da sind wir gefordert, Herr Marín von der Kommission, weiter humanitäre Hilfe zu leisten, dort, wo es möglich ist, dort, wo diejenigen, die diese Hilfe leisten wollen, auch nicht gefährdet sind.	In such cases, Commissioner Marín, it is our duty to keep providing humanitarian aid wherever possible, wherever the people who want to administer that aid are not endangered.
Ich denke, damit sie geleistet werden kann, ist es auch notwendig, unsere Anstrengungen fortzusetzen, die wir im Bereich der Minenräumung unternommen haben, weiter zu unterstützen, daß man die grausamste Waffe, die es eigentlich gibt, dort loswird.	So that it can be administered, I believe it is essential for us to continue the efforts we have been making to ensure that landmines are cleared, to support the removal from that country of the most barbaric weapons in existence.
Auch die Rehabilitation sollten wir fördern.	We should also support the rehabilitation effort.
Wir haben uns Rehabilitationswerkstätten angeschaut, die gut arbeiten.	We visited rehabilitation workshops and can confirm that they are working well.
Ich denke, die humanitäre Hilfe insgesamt wie auch die konkreten Maßnahmen sind etwas sehr wichtiges für die leidende Bevölkerung und ein guter und wesentlicher Beitrag der Europäischen Union, der Kommission, des Parlaments und des Rats, der Haushaltsinstitution und derjenigen, die die Maßnahmen umsetzen.	I believe that both humanitarian aid in general and the specific projects are a very important asset to the suffering population, as well as a good and vital contribution by the European Union, by the Commission, Parliament and the Council - the budgetary authority and the executive.
