Herr Präsident! Transparenz schafft Vertrauen.	– Mr President, transparency engenders trust.
Auf dieses Vertrauen der Bürgerinnen und Bürger sind alle Vertreter und Angehörigen der europäischen Institutionen dringend angewiesen.	All representatives and members of the European institutions are completely dependent on the trust of the citizens.
Europa ist hier viel besser als sein Ruf, aber noch mehr Transparenz zu schaffen ist meist gar nicht so schwer, wie ich an folgenden Beispielen der zeigen will.	In this respect, Europe is much better than its reputation suggests, but in most cases it really is not difficult to create even greater transparency, as I can show using some examples from the 'other institutions'.
Zum Beispiel EuGH. Wann werden die Richter am EuGH endlich ihre finanziellen Interessen offen legen?	Using the example of the European Court of Justice, when will the judges of the Court of Justice finally publish their financial interests?
Wann wird der Interne Prüfer des EuGH endlich zumindest einige der in seinem Arbeitsprogramm aufgeführten Arbeiten abschließen und uns zur Verfügung stellen?	When will the Court's internal auditor finally complete at least some of the tasks listed in his programme of work and make them available to us?
Wann werden vom EuGH die internen Kontrollnormen endlich vollständig angewandt?	When will the ECJ finally fully implement the internal control standards?
Oder Beispiel Rechungshof. Wann werden die Mitglieder des Rechnungshofs ihre finanziellen Interessen veröffentlichen und somit die notwendige Transparenz schaffen?	Then there is the example of the Court of Auditors: when will the members of the Court of Auditors publish their financial interests and thus create the necessary transparency?
Oder beim Ausschuss der Regionen. Warum wurden nur so wenige Kontrollen und Überprüfungen vorgenommen?	The same goes for the Committee of the Regions: why are so few checks and inspections carried out there?
Warum war die Position des Internen Prüfers über einen so langen Zeitraum nur unzureichend besetzt?	Why was the position of internal auditor only inadequately filled for such a long time?
Warum war der Ausschuss der Regionen nicht in der Lage, seinen jährlichen Tätigkeitsbericht bis zur Prüfung des Rechnungshofs fertig zu stellen?	Why was the Committee of the Regions unable to complete its annual progress report before the Court of Auditors' audit?
Vor allem beim AdR gab es in den Beratungen im Ausschuss kontroverse Diskussionen.	There were some particularly controversial discussions regarding the Committee of the Regions during the consultations in committee.
Ich kündige als Berichterstatter für die Entlastung für das Jahr 2005 schon heute an, dass ich hier besonders genau hinschauen werde.	As the rapporteur for the discharge for 'other institutions' for 2005, I tell you right now that I will be taking a particularly close look at this.
Zum Thema „Mietskandal Straßburg“ von mir nur ein Wort: Ich begrüße ausdrücklich, dass zumindest eine große Mehrheit der Kollegen in der Lage ist, diesen Fall von der grundsätzlichen Diskussion um unseren Parlamentssitz zu trennen.	On the subject of the 'Strasbourg lease scandal', I will just say a brief word: I greatly welcome the fact that the majority of Members, at least, have been able to separate this case from the more general discussion regarding the seat of Parliament.
