Herr Präsident, ich spreche für eine Minderheit.	Mr President, I represent a minority.
In der neuen Erwägung 16 heißt es, die Denunziationspflicht besteht, "wenn der Rechtsberater an den Geldwäschevorgängen beteiligt ist, wenn die Rechtsberatung zum Zwecke der Geldwäsche erteilt wird und der Rechtsanwalt weiß, dass der Klient die Rechtsberatung für Zwecke der Geldwäsche in Anspruch nimmt ".	The new Recital 16 says that there is an obligation to report suspicions "if the legal counsellor is taking part in money laundering activities, the legal advice is provided for money laundering purposes, or the lawyer knows that the client is seeking legal advice for money laundering purposes".
Das ist zu weit gehend!	That is going too far.
Deshalb stimme ich dagegen.	That is why I am voting against this.
Damit wird die Beratung im Kern zerstört.	It would destroy the integrity of advice.
Das bedeutet ein Zweites, was es bisher noch nicht gegeben hat in unseren Rechtsordnungen: In allen diesen drei Fällen ist der Rechtsberater, der Rechtsanwalt straffällig geworden.	It also has a second implication which has not up to now been the case under our existing legislation: in all three cases the legal counsellor or lawyer would be committing a criminal offence.
Er hat sich strafbar gemacht. Er muss sich also selbst mit anzeigen.	He would therefore also have to denounce himself.
Das hat es bisher weder im Abendland noch im Morgenland gegeben.	That is totally unheard of anywhere in the world.
Ich bin auch ziemlich sicher, dass die Rechtsordnungen der Steinzeit das nicht vorsahen.	I am fairly sure that even in the Stone Age there was no law saying that.
Der Weltgeist hat aus unerfindlichen Gründen die Kommission ausgesucht, um diesen Rechtssatz, dass man sich selbst denunzieren muss, erstmals in eine Rechtsordnung zu schreiben.	For some inexplicable reason, the Commission has felt moved for the first time ever in law to adopt a legal provision whereby one must denounce oneself.
Das kann meine Zustimmung nicht finden!	I certainly cannot vote for that.
Ich denke an Lessing, der gesagt hat: "Wenn das Licht der Aufklärung auch nur noch als kleiner Docht glimmt, so ist wenigstens noch ein Stück Hoffnung in der Welt. "	Lessing comes to mind, who said that if enlightenment is only a small light glimmering in the darkness, there is at least still some hope in the world.
Sie haben den gleichen Fehler gemacht wie bei der OLAF-Gesetzgebung, die am Schluss ja bis in die Büros der Abgeordneten vorgedrungen ist.	You have made the same mistake as with the OLAF legislation, which in the end has even penetrated into Members' offices.
Da werden Sie gestoppt werden.	You will be stopped there.
Dies wird einer verfassungsrechtlichen Überprüfung auch nicht standhalten.	This could not stand up to constitutional scrutiny.
Ich hatte damals im Zusammenhang mit der OLAF-Gesetzgebung gesagt, da ist die Europäische Union insgesamt in einen regulatorischen Blutrausch geraten.	When we were debating the OLAF legislation, I said that the European Union as a whole had had a rush of regulatory blood to the head.
Ein ähnliches Phänomen haben wir hier wieder festzustellen.	We seem to have a similar phenomenon again here.
Ich bedauere im Übrigen außerordentlich, dass die Anwaltschaft in dieser Sache wenig Rückgrat gezeigt hat.	I also regard it as a matter for great regret that the legal profession has shown so little backbone on this issue.
