Herr Präsident! Die Zukunft der ehemaligen jugoslawischen Republik Serbien liegt in Europa.	Mr President, the future of the former Yugoslav republic of Serbia lies in Europe.
Das gilt für alle Republiken des ehemaligen Jugoslawien.	That applies to all the republics of the former Yugoslavia.
Wie für jeden potenziellen Kandidaten gibt es Voraussetzungen für den Beitritt zu dieser Wertegemeinschaft. Ich bin dem Berichterstatter deshalb nicht nur für seinen Bericht dankbar, sondern auch dafür, dass er in seiner Rede deutlich gemacht hat, welche die Konditionalitäten sind.	As is the case for every potential candidate, there are conditions that apply to accession to this community of values, and I would therefore like to thank the rapporteur not just for his report but also for making it clear in his speech what these conditions are.
Die uneingeschränkte Zusammenarbeit mit dem Internationalen Strafgerichtshof für das ehemalige Jugoslawien ist in der Tat eine Vorbedingung für die Unterzeichnung des Stabilisierungs- und Assoziierungsabkommens.	Unlimited cooperation with the International Criminal Tribunal for the Former Yugoslavia is indeed a precondition for the signing of the Stabilisation and Association Agreement.
Für mich ist es schwer erträglich, mir vorzustellen, dass Kriegsverbrecher wie Mladić und Karadžić noch über viele Sympathisanten, nicht nur in der Bevölkerung, sondern auch in Polizei, Militär und bei vielen Funktionsträgern in Serbien verfügen, also bei Personen, mit denen man bald über die Annäherung an die EU verhandeln soll.	I find it hard to stomach that war criminals such as Mladić and Karadžić still have so many sympathisers, not only among the general public but also among the police, the military and many public office-holders in Serbia: in other words, the very people with whom we will soon be negotiating Serbia's closer relations with the EU.
Vergangenheitsbewältigung ist keine formelle Voraussetzung für eine Annäherung an die EU, wäre aber eine Erleichterung für die Serben, ihre unmittelbaren Nachbarn und die EU insgesamt.	Dealing with the past is not a formal condition for closer relations with the EU, but it would help the Serbs, their immediate neighbours and the EU as a whole.
Auch die Kosovofrage ist formell separat zu betrachten. Aber ich halte die Politik der nationalistischen Verweigerung nicht für hilfreich.	The Kosovo issue, too, must be viewed separately in formal terms, but I find this nationalist stonewalling very unhelpful.
Ich halte es auch für falsch, sich ein russisches Veto im Sicherheitsrat durch großzügigen Verkauf von Schlüsselunternehmen an russische Unternehmen zu erkaufen.	I also think it is wrong to purchase a Russian veto in the Security Council with generous sell-offs of key companies to Russian firms.
Am Ende - so ist wohl das Kalkül in Belgrad - erwartet man von der EU Kompensation in Form des Stabilitäts- und Assoziierungsabkommens für Konzessionen, die man in der Kosovofrage gar nicht gemacht hat.	At the end of the process - according to Belgrade's calculations - the EU is expected to provide compensation, in the form of the Stabilisation and Association Agreement, for concessions which have not actually been made in the Kosovo issue.
Das wird sich nach dem 10. Dezember zeigen.	That will become apparent after 10 December.
Ich unterstütze daher ausdrücklich die Haltung des Kollegen Lagendijk.	I therefore fully support Mr Lagendijk's position.
Der Grad der Kooperation in der Kosovofrage ist für die Annäherung an die EU also entweder eher hilfreich oder eher hinderlich. Das sollte man in Belgrad zur Kenntnis nehmen.	The level of cooperation on the issue of Kosovo will thus be one of the factors which is either more helpful or more of a hindrance to Serbia's closer relations with the EU, and Belgrade should take note of that fact.
