Frau Präsidentin, Frau Kommissarin! Ich möchte kurz zu zwei Punkten etwas anmerken.	Madam President, Commissioner, I just want to comment briefly on two points.
Erstens zur Zusätzlichkeit, hier aber mehr aus der Sicht derjenigen, die sich zunehmend bemühen, von der kommunalen Ebene aus an Strukturfondsmittel zu gelangen.	The first is additionality, where I am speaking more from the point of view of those who are making increasing attempts to obtain structural fund resources at local level.
Wir haben ein Problem, das darin besteht, daß wir in der EU ja mehrere Prinzipien haben.	The problem is that we have several principles in the EU.
Eines der jüngsten sicher auch sinnvollen besteht ja darin, daß wir versuchen, die öffentliche Neuverschuldung abzubauen.	One of the most recent and no doubt most rational principles is the need to reduce further public indebtedness.
Seit Amsterdam ist mit dem Stabilitätspakt ziemlich dauerhaft und strikt festgelegt, daß das so bleibt.	Since Amsterdam, it has been decided to adhere to this principle on a fairly lasting and strict basis.
Eine Folge dieser Festlegung wird sein, und das zeichnet sich für die kommunalen Haushalte bereits ab, daß es besonders den kleinen Kommunen immer schwerer fällt, ihre Komplementärmittel für EU-Projekte aufzubringen, auch wenn selbstverständlich und natürlich nationale und regionale Mittel beigesteuert werden.	One effect of this, which is already becoming apparent at local budgetary level, is that small local authorities find it increasingly difficult to raise the complementary resources for EU projects, even if national and regional resources are of course contributed as a matter of course.
Wir müssen aufpassen, daß das für bestimmte Regionen nicht zu einer verhängnisvollen Tendenz wird.	We must ensure that this does not turn into a disastrous trend for certain regions.
Ich glaube, dem wir müssen rechtzeitig entgegensteuern.	I believe we must try to prevent that in time.
Zweitens möchte ich eine Anmerkung zum Partnerschaftsprinzip machen.	Secondly, I would like to make a comment on the principle of partnership.
Im weiteren Ausbau dieses Prinzips liegen in mehrfacher Hinsicht noch große Reserven.	We still have major reservations in many respects about extending this principle.
Ausdrücklich möchte ich an dieser Stelle der Kommission dafür danken, daß sie auf diesem Gebiet erhebliche Anstrengungen unternommen und auch Initiativen ergriffen hat.	Let me at this point specifically thank the Commission for making serious efforts and also taking serious initiatives in this area.
Wenn es noch Hindernisse gibt, dann bestehen diese zum größten Teil zwischen den Ebenen der nationalen Regierungen, der regionalen Verwaltungen, und häufig zwischen letzteren und den lokalen Behörden.	What obstacles still remain relate mainly to partnership between the national governments, the regional administrations and often between the latter and the local authorities.
Zum Beispiel haben wir bei uns in Thüringen, wenn ich das sagen darf, zahlreiche auf demokratische Art und Weise entwickelte regionale Entwicklungskonzepte, die immer noch zu wenig einbezogen werden in die Erarbeitung der Programmplanungsdokumente.	If I may say so, we in Thuringia, for instance, have a large number of regional development plans drawn up in a democratic manner which were not really taken into consideration when the programme planning documents were drawn up.
Ich möchte abschließend in diesem Zusammenhang auf eines hinweisen: Wer die entscheidenden Aufgaben der kommenden Jahre auf diesem Gebiet lösen will, muß dem Prinzip der Partnerschaft deutlich größere Aufmerksamkeit widmen, weil die Hauptaufgabe eigentlich darin besteht, weniger Mittel effizienter zu nutzen.	Let me conclude by making one point in this connection: anyone who wants to deal with the crucial tasks in this area in coming years will have to attach considerably more attention to the principle of partnership, because the main task is in fact to use fewer resources more efficiently.
