Herr Präsident! Man sollte dem Kommissar zuhören!	Mr President, you should listen to the Commissioner!
Sehr geehrter Herr Präsident, sehr geehrter Herr Kommissar, liebe Kolleginnen und Kollegen! Es besteht überhaupt kein Zweifel, dass die Bio- und Gentechnologie heute eine bedeutende Rolle spielt.	Mr President, Commissioner, ladies and gentlemen, there is no doubt whatsoever that biotechnology and genetic engineering are highly significant fields these days.
Sie wird in der Forschung und mit all ihren Anwendungen weiter an Bedeutung gewinnen.	They will continue to gain in importance in research, and in terms of their many applications.
Auch daran zweifelt niemand.	No one doubts that either.
Ist aber auch der Umgang mit diesem schwierigen Feld voller Hoffnungen und Ängste über jeden Zweifel erhaben?	But is this difficult field, with all the hopes and fears it brings, being handled in a manner that is beyond reproach?
Ich fürchte nein.	I suspect not.
Den besten Beweis für dieses Nein liefern wir mit der heutigen Debatte.	Today' s debate is positive proof of this suspicion.
Wir reagieren mit einem parlamentarischen Schnellschuss auf ein Gesetzesvorhaben in einem Mitgliedsland der Europäischen Union, das vor wenigen Tagen die Öffentlichkeit in Alarmstimmung versetzt hat.	As a Parliament, we are reacting too hastily to a legislative proposal in a Member State of the European Union, which caused consternation amongst the public a few days ago.
Und wie sieht diese Reaktion aus?	And what form has this reaction taken?
Ein einziger Blick in die vorliegenden Entschließungsentwürfe zeigt, dass dem Europäischen Parlament in der Eile nicht viel mehr bleibt, als seine bereits mehrfach ausgedrückte Haltung zu kritischen Bereichen der Forschung und der Anwendung der Bio- und Gentechnologie zu wiederholen.	A quick glance at draft resolutions on the table reveals that all Parliament has been able to do, in its haste, has been to reiterate its already frequently expressed stance on critical fields of research and the application of biotechnology and genetic engineering.
Das ist zwar richtig, aber nicht genug!	That is all very well, but it is not enough!
Wir müssen die Bio- und Gentechnik, vor allem aber die Bioethik, zu einem zentralen Thema des Europäischen Parlaments machen.	We must make biotechnology and genetic engineering, but above all bioethics, one of the European Parliament' s key concerns.
Mit dieser Forderung stehe ich nicht alleine. Meine Fraktion steht hinter mir.	I am not alone in calling for this; I have the backing of my group.
Die Bürgerinnen und Bürger verlangen in diesem Bereich mehr vorausschauendes Engagement von uns.	The people of Europe want to see more foresighted commitment from us in this area.
Wir dürfen den Ereignissen nicht länger hinterherhinken.	We cannot afford to be overtaken by events any longer.
Wir dürfen nicht länger mit heraushängender Zunge bereits fortgeschrittene Entwicklungen kommentieren.	We must no longer be in the position where - huffing and puffing to catch up - we find ourselves commenting on developments that are already at an advanced stage.
Das Europäische Parlament muss Wege weisen, damit sich die Bio- und Gentechnik zum Segen der Menschheit entwickelt und sich nicht durch Überschreitung ethischer Grenzen gegen sie wendet.	The European Parliament must point the way, so that biotechnology and genetic engineering develop for the benefit of mankind, rather than being to its detriment owing to the transgression of ethical boundaries.
Deshalb sollten wir mit großer Mehrheit den vorgeschlagenen Ausschuss beschließen, der das Fundament für eine vorausschauende Gesetzgebung liefert.	Therefore we should vote overwhelmingly to adopt the proposed committee, which will form the basis for far-sighted legislation.
Wir müssen uns bewusst sein, dass mit der Biotechnologie die vermutlich größte Revolution der Medizin und der Technik verbunden ist.	We must be aware that biotechnology is bound up with what is presumed to be the greatest revolution in medicine and technology.
Diese Revolution darf nicht von einer sorglosen Gesetzgebung begleitet sein.	This revolution must not be attended by irresponsibly conceived legislation.
Wir müssen den Rat der besten Experten einholen und für eine kohärente Gesetzgebung in den Staaten der Europäischen Union sorgen.	We must appoint the best experts to advise the Council and ensure that there is consistency in the legislation across the Member States.
Insbesondere die Fragen der Ethik und des Schutzes der Menschenwürde sind so wichtig, dass wir sie nicht einer zersplitterten, möglicherweise sogar widersprüchlichen einzelstaatlichen Gesetzgebung ausliefern dürfen.	The ethical issues and the need to protect human dignity, in particular, are so important that we cannot afford to leave them at the mercy of fragmented, possibly even contradictory pieces of legislation introduced by individual Member States.
Wir müssen dringend alle Fragen der Ethik in der Medizin, in der Technik und in den Wissenschaften aufarbeiten.	We must get to grips with all the ethical issues raised by medicine, technology and science, as a matter of urgency.
Deshalb muss der notwendige Ausschuss des Europäischen Parlaments seine Arbeit so schnell wie möglich aufnehmen.	The appropriate parliamentary committee must therefore get down to work as quickly as possible.
Unsere Abstimmung wird den Startschuss dazu geben.	Our vote will set this in train.
