Herr Präsident! Es freut mich, dass dieser Bericht heute vorgelegt wird.	Mr President, I am delighted that this report has been put before the House.
Gerade als Unternehmer möchte ich der Kommission gratulieren, dass sie mit diesen drei Bereichen exzellent herausgearbeitet hat, woran es in Europa fehlt.	Especially with my being an entrepreneur, I would like to congratulate the Commission on having brought out, to excellent effect, what is lacking in Europe.
Es geht ganz einfach darum, dass bei der Unternehmensgründung zu wenig Startkapital vorhanden ist und deshalb sehr viele Jungunternehmer frühzeitig wieder aufgeben müssen.	What it boils down to is that there is not enough start-up capital available for people who want to set up in business, and so numerous young entrepreneurs have to give up again prematurely.
Export stellt natürlich auch ein Risiko dar, und deshalb ist es gerade in der Anfangsphase besonders wichtig, dass Joint Ventures finanziell unterstützt werden.	Exports constitute a risk of course, and so it is particularly important for joint ventures to receive financial support in the early stages, more than at any other time.
Die Bürgschaft dient dazu, dass nicht jeder, der bereit ist, Unternehmer zu werden, damit automatisch seine Existenz gefährdet und zumindest finanziell für den Rest seines Lebens ruiniert werden kann.	The guarantee system serves to ensure that not everyone who is willing to become an entrepreneur automatically jeopardises his livelihood in the process and faces the risk of financial ruin, at the very least, for the rest of his life.
Wenn wir bedenken, dass in Europa ungefähr 7 Milliarden für Risikokapital zur Verfügung stehen und in Amerika 12 Milliarden, dann sollten wir uns Gedanken darüber machen, wie wir diesen Unterschied ausgleichen können.	When we consider that approximately EUR 7 billion is available in risk capital in Europe, whilst in America the figure stands at EUR 12 billion, then we ought to give thought to how we can make good the difference.
Was können wir insbesondere in Bezug auf die Landwirtschaft tun?	What steps can we take, particularly as regards agriculture?
Gerade das Wort BSE wäre hier ein Anreiz, darüber nachzudenken, welche Jungunternehmen wir gründen können, um die Sicherheit von Lebensmitteln besser zu gewährleisten, Bluttests durchzuführen, Therapien zu entwickeln usw. Hier besteht dringender Handlungsbedarf.	The very word BSE ought to inspire us to reflect on what kind of young enterprises we could establish in order better to guarantee food safety, carry out blood tests, develop treatments and so on. Urgent action is called for here.
Ferner möchte ich betonen, dass es für Jungunternehmer wichtig ist, möglichst schnell und verlässlich eine Zusage zu bekommen.	I would also like to stress that it is important for young entrepreneurs to be given a commitment they can rely on as speedily as possible.
Es sollten Fristen gesetzt werden, innerhalb derer mit einem klaren Ja oder Nein Stellung genommen wird, so dass kein unnötiges Risiko auftritt.	Deadlines should be set by which a decision must be given in the form of a clear 'yes' or 'no' , so as to avoid any unnecessary risk.
Auch die Anwendung der Richtlinie zur Bekämpfung von Zahlungsverzug ist wichtig, so dass man innerhalb einer gesetzten Frist auch wirklich das Geld in Händen hält.	It is also important to apply the directive on tackling default in payment, so that people actually get their hands on the money within a set period of time.
Hier wird meiner Ansicht nach noch zu stark gezögert.	There is still too much hesitancy on this score for my liking.
Die Kommission sollte ein Projektmanagement vorschlagen, "Best Practice "-Methoden entwickeln, Benchmarks einführen, anhand derer überprüft wird, wie viel Zeit vom ersten Antrag bis zur erfolgreichen Schaffung von Arbeitsplätzen vergeht, die Zahlungsströme verfolgen und letztlich das Ganze in der Öffentlichkeit verkaufen.	The Commission should submit proposals on project management, develop best practice methods, introduce benchmarks, on the basis of which it will be possible to examine how much time elapses between the first application and the successful creation of jobs. It also needs to monitor payment flows, and finally, promote the entire strategy in the public arena.
Im PR-Bereich wäre ein Preis "Jungunternehmer des Jahres " denkbar, mit dem der Unternehmer ausgezeichnet wird, der die meisten Arbeitsplätze absolut und in Prozentzahlen geschaffen hat.	When it comes to PR, one idea would be to have a 'young entrepreneur of the year' prize, awarded to the entrepreneur who has created the most jobs in absolute terms and in percentage figures.
Das würde auf europäischer Ebene und entsprechend auch in den Mitgliedstaaten beweisen, das wir die richtige Arbeit leisten.	This would demonstrate at European level, and correspondingly in the Member States, that we are going the right way about this.
