Herr Präsident! Ich möchte kurz auf die Fragen eingehen.	Mr President, I should like to address the issues briefly.
Zuerst das Thema USA-Gipfel.	Firstly, the issue of the US summit.
Ich beginne gleich mit diesem Thema, da es ja von einigen Rednern angesprochen wurde.	I will start with this issue as it has been mentioned by several speakers.
Sie haben völlig Recht, dass wir dem transatlantischen Dialog und den Ergebnissen große Aufmerksamkeit schenken müssen.	You are entirely right that we need to pay great attention to the transatlantic dialogue and its outcomes.
Wenn Amerika und Europa Hand in Hand arbeiten und nicht aufeinander zugehen, dann kann wirklich etwas bewegt werden.	If America and Europe work hand in hand rather than confronting each other, we can really get things moving.
Das muss jeder wissen.	We are surely all aware of that.
Und bei allen legitimen, kritischen Facetten, was das Verhalten der Amerikaner betrifft — und darüber darf man nicht augenzwinkernd hinweggehen: Die amerikanisch-europäische Freundschaft und Partnerschaft ist ein wichtiger Grundstein für die Zukunft.	Notwithstanding legitimate critiques of American behaviour – to which we should not turn a blind eye - the American-European friendship and partnership is, moreover, an important foundation stone for the future.
Das ist meine tiefe Überzeugung. Und ich will das auch hier aussprechen, auch wenn es nicht überall populär ist.	I am deeply convinced of this, and I want to express this conviction in this House, even if it may not be universally popular.
Daher werden wir z. B. bei diesem Gipfel einige ganz wichtige Meilensteine setzen.	We shall therefore lay several very important milestones at this summit.
Zunächst ein Abkommen, bei dem Amerika und Europa sich gegen die Produktpiraterie zur Wehr setzen mit ganz präzisen konkreten Aktionen.	Firstly, an agreement whereby Europe and America will take up arms against product piracy on the basis of very specific concrete actions.
Wir wollen in der Energiefrage zusammenarbeiten, wo uns übrigens die Amerikaner voraus sind.	We also want to collaborate on the energy question, this being an area in which the Americans are in fact ahead of us.
Bei der Forschung im Bereich erneuerbare Energieträger sind uns die Amerikaner weit voraus, da werden wir gemeinsam etwas bewegen, auch im Interesse der Ziele von Kyoto, des Klimaschutzes und vieles andere mehr.	In fact, when it comes to research into renewable energy carriers, the Americans are well ahead of us. Together we could get things moving, partly in the interests of the Kyoto objectives, climate protection and a lot more.
Auch die Außenpolitik ist natürlich wichtig.	Foreign policy is also important.
Nahost, Iran, Irak, Afghanistan, das sind alles ganz wichtige Themen, und es ist selbstverständlich, dass wir auch das Fernziel, etwa eine transatlantische Freihandelszone und einen Gesamtvertrag nicht aus den Augen verlieren.	The Near East, Iran, Iraq and Afghanistan all constitute important issues, and it goes without saying that we are not losing sight of long-term goals such as a transatlantic free-trade zone and an overall treaty.
Sie können sicher sein, dass das Thema Menschenrechte, Guantànamo und CIA-Überflüge natürlich zur Sprache kommt.	You can be sure that the issues of human rights, Guantánamo and CIA overflights will naturally be discussed.
Ich habe das auch persönlich schon bei meiner Vorsprache im Dezember in Washington gemacht.	I mentioned these matters personally during my visit to Washington in December.
Ich sage das auch deswegen, weil wir während der österreichischen Präsidentschaft — es ist wohl nicht so bekannt, dass auch Hans Winkler einer der Vorreiter gewesen ist und ich das mit Bush im Dezember vereinbart habe — einen Dialog auf der Ebene der Rechtsexperten — John Bellinger vom und jetzt das Völkerrechtsbüro in Österreich — begonnen haben, was konkret zu tun ist.	I also say this because, during the Austrian Presidency, we have begun a dialogue with legal experts - John Bellinger of the and, now, the Office of the Legal Advisor in Austria - on what is to be done in practical terms. It is a little-known fact that Hans Winkler was also one of the pioneers of this dialogue, and I agreed the proceedings with Mr Bush in December.
Denn dass es im internationalen Völkerrecht Lücken gibt, ist klar.	The fact that there are gaps in international law is obvious.
Diese Lücken werden übrigens in Amerika ganz intensiv diskutiert werden, bis hin zu den Entscheidungen der höchsten Gerichte.	These gaps are being discussed quite intensively in America, with decisions being made by the highest courts.
Gestern ist im österreichischen „Standard“ ein Interview mit John Bellinger publiziert worden, das aus meiner Sicht sehr interessant ist.	Yesterday’s Austrian ‘Standard’ published an interview with John Bellinger which I find very interesting.
Wir haben auch einige Elemente außer Streit stellen können — und ich hoffe, das bleibt auch morgen so —, die für mich ganz wichtig sind: Es darf keinen rechtsfreien Raum geben!	We have been able to eliminate some elements from the dispute that are of great importance to me, and I hope that tomorrow the situation will remain the same. There should be no part of the world in which human rights do not apply.
Es darf keine Folter, unter welcher Maßgabe auch immer, geben.	There must be no torture, whatever the standard by which this is measured.
Es darf keine Entführung von Menschen geben und kein Festhalten in oder oder wie immer diese schönen neusprachlichen Begriffe heißen.	There must be no abduction of persons and no detaining them in secret prisons or detention centres or whatever these might euphemistically be called.
