Herr Präsident, Herr Kommissar, meine sehr verehrten Damen und Herren!	Mr President, Commissioner, ladies and gentlemen.
Mit großer Freude nehmen wir zur Kenntnis, dass die Bevölkerung in Jugoslawien vor allem in Belgrad, aber auch in anderen Städten ihr Schicksal in die eigenen Hände nehmen konnte und das getan hat.	We are delighted to hear that the people of Yugoslavia, mainly in Belgrade but also in other towns, have known how to take their fate into their own hands and have done so.
Dennoch mischt sich auch ein bisschen Angst darunter, nämlich Angst, dass es zu einem Blutvergießen kommen könnte, dass nicht alle die Stimme, die Macht und die Kraft des Volkes akzeptieren wollen und können.	However, our delight is tainted with fear that there may be bloodshed, that not everyone wants to and can accept the voice, power and strength of the people.
Deshalb muss alles unternommen werden, um ein Blutvergießen zu verhindern, denn ein Bürgerkrieg in Jugoslawien oder Serbien wäre eine wirkliche Katastrophe!	Everything must therefore be done to prevent bloodshed, because a civil war in Yugoslavia or Serbia would be a veritable disaster.
Herr Dupuis, Sie haben diese wirklich historische Stunde hier zu politischer Demagogie missbraucht.	Mr Dupuis, you have abused this truly historic moment here in order to engage in political demagogy.
Aber ich sage Ihnen ganz klar folgendes: Meine Fraktion und ich sind eindeutig dafür, dass Milosevic vor den Den Haager Gerichtshof kommt, dass er seine Gerechtigkeit findet.	I have only one thing to say to you: my group and I are unequivocally in favour of bringing Milosevic to justice before the court in the Hague.
Das war immer schon unser Ziel, aber wir haben noch ein höheres Ziel, nämlich ein Blutvergießen zu vermeiden, und wir werden alles daran setzen, dass dieses Blutvergießen vermieden wird.	That has always been our objective; but we have a still higher objective, which is to avoid bloodshed and we shall do everything we can so that bloodshed is avoided.
Kommission und Rat werden das Ihre tun, und das ist das Wichtigste, was derzeit in Jugoslawien auf der Tagesordnung steht; das war immer unser Interesse.	The Commission and the Council will do their part and that is what is currently at the top of the agenda in Yugoslavia and that is what we have been interested in all along.
Wir werden die serbische Bevölkerung nicht unseren hehren und moralischen Zielsetzungen opfern, denn das würde bedeuten, dass vielleicht Tausende Menschen in Serbien und Jugoslawien deswegen sterben könnten.	We shall not sacrifice the Serbian people to our noble and moral objectives, because that would mean that perhaps thousands of people in Serbia and Yugoslavia might die for them.
Zweitens: Wir sind in einer sehr schwierigen Situation und hoffen auch deshalb, dass es rasch zu einer Änderung in Jugoslawien und Serbien kommt, weil die Situation weder in Montenegro noch im Kosovo einfach ist.	Secondly, we are in a very delicate position and, therefore, we too trust that there will be fast changes in Yugoslavia and Serbia, because the situation is not easy in either Montenegro or Kosovo.
Auch hier möchte ich klar sagen: Wir haben sowohl im Kosovo als auch in Montenegro die Bemühungen unterstützt, mit denen sich die Bevölkerung gegen die brutale Gewalt gewehrt hat, die von Milosevic ausgegangen ist, aber wir vertreten auf keinen Fall das Konzept von ethnisch-reinen Staaten.	Here, too, I have one thing to say: we have supported the efforts with which the people have defended themselves against the brutal force emanating from Milosevic in both Kosovo and Montenegro, but under no circumstances do we support the concept of ethnically clean states.
Der Kosovo muss auf alle Fälle unabhängig sein, und Montenegro muss auf alle Fälle unabhängig sein, nur damit Serbien auf jeden Fall geschwächt ist.	Kosovo must be independent come what may and Montenegro must be independent come what may, just to ensure that Serbia is weakened.
Wir haben nach wie vor das Ziel - ich bekenne mich dazu -, dass es ein neues Jugoslawien gibt, ein Jugoslawien mit autonomen Staaten, Kosovo und Montenegro, aber es darf nicht zu einem neuen Auseinanderfallen, einem neuen Streit, einer neuen Auseinandersetzung, einer neuen Gewalt kommen, das ist nicht unser Ziel, sondern ein neues Jugoslawien muss her, ein demokratisches Jugoslawien, wo freiwillig die Völker bleiben, nicht unter Zwang, nicht unter Brutalität, sondern weil sie überzeugt sind, dass hier eine Föderation entstehen kann, die eine demokratische Zukunft hat, eine demokratische Zukunft unter anderen Führern und unter Ablösung von Milosevic und - wann immer es geht - dadurch, dass Milosevic vor das Den Haager Tribunal gestellt wird, denn wir wollen Gerechtigkeit, aber Gerechtigkeit mit Frieden.	Our objective is still - and I admit it - for there to be a new Yugoslavia, a Yugoslavia with an independent state of Kosovo and an independent state of Montenegro; it is not for there to be new divisions, renewed conflict, renewed clashes or renewed force, that is not our objective; on the contrary, a new Yugoslavia needs to emerge, a democratic Yugoslavia, where people stay willingly, not under duress, not under brutality, but because they are convinced that a federation can emerge which has a democratic future, a democratic future under different leaders and from which Milosevic can be removed - if possible - by bringing him before the court in the Hague, because we want justice, but we want justice with peace.
