Herr Präsident! Die Textilindustrie ist sehr lohn- und arbeitsintensiv.	Mr President, the textile industry is highly wage- and labour-intensive.
Sie ist durch mittelständische Unternehmen geprägt, und sie hat in den letzten dreißig Jahren in Europa einen vielfältigen Strukturwandel erfolgreich durchlaufen.	It consists mainly of small and medium-sized firms and has successfully gone through a great deal of structural change in Europe in the last 30 years.
Es ist ja nicht so, dass wir am Anfang stehen.	We are not at the beginning.
Nur trifft dieser Schock, der jetzt durch die dramatische Steigerung der Importe aus China ausgelöst wurde, nicht nur die Unternehmen in der Europäischen Union, sondern betroffen sind in erster Linie einige der ärmsten Länder der Welt, wie zum Beispiel Bangladesch.	The crisis that has now been triggered by the dramatic rise in imports from China is not, however, affecting companies in the European Union alone; it is those in some of the world’s poorest countries, Bangladesh for example, that are primarily affected.
Die leiden am meisten darunter.	They are the ones that are suffering the most.
Das gilt auch für die Türkei, unseren Zollunionspartner.	So is our customs union partner Turkey.
Es wäre völlig falsch, jetzt in der Europäischen Union nur einseitig auf neue Subventionen zu pochen.	It would be completely wrong for the European Union now to insist unilaterally on new subsidies.
Notwendig ist – der Herr Kommissar hat das richtig gesagt –, auf Innovationen, auf leistungsfähige Produktionen zu setzen.	As the Commissioner rightly said, we need to concentrate on innovation, on efficient methods of production.
Natürlich hat die Kommission international die Aufgabe, die Standards durchzusetzen und dazu beizutragen, dass gleiche Wettbewerbsbedingungen herrschen.	On the international stage, of course, the Commission must enforce standards and try to ensure that fair conditions for competition prevail.
Ich kann mich den Lobeshymnen leider nicht anschließen, dass die Kommission im Jahre 2005 das alles richtig gemacht habe.	Unfortunately, I am unable to join in the eulogies that say the Commission got everything right in 2005.
Sie hat zu lange gewartet.	It waited too long.
Die hochrangige Expertengruppe hat uns dauernd vertröstet.	The high-level group constantly put us off.
Sie hat dann nur halb reagiert, hat nicht gewusst, dass Importe anstanden, die in den Häfen lag.	Then it gave only half a response, did not know that imports were piling up in the ports.
Das Lob für die Kommission hält sich also sehr in Grenzen.	The praise for the Commission is therefore very muted.
Aber ich möchte auch klarstellen, dass die Frage, die wir heute diskutieren, zwei Seiten hat.	I would also like to make clear, however, that there are two sides to the question we are debating today.
Es geht nämlich auch um die Verbraucherpreise.	Consumer prices are also involved.
Es ist nicht von der Hand zu weisen, dass unsere Verbraucher in der Europäischen Union froh sind, dass sie Textilien zu Niedrigpreisen kaufen können.	We cannot ignore the fact that our consumers in the European Union like being able to buy low-price textiles.
Die beiden größten europäischen Konzerne, H[amp]M und Zara, erfreuen sich einer ungeheuer großen Beliebtheit bei den Verbrauchern.	Europe’s two largest groups, H[amp]M and Zara, are proving tremendously popular with consumers.
Auch das hängt damit zusammen, dass die internationale Arbeitsteilung in einem so arbeitsintensiven Bereich nicht gestoppt werden kann.	This, too, is connected with the fact that the international division of labour cannot be stopped in such a labour-intensive sector.
Sie kann aber von der Kommission mit vernünftigen Rahmenbedingungen insbesondere in diesem Jahr besser begleitet werden als in der Vergangenheit.	The Commission can however, especially this year, provide a better and more sensible environment for it than in the past.
Es ist meine Aufforderung an den Kommissar, früher und entschiedener zu reagieren, auf faire Bedingungen zu achten und nicht neue Subventionsprogramme erfinden.	I call on the Commissioner to act sooner and more decisively, not to devise new programmes of subsidies but to ensure that conditions are fair.
