Frau Präsidentin, Frau Kommissarin!	.
Die britische Ratspräsidentschaft hat vorhin sehr staatsmännisch zu den Anforderungen der Außenpolitik gesprochen und auch mit einigen virtuellen Zahlen operiert. Aber das, was wir heute leider als Kompromiss, als Verhandlungsergebnis zu diskutieren haben – da kann ich mich nahtlos dem anschließen, was der Kollege Garriga Polledo als Berichterstatter zum Berichtigungshaushalt bereits ausgeführt hat – ist eigentlich ein Widerspruch zu dieser staatsmännischen Formulierung und steht auch im Widerspruch zu dem, was beispielsweise der Rat in seinen Schlussfolgerungen vom 7. Januar 2005 als Reaktion auf diese große Katastrophe in Aussicht gestellt hat.	Madam President, Commissioner, we heard earlier some very statesmanlike things from the British Presidency of the Council about the demands of foreign policy, accompanied by some calculations with virtual figures, but, as regards the compromise that has emerged from negotiations and that we unfortunately have to discuss today, I agree entirely with what was said by Mr Garriga Polledo in his capacity as rapporteur on the amending budget, namely that it does in fact stand in contradiction not only to these statesmanlike utterances but also, for example, to the response to this great catastrophe heralded by the Council conclusions of 7 January this year.
Insofern ist das, was wir hier leider zu diskutieren haben, ein wundersames Beispiel für die Glaubwürdigkeit, für das manchmal stattfindende Geschachere und für die fragwürdigen Zeitabläufe, mit denen die europäischen Institutionen offenkundig manchmal nur in der Lage sind, auf notwendige, aktuelle Herausforderungen zu reagieren.	It follows that what we unfortunately have to discuss is a marvellous example of the credibility, of the occasional haggling and of the questionable timescales, all of which evidently exemplify the only response to inevitable and current challenges that the European institutions can sometimes manage.
Daraus sollten wir bei den Verhandlungen über den künftigen Haushaltsrahmen ab 2007 und auch im Hinblick auf die notwendigen künftigen Instrumente endlich gemeinsam unsere Lehren ziehen.	This should be a lesson for all of us as we prepare for the negotiations on the post-2007 budget framework and on the instruments that will be needed in future.
Die Kommission hat zu Beginn einen Vorschlag vorgelegt, der vorsah, dass beispielsweise auch das Flexibilitätsinstrument in der Größenordnung von 98 Millionen genutzt werden sollte.	At the outset, the Commission came up with a proposal that envisaged such measures as the use of the flexibility instrument to the tune of EUR 98 million.
Herausgekommen sind 15 Millionen von den insgesamt 170 Millionen aus diesem Berichtigungshaushalt. Gleichzeitig sollen 13 Millionen, die wir noch nicht gefunden haben, im Laufe der nächsten Monate aufgetrieben werden.	From a total of EUR 170 million, EUR 15 million have emerged in this amending budget, while the EUR 13 million that we have not yet come up with are to be found from somewhere over the coming months.
Ebenfalls zu beachten ist, dass entsprechende Umschichtungen aus Haushaltslinien vorgenommen werden, die bereits für eben diese Region gedacht waren.	It is also worthy of note that funds have been reallocated from budget lines that were already intended for this region.
Da müssen sich die britische Ratspräsidentschaft und der Rat schon fragen lassen, wie das alles in Übereinstimmung mit den großen Millenniumszielen steht, zu denen sie sich in ihren Erklärungen ja immer wieder verpflichtet haben.	The Council, and its British Presidency, cannot escape questions as to how all this can be in line with the great Millennium Goals, to which they, in their statements, have repeatedly affirmed their commitment.
Ich will noch einmal in Erinnerung rufen, dass es sich nach unserer Lesart nicht unbedingt so verhält, dass der Rat wie das Kaninchen auf die Schlange geschaut und gesagt hat: Mehr als 15 Millionen können wir nicht zuweisen, da wir sonst das Flexibilitätsinstrument des Jahres 2005 mit 200 Millionen bereits verwendet hätten.	Let me remind you that, as we read the situation, the Council does not exactly appear to have simply goggled like a rabbit confronted with a snake and said: ‘No, we cannot give more than 15 million, or else we will have used up the 200 million in the flexibility instrument for 2005.’
Bei Inanspruchnahme der N+2-Regel wären dafür durchaus noch Margen verfügbar.	If the N+2 rule had been applied, there would have been plenty of margin available.
In diesem Zusammenhang muss auch noch einmal darauf hingewiesen werden, dass es das Europäische Parlament war, das bei den Nachverhandlungen dessen, was die Staats- und Regierungschefs 1999 mit der Agenda 2000 beschlossen haben, von Anfang an gesagt hat, dass die Kategorie IV chronisch unterfinanziert ist, ebenso wie die Außen- und Sicherheitspolitik sowie die Nachbarschaftspolitik auf der Grundlage des Luxemburger Kompromissvorschlags für die neue Finanzielle Vorausschau chronisch unterfinanziert sein dürften.	While I am on this subject, the point has to be made that it was the European Parliament that said, from the very outset of the negotiations following the Heads of State or Government’s adoption, in 1999, of Agenda 2000, that Category IV was chronically underfunded, in the same way that foreign and security policy and the neighbourhood policy were likely to be chronically underfunded if the Luxembourg compromise for the new Financial Perspective were adopted.
Wir haben darauf gedrängt und in Teilen erfolgreich darüber verhandelt, ein Flexibilitätsinstrument für den Fall der Fälle vorzusehen.	With the worst-case scenario in mind, we insisted on the provision of a flexibility instrument and were partly successful in negotiating one.
Die Entwicklung hat uns Recht gegeben: Eigentlich jedes Jahr musste dieses Flexibilitätsinstrument wegen unvorhergesehener Maßnahmen in Anspruch genommen werden. Ich will deswegen ausdrücklich sagen, dass wir aufgrund der beschämenden Situation, in der wir uns, was Zeit und die Finanzmittel angeht, befinden, notgedrungen diesem Kompromiss zustimmen.	Events have proved us right, for the fact is that unforeseen measures have made it necessary for this flexibility instrument to be resorted to every year, so what I want to say is that the embarrassing situation in which we find ourselves as regards time and resources obliges us to agree to this compromise.
Ich möchte diese Debatte dazu nutzen, um noch einmal darauf hinzuweisen, dass wir – auch im Zuge der Verhandlungen über die nachfolgende Finanzielle Vorausschau und die damit in Verbindung stehenden Instrumente – alles daran setzen werden, um mehr Flexibilität und mehr Beweglichkeit zu erreichen.	I would like to make use of this debate to reiterate that we, not least in the course of negotiations on the next Financial Perspective and the instruments associated with it, will do everything possible to introduce greater flexibility and more room for manoeuvre.
Ich will ausdrücklich noch einmal das wiedergeben, was das Plenum in dem entsprechenden Bericht gesagt hat, dass nämlich die Bildung von Reserven für Notsituationen als nicht verhandelbarer Teil der Parlamentsposition zu betrachten sein wird.	Let me repeat what the plenary said in the relevant report, namely that Parliament will regard that aspect of its position which refers to the creation of reserves for emergency situations as non-negotiable.
Sie kennen die entsprechenden Zahlen und Ziffern, die wir dazu genannt haben.	You will be familiar with the figures that we quoted on that occasion.
Manchmal hat man den Eindruck, dass die Kommission und insbesondere der Rat am liebsten gar nicht über Zahlen verhandeln möchten.	We sometimes get the impression that the Commission, and particularly the Council, would rather not negotiate about figures at all.
Am Ende des Tages werden wir uns aber doch über Zahlen verständigen und einen Weg finden müssen, um solche Reaktionen in Zukunft schneller, zügiger und glaubwürdiger als in diesem Verfahren vonstatten gehen zu lassen.	At the end of the day, though, we will have to come to an agreement on them and find a way in future to deliver responses of this kind faster, more promptly, and with greater credibility than we have done in these proceedings.
