– Frau Kommissarin, Herr Präsident! Viel Nebel liegt über dem Nordatlantik in dieser Frage.	– Commissioner, Mr President, this issue is obscured by a great deal of North Atlantic fog.
Wenn man sich bei den Nachrichtendiensten erkundigt, wie denn nun der Sachstand ist, dann gibt es da eine ganze Menge Fragen.	If you ask the intelligence services about the current state of play, a whole load of questions are raised.
Ich bin zunächst – im Gegensatz zu Ihnen, Frau Kommissarin – nicht grundsätzlich dagegen, dass sich europäische Werften, die sich in einer großen Krise befinden, darauf spezialisieren, in der ganzen Welt die zwei- oder drei- oder fünftausend Schiffe abzuwracken und dies unter sehr hohen Umweltauflagen dann durchzuführen, ganz im Gegensatz zu dem, was wir im Moment leider in Indien sehen, wo auf übelste Art und Weise Umweltdumping betrieben wird und die Gesundheit der Menschen in einem hohen Maße gefährdet wird.	Let me say at the outset that – unlike you, Commissioner – I am not fundamentally opposed to European shipyards, which are undergoing a major crisis, specialising in scrapping thousands of ships from throughout the world, and doing so under strict environmental constraints, a situation utterly different from that which currently – and lamentably – prevails in India, where the worst conceivable environmental dumping is going on and endangering people’s health to a substantial degree.
Das wollen wir ganz sicher nicht.	We certainly do not want that.
Deswegen haben wir natürlich auch eine Menge Fragen an die britische Regierung, aber da sie leider nicht hier ist, benutze ich Sie als mein Sprachrohr und stelle die Frage: Sind es wirklich Kriegsschiffe?	It naturally follows that we have a lot of questions to put to the British government, but, in its absence, I will use you as my mouthpiece and ask whether these are actually warships.
Ich frage das, weil ich da sehr unterschiedliche Informationen habe.	The reason I ask this is that I have had widely divergent information.
Nach meinen Informationen dürfen Kriegsschiffe nur in den Vereinigten Staaten abgewrackt werden.	I am given to understand that warships can be scrapped only in the United States.
Oder sind es Marineschiffe, die zu Handels- und Transportzwecken benutzt wurden?	Or are they vessels used for transport and commercial purposes?
Wie war der Handelsstrom?	How was the transaction conducted?
Ging es von Regierung zu Regierung, oder lief es über internationale Händler?	Did one government deal directly with the other, or were international middlemen involved?
Die Frage ist: Warum wird das nicht in den Vereinigten Staaten gemacht?	What we need to know is why the work was not done in the United States.
Natürlich gibt es Kosten bei dem Überführen über den Nordatlantik, und die Risiken sind enorm.	Moving ships across the North Atlantic costs money, of course, and there are enormous risks involved.
Steckt da eventuell die Kalkulation dahinter, dass das ein oder andere Boot absäuft?	Was it factored in to the calculations that one or other ship might sink?
Eine Katastrophe, über die man sich gar nicht unterhalten mag.	That would have been a catastrophe of the sort that one would rather not talk about.
Die zweite Frage ist, ohne dass ich jemand zu nahe treten möchte: Gibt es in dem entsprechenden Ankunftsland die notwendigen Infrastrukturen?	Without wishing to tread on anyone’s toes, my second question is whether the country for which the ships were destined possesses the necessary infrastructures.
Gibt es die Infrastrukturen, ein Schiff auf Trockendock zu setzen usw., Fragen, Frau Kommissarin, die Sie beantworten sollten und um die Sie sich kümmern sollten, wie Sie das aber auch gerade angedeutet haben.	Does it have the infrastructures for putting a ship in dry dock, and so on? These, Commissioner, are questions for you to answer; questions that you, as you have just mentioned, should concern yourself with.
Ist das Ganze mit dem Baseler Übereinkommen vereinbar?	Is all this in accordance with the Basel Convention on the Export of Waste?
Wir wissen natürlich, dass die Amerikaner das Baseler Übereinkommen über den Export von Abfällen nicht unterzeichnet haben.	We know, of course, that the Americans did not sign it.
Diese Fragen müssen alle ernsthaft geprüft werden, und dann kann man zu einem Ergebnis kommen. Unter dem Strich möchte ich aber uns Europäern nicht den Weg verbauen, solche Umweltdienstleistungen auf einem sehr hohen Niveau anbieten zu können.	These questions all call for serious scrutiny before we can come to a conclusion, but, all things considered, I would not want to exclude the possibility of Europeans offering such services to a very high environmental standard.
Ob das Schiff über den Atlantik geschleppt wird oder nicht, ob das möglich ist oder nicht, das müssen Sachverständige überprüfen.	Whether or not a ship is towed across the Atlantic, whether or not it is possible to do that – these are questions to be considered by the experts.
Wir sollten an dieses Thema sehr kritisch, aber durchaus auch im Sinne eines Industriekontinents herangehen, und wenn das Ganze dann auch noch mit anderen Dingen vermischt wird, dürfen wir das natürlich nicht akzeptieren.	Our approach to this topic should be highly critical, but very much in our interests as an industrialised continent, and we cannot of course accept it being confused with other matters.
Das war, Herr Präsident, „durch die Blume“ gesprochen, und ich hoffe, dass die Dolmetscher verstehen, was ich damit meine.	All this I have said in order to drop a hint, and I hope that the interpreters understand what I mean by that.
