, Verfasserin der Stellungnahme des mitberatenden Haushaltskontrollausschusses. Herr Präsident!	, draftsman of the opinion of the Committee on Budgetary Control.
Meine Damen und Herren! Die Kommission schlägt eine wesentliche Änderung der Richtlinie, die Geldwäsche vorbeugen soll, vor.	Mr President, ladies and gentlemen, the Commission is proposing a fundamental amendment to the directive on preventing money laundering.
Seitdem die Richtlinie 1991 verabschiedet wurde, hat sich einiges in ihrem Umfeld geändert.	Since the 1991 directive was adopted many external factors have changed.
Erstens hat man Erfahrungen mit der bestehenden Richtlinie gemacht, zweitens muß man die Änderungen in den Verträgen beachten.	Firstly, we have had experience with the existing directive and secondly, we need to take account of the changes in the Treaties.
Mit dem wachsenden Bewußtsein, daß Geld Hauptziel und Motor des organisierten Verbrechens ist, sind auch entsprechende Maßnahmen zu ergreifen, die den Gewinn des organisierten Verbrechens treffen.	Given the growing awareness that money is the main objective and driving force behind organised crime, appropriate measures also need to be taken which target the profits from organised crime.
Auch die Finanzen der Gemeinschaft werden Opfer des organisierten Verbrechens, wie die Berichte über Betrugsbekämpfung der Kommission erkennen lassen.	The financial interests of the Community also fall victim to organised crime, as the reports about combating fraud in the Commission show.
Dies geht zu Lasten des Haushalts der Europäischen Gemeinschaften.	This is to the detriment of the budget of the European Communities.
Die Mitgliedstaaten schützen ihre Finanzen nach ihren Gesetzen, aber die Gemeinschaften verfügen nicht über Polizei und Justizbehörden, um Betrüger vor den Richter zu bringen, um die verlorengegangenen Geldmittel zurückzuholen und Strafen zu verhängen.	The Member States protect their financial interests in accordance with their laws, but the Communities do not have a police force or judicial authorities with which to bring defrauders before a judge so as to recover the lost money and impose punishments.
Daher muß der Haushalt der Gemeinschaften durch Richtlinien, Verordnungen und andere Maßnahmen geschützt werden.	That is why the Community budget needs to be protected by means of directives, regulations and other measures.
Artikel 280 des EG-Vertrages sagt deutlich: Die Gemeinschaften und die Mitgliedstaaten bekämpfen Betrügereien und sonstige gegen die finanziellen Interessen der Gemeinschaft gerichtete rechtswidrige Handlungen mit Maßnahmen nach diesem Artikel, die abschreckend sind und einen effektiven Schutz bewirken.	Article 280 of the EC Treaty clearly states that, "The Community and the Member States shall counter fraud and any other illegal activities affecting the financial interests of the Community through measures to be taken in accordance with this Article, which shall act as a deterrent and be such as to afford effective protection..." .
Der Vorschlag der Kommission ist in engem Zusammenhang mit diesem Artikel des Vertrages zu sehen.	The Commission proposal should be seen in close connection with this article of the Treaty.
Auch die Kriminalität, die dem Haushalt der Gemeinschaften schadet, ist meistens organisierte Kriminalität.	Most of the crime which harms the Community budget is also organised crime. The rapporteur is right there.
Da hat der Berichterstatter recht.	But there are also exceptions.
Es gibt aber auch Ausnahmen, und zudem geht es nicht immer um international organisierte Kriminalität, und da wäre der Ausschuß für Haushaltskontrolle lieber dem Vorschlag der Kommission gefolgt.	Furthermore it is not always international organised crime, and here the Committee on Budgetary Control would have preferred the Commission proposal.
Wir sehen aber die Abgrenzungsprobleme und sind bereit, mit nur einem Verweis auf Artikel 280 des Vertrages dem Berichterstatter zu folgen.	However, we do recognise the delimitation problems and, if there is simply a reference to Article 280 of the Treaty, we are prepared to go along with the rapporteur.
Im übrigen sind wir der Meinung, daß es bei der Geldwäsche-Richtlinie erstens um Vorbeugen und Abschrecken und zweitens um das Sammeln von Beweisen geht.	Incidentally, we believe that the money laundering directive is firstly about prevention and providing a deterrent and secondly about gathering evidence.
Die Mitgliedstaaten müssen für sich selbst und die Union über eine Rechtsgrundlage verfügen.	The Member States need to have a legal base for their own and the Union' s sakes.
Alle Beweise sind zu nutzen, die geeignet sind, um Betrügereien und sonstige rechtswidrige Handlungen zu Lasten des EU-Haushalts zu ahnden.	All appropriate evidence ought to be used to punish fraud and other illegal activities which are to the detriment of the EU budget.
Es wäre sicherlich im Sinne der Schlußfolgerungen des Vorsitzes des Europäischen Rates vom Oktober 1999, so zu verfahren.	It would certainly be in line with the Presidency Conclusions of the October 1999 European Council to proceed in this way.
Ich danke dem Berichterstatter, Herrn Lehne, für die Zusammenarbeit, die wir geübt haben.	I should like to thank the rapporteur, Mr Lehne, for the cooperation which we have enjoyed.
