amtierender Ratspräsident.	President-in-Office of the Council.
Herr Präsident, liebe Frau Ferrero-Waldner, liebe Kolleginnen und Kollegen! Ich möchte mich ausdrücklich bei der Berichterstatterin bedanken.	Mr President, Mrs Ferrero-Waldner, ladies and gentlemen, let me express my sincere thanks to the rapporteur.
Wir haben die Empfehlungen ausgewertet und stimmen mit der Bewertung und natürlich auch mit den Schlussfolgerungen des Parlaments über das MEDA-Programm weitgehend überein.	We have analysed the recommendations and largely agree with Parliament's assessment of the MEDA programme and, of course, with its conclusions.
Es wurde ja festgestellt, dass die durch das MEDA-Programm geleistete Unterstützung zweckdienlich war und einen wichtigen Beitrag zur Verwirklichung der MEDA-Ziele darstellte.	The report concludes that the support provided by the MEDA programme served its intended purpose and rendered an important contribution to the achievement of the MEDA objectives.
Zudem wurde anerkannt, dass die Hilfe den Entwicklungsplänen und dem Bedarf der Empfängerländer entsprach.	It also recognises that the aid was consistent with the development plans and needs of the recipient countries.
Ich möchte das hier ganz ausdrücklich feststellen, weil ich mich noch an gewisse Diskussionen erinnere.	I want to be quite emphatic about that, because I still recall certain discussions.
Der Rat würdigt die Bemühungen der Kommission, die zu spürbaren Verbesserungen in Bezug auf die Geschwindigkeit und die Effizienz der Planung im Rahmen von MEDA II geführt haben.	The Council acknowledges the Commission's efforts, which have led to perceptible improvements in the speed and efficiency of planning within the MEDA II framework.
Inzwischen ist das MEDA-Programm abgeschlossen und ab dem 1. Januar 2007 ist der Übergang zum Europäischen Nachbarschafts- und Partnerschaftsinstrument vollzogen.	The MEDA programme has now been completed, and the first of January 2007 marked the switch to the European Neighbourhood and Partnership Instrument.
Mit dem Nachbarschafts- und Partnerschaftsinstrument wurde ein maßgeschneidertes Instrument für die Umsetzung der Europäischen Nachbarschaftspolitik geschaffen.	The ENPI is a tailor-made instrument for the implementation of the European neighbourhood policy.
Der Forderung des Europäischen Parlaments, die Zusammenarbeit zwischen den Partnerländern im Mittelmeerraum auszubauen, trägt das Regionalprogramm Süd Rechnung, das bis 2010 mit 343,3 Mio. € dotiert ist.	The European Parliament has called for the development of cooperation among Europe's partner countries in the Mediterranean region, and this is being done through the ENPI Southern regional programme, to which EUR 343.3 million is being allocated by 2010.
Wir teilen Ihre Ansicht, dass die Weiterverfolgung aller Ziele des Barcelona-Prozesses für die gesamte Region von entscheidender Bedeutung ist.	We share your view that the continued pursuit of the Barcelona process is of vital importance to the whole region.
Dass es uns trotz der Spannungen in der Region gelungen ist, miteinander sachliche Themen anzugehen und weiter auszubauen, zeigt, dass der Barcelona-Prozess, der euro-mediterrane Dialog in der Tat noch immer der geeignete Rahmen ist, Veränderungen im Mittelmeerraum zu erreichen.	The fact that we have managed, in spite of the tensions in the region, to address substantive issues and make further progress together shows that the Barcelona process, our Euro-Mediterranean dialogue, is still the right framework for the pursuit of change in the Mediterranean region.
