Herr Ratspräsident, ich nehme nur zu einem Aspekt Stellung, zur Steuerharmonisierung.	Mr President-in-Office, I want to comment on just one aspect: the harmonization of taxation.
Die extrem unterschiedliche Steuergesetzgebung in Europa führt zu erheblichen Wettbewerbsverzerrungen und zu arbeitsplatzvernichtenden Folgen.	The extreme differences in tax legislation within Europe result in substantial distortions of competition and, in due course, the destruction of jobs.
Ganze Firmenzentralen und viele unternehmerische Entscheidungen werden heute nicht nach wirtschaftlichen Aspekten, sondern praktisch nach steuerlichen Aspekten, also aus betriebsfremden Motiven, getroffen.	The location of company headquarters and of many other business decisions today are determined not by economic aspects but, in practice, by fiscal aspects - by reasons unrelated to operational issues.
Hier müssen Sie - und ich appelliere heute vor dem Europäischen Parlament an Sie - Vorschläge machen, wie Sie es angedeutet haben.	This is an area in which - and I appeal to you today before the European Parliament - you must make proposals, as you have suggested you will.
Wenn schon keine Harmonisierung im ersten Schritt möglich ist, so können wenigstens Schritte zur Annäherung realistisch angestrebt werden.	If no harmonization can be achieved during the first stage, at least realistic steps towards it can be attempted.
Ich weiß, gerade meine Regierung sagt bisher, die Einstimmigkeit bei der Steuergesetzgebung sei so wichtig.	I know that my own government has said in the past that unanimity is so important in tax legislation.
Ich mache Ihnen heute das Angebot, daß wir für die Bandbreiten und für die Bemessungsgrundlage der Steuern das Einstimmigkeitsprinzip abschaffen sollten.	I will make you an offer today: let us do away with the unanimity principle for tax bands and for the tax assessment base.
Wir sollten also bereit sein, für diese Aspekte auch ohne Einstimmigkeit mit Mehrheit zu entscheiden, denn sonst kommen wir diesem Problem der Steuerharmonisierung nicht näher.	We should, in other words, be willing to take majority decisions on these aspects, without unanimity, because otherwise we will come no closer to solving this problem of tax harmonization.
Deswegen bin ich Ihnen so dankbar, daß Sie dies in Ihrer Rede angesprochen haben.	That is why I am so grateful to you for mentioning this matter in your speech.
Wir erwarten, daß Sie auf dem Gebiet der Steuerharmonisierung wegen unserer Bürger und wegen des Wettbewerbs im globalen Weltmarkt mit den Amerikanern und den Asiaten wirklich Schritte in Richtung Harmonisierung einleiten und mit Unterstützung des Europäischen Parlaments vornehmen.	We look forward to seeing you taking genuine steps towards harmonization in the field of taxation, for the sake of our citizens and in the interests of competition in the global world market with the Americans and the Asians, and you will do so with the support of the European Parliament.
Im übrigen bitte ich, im Protokoll festzuhalten, daß ich meine Redezeit nicht ausgeschöpft habe.	I would also ask that the Minutes should show that I have not used up all my allotted time.
