amtierender Ratspräsident.	President-in-Office of the Council.
Wir haben in diesem Haus schon verschiedentlich über die Geschwindigkeit der Erweiterung und natürlich auch über die Grenzen der Erweiterung diskutiert.	We have already discussed the speed of enlargement and of course the limits of enlargement in this House on a number of occasions.
Wir haben aber gleichzeitig vor dem Hintergrund bereits getroffener Entscheidungen gesagt - etwa der vorhin zitierten Entscheidung von Thessaloniki -, dass die Europäische Union bei weiteren Erweiterungen handlungsfähig bleiben muss.	But at the same time, in the light of decisions already taken, such as the Thessaloniki decision already mentioned, we have said that the European Union must not become unwieldy if there are further enlargements.
Es war bereits klar, dass die EU-15 andere Strukturen gebraucht hätte, um handlungsfähig zu bleiben.	It was already clear that the EU 15 could have done with different structures in order to remain able to act.
Dies trifft erst recht bei 25 bzw. 27 Mitgliedstaaten zu.	This is all the more true with 25 or 27 Member States.
Wenn die Perspektive für weitere Beitritte bestehen soll, muss die Europäische Union zunächst einmal diese Voraussetzungen erfüllen, also handlungsfähig und transparent sein.	If there are to be prospects for further accessions, the European Union must first satisfy these requirements, that is be transparent and not be unwieldy.
Ich sage deshalb immer wieder, wie auch die Ratspräsidentin das bereits hier in Straßburg erklärt hat: Diejenigen, die eine beschleunigte Erweiterung der Europäischen Union fordern, sind manchmal genau jene, die Schwierigkeiten mit dem Verfassungsvertrag haben.	That is why I am always saying, as the Council President has already said here in Strasbourg, that those who call for accelerated enlargement of the European Union are sometimes the very ones who have difficulties with the Constitutional Treaty.
Wenn man aber eine baldige oder mittelfristige Einbindung der Beitrittskandidaten in die Europäische Union will - und das kann man aus politischen Gründen ja durchaus vertreten -, dann muss man allerdings die Voraussetzungen dafür schaffen, dass die Europäische Union handlungsfähig ist.	But if we want to bring the accession candidates into the European Union in the short or medium term - and there is every reason to want that on political grounds - then we must of course create the conditions to prevent the European Union from being unwieldy.
Diese Voraussetzungen bestehen derzeit nicht!	Those conditions do not exist at present.
Betrifft: Darfur	Subject: Darfur
Die sudanesische Regierung unterlässt es nicht nur weiterhin, ihrer Verantwortung zum Schutz ihrer Bürger in Darfur nachzukommen, sondern unterstützt auch weiterhin die Janjawid-Milizen, die gemeinsam mit sudanesischen Regierungstruppen die Hauptverantwortung für schwere Verletzungen der Menschenrechte und der internationalen humanitären Rechte in diesem Gebiet tragen.	The Sudanese Government continues not only to fail in its responsibility to protect its citizens in Darfur, but continues to support Janjawid militias which, together with Sudanese government forces, bear the largest responsibility for grave violations of human rights and international humanitarian law in this area.
Ist der Rat vor der Hintergrund der jüngsten Weigerung der sudanesischen Regierung, Visa für die hochrangige Mission des Menschenrechtsrats der Vereinten Nationen nach Darfur auszustellen, die einer konsequenten Ablehnung der notwendigen Entsendung einer UN-Friedenstruppe folgt, bereit, gezielte Sanktionen gegen Karthum in Erwägung zu ziehen? Kann der Rat bestätigen, dass er alles in seiner Macht Stehende unternehmen wird, um auf Russland und China dahingehend Druck auszuüben, dass sie aktiv werden, da ihre strategischen Ölinteressen in Sudan ihnen gute Möglichkeiten zur Beeinflussung der sudanesischen Regierung bieten?	In light of the Sudanese Government's recent refusal to administer visas for the United Nations Human Rights Council High-Level Mission to Darfur, which follows consistent objection to the necessary deployment of a UN peacekeeping force, is the Council willing to consider targeted sanctions against Khartoum and is it able to confirm that it is doing everything in its power to press Russia and China to act, as their strategic oil interests in Sudan make them well-placed to influence the Sudanese Government?
