Herr Präsident! Ich möchte zuerst dem Berichterstatter, Othmar Karas, herzlich danken.	– Mr President, I should first like to offer the rapporteur, Othmar Karas, my warmest thanks.
Er hat es fertig gebracht, ein strittiges Thema in relativ kurzer Zeit so zu formulieren, dass das Parlament mit breiter Mehrheit dahinter stehen kann.	He has managed to formulate a contentious issue in a relatively short space of time in such a way that Parliament can support it with a large majority.
Es war auch keine ideologische Debatte, Herr Kollege Bullmann, sondern es war die Erkenntnis, dass der politische Wille gefehlt hat, den Stabilitäts- und Wachstumspakt von 1996 einzuhalten.	This was not an ideological debate, Mr Bullmann; it was an acknowledgment that the political will to keep to the 1996 Stability and Growth Pact was missing.
Bei der ersten großen Generalprobe haben die beiden größten Staaten, Deutschland und Frankreich, voll und ganz versagt, damals schon von Luxemburg und Griechenland assistiert.	At the first serious general test, the two large states, France and Germany, failed totally, assisted at the time by Luxembourg and Greece.
Dieser Start hat nicht die Möglichkeit eröffnet, dass der Stabilitäts- und Wachstumspakt seine vernünftige und vorgesehene Rolle entfalten konnte.	This start prevented the Stability and Growth Pact from playing its proper part as originally planned.
Insofern ist die jetzige Reform allenfalls die zweitbeste Lösung, bei der es unter dem Stichwort der Flexibilität darum geht, einen Verstoß gegen die Regeln in Zukunft auszuschließen.	In this respect, the current reform is, in all events, a second best solution, which uses the argument of flexibility in order to exclude future infringements of the rules.
Ich übe dabei auch Kritik an meiner eigenen Regierung in Deutschland.	In saying this, I am also voicing criticism of my own government in Germany.
Die Tatsache, dass die Kosten der europäischen Einigung als neues Kriterium eingeführt wurden, öffnet der Willkür Tür und Tor und führt dazu, dass im Grunde in Zukunft auch bei 4% und 5% Überschreitung keine Sanktionen mehr möglich sind.	Introducing the costs of European unification as a new criterion has thrown the door wide open to arbitrariness and means, in principle, that sanctions will no longer be possible in future, even with a 4% or 5% excess.
Das halte ich für einen ausgesprochenen Fehler.	I consider this to be a definite mistake.
Die Kommission hat in Anbetracht der übermächtigen Rolle des Rates und der unzureichenden Rolle des Parlaments in dieser Frage nur defensiv reagieren können.	Given the powerful role of the Council and the inadequate role of Parliament in this matter, the Commission could only react defensively.
Wir haben darüber hier in diesem Hause oft diskutiert.	We have debated this often here in this Chamber.
Deshalb finde ich es gut, dass der Kollege Karas in seinen Berichten genau diese Punkte anspricht.	That is why I think it is a good thing that Mr Karas addresses precisely this point in his reports.
Höhere Kompetenzen für die Kommission, Loslösen von der Mitbeurteilung durch die Sünder und eine stärkere Beteiligung des Europäischen Parlaments – darauf können wir uns verständigen.	More competence for the Commission, a stop to the sinners standing in judgment and greater participation by the European Parliament – these are things we can agree on.
Aber niemand wird sagen können, dass diese Lösung des Stabilitäts- und Wachstumspakts auf die Zukunft ausgerichtet ist und zur künftigen Stabilität des Euros irgendetwas beitragen kann.	However, nobody will be able to say that this version of the Stability and Growth Pact is forward looking and will contribute towards the future stability of the euro.
