Herr Präsident! Ich möchte gleich auf das eingehen, was Stavros Dimas gesagt hat.	Mr President, I would like to start by commenting on what Commissioner Dimas said.
Natürlich brauchen wir einen verbindlichen Vertrag, einmal für die gesamte Frage des Klimaschutzes, aber auch in Europa für unsere europäische Industrie.	Of course we need a binding agreement, for the entire issue of climate protection, but in Europe, too, for our European industry.
Wir haben eben nicht nur grüne Industrie, sondern wir haben auch noch eine Industrie in anderen Sektoren, und wir müssen auch an deren Wettbewerbsfähigkeit außerhalb Europas denken.	It is not only green industry that we have, of course. We also have industry in other sectors, and we must also think about the competitiveness of that industry beyond Europe.
Die Industrie braucht Planungssicherheit, und Europa ist da sehr vorgeprescht.	Industry needs certainty of planning, and in that regard Europe has very much surged ahead.
Das war richtig so und das habe ich ausdrücklich unterstützt.	That was the right approach to take and it had my express support at the time.
Aber jetzt müssen wir in Kopenhagen auch dafür sorgen, dass diese guten Ergebnisse des vergangenen Jahres auch auf die Kopenhagener Ebene übertragen werden.	Now, however, we need to ensure, in Copenhagen, that the positive result of the last year is also carried on up to the Copenhagen level.
Wir müssen uns da eindeutig zu einem weltweiten Kohlenstoffbudget bekennen.	We need to nail our colours to the mast of a global carbon budget.
Das wurde bereits ermittelt, aber jetzt geht es darum, das auch wirklich auf Staaten und Kontinente zu übertragen.	That has already been said, but we need now to really drive the message home to other States and continents.
Und wenn wir das getan haben, was nicht einfach sein wird, dann muss ETS weiterentwickelt werden.	Once we have done that - and it will not be easy - then the emissions trading scheme must be developed further.
Wenn das eine rein europäische Story bleibt, wird es eng.	If this remains a purely European story, time will start to run out.
Und deswegen kann ich Stavros Dimas und den Ratspräsidenten nur bitten, diesen Export wirklich sehr engagiert zu betreiben.	I can therefore only beg the Commissioner and the President-in-Office of the Council to push forward with exporting this message in a really committed way.
Wir haben ein zweites Problem identifiziert, das heute auch schon angesprochen wurde, nämlich die Frage der Entwaldung.	We have identified a second problem - and it has already been mentioned today - namely, the issue of deforestation.
In Borneo wird jedes Jahr, Jo Leinen, doppelt so viel Fläche wie das ganze Saarland abgebrannt.	In Borneo, Mr Leinen, an area twice the size of the Saarland is cleared by burning each year.
Das ist eine Katastrophe! 8% CO2 der gesamten Welt wird dort freigesetzt, da können wir unsere Industrie traktieren, wie wir wollen, die kann das nicht leisten.	That is a disaster. 8% of the whole world's CO2 emissions are released in so doing, and we can savage our industry as much as we want, it cannot deliver that.
Und ich will auch nicht, dass sie es leistet.	Nor do I want it to deliver it.
Da müssen wir einen ganz anderen Focus entwickeln.	We therefore need to develop a completely different focus.
Über die Finanzen bin ich doch sehr erstaunt, das ist ein Wettbewerb der Zahlen.	I am absolutely astonished about the financing - it is a numbers race.
Für mich ist wichtig, dass das Fass, in das wir unser Geld geben, einen Boden hat, und ich bin nicht sicher, dass es so ist.	For me, it is important that the well from which we draw our money is not treated as bottomless, and I am not certain that that is the case.
Bitte, Herr Kommissar, beruhigen Sie mich da.	Please, Commissioner, can you give me some reassurance on that front?
Die Entwicklungsländer müssen mit angepassten Zahlen und Zielen einbezogen werden, dafür plädiere ich.	The developing countries must be included, with adapted figures and targets. That is my appeal.
Europa war seriös, und die Seriosität - auch der Kommission und des Rates, das möchte ich noch einmal ausdrücklich sagen - ist unser Gewicht, und an diesem Gewicht sollten wir weiterarbeiten	Europe was serious, and that seriousness - including on the part of the Commission and the Council, I want to make that clear - is our strength, and it is a strength we should continue to work on.
